qseqid	gene	protein_name	uniprot_acc	organism	Function
g1431	RGLG4	E3 ubiquitin-protein ligase RGLG4	Q9SAL0	Arabidopsis thaliana	Possesses E3 ubiquitin-protein ligase in vitro. Acts as upstream modulator of jasmonate (JA) signaling in response to various stimuli, such as JA-inhibited root growth, JA-inductive gene expression, coronatine-mediated pathogen susceptibility, wound-stimulated expression of JA-responsive genes and wound-induced JA biosynthesis (PubMed:22898498). Controls fumonisin B1 (FB1)-triggered programmed cell death (PCD) by modulating the JA signaling pathway. May mediate salicylic acid (SA) suppression of JA signaling in FB1-induced responses (PubMed:25788731). May mediate the formation of 'Lys-48'-linked multiubiquitin chains. Mediates the polyubiquitination and subsequent proteasomal degradation of the target protein GRXS17 (PubMed:27497447). {ECO:0000269|PubMed:22898498, ECO:0000269|PubMed:25788731, ECO:0000269|PubMed:27497447}.
g1432	ARPC5A	Actin-related protein 2/3 complex subunit 5A	Q9M117	Arabidopsis thaliana	Functions as a component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks (By similarity). Arp2/3 complex plays a critical role in the control of cell morphogenesis via the modulation of cell polarity development. {ECO:0000250, ECO:0000269|PubMed:12783786, ECO:0000269|PubMed:12913159}.
g1474	RPS13	Small ribosomal subunit protein uS15	P62302	Glycine max	NA
g1475	FKBP43	Peptidyl-prolyl cis-trans isomerase FKBP43	F4J9Q6	Arabidopsis thaliana	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity). {ECO:0000250}.
g1476	PCMP-E16	Pentatricopeptide repeat-containing protein At5g39350	Q9FLZ9	Arabidopsis thaliana	NA
g1477	KU80	ATP-dependent DNA helicase 2 subunit KU80	Q9FQ09	Arabidopsis thaliana	Single-stranded DNA-dependent ATP-dependent helicase. Involved in DNA non-homologous end joining (NHEJ) required for double-strand break repair. When associated with KU70, binds to double-stranded telomeric and non-telomeric DNA sequences, but not to single-stranded DNA. Plays a role in maintaining telomere length. Acts as a negative regulator of telomerase. Binds to and recombines double-stranded T-DNA molecules. {ECO:0000269|PubMed:12032094, ECO:0000269|PubMed:12182708, ECO:0000269|PubMed:12615949, ECO:0000269|PubMed:16380432}.
g15243	LDL1	Lysine-specific histone demethylase 1 homolog 1	Q8VXV7	Arabidopsis thaliana	Probable histone demethylase that reduces the levels of histone H3 'Lys-4' methylation in chromatin of the floral repressor FLOWERING LOCUS C (FLC) and the sporophytically silenced floral repressor FWA (PubMed:17921315). Seems to act in partial redundancy with FLOWERING LOCUS D (FLD) to repress FLC expression (PubMed:17921315). Required for cytosine methylation of FWA (PubMed:17921315). Controls primary seed dormancy by regulating DOG1 and abscisic acid signaling-related genes (PubMed:25852712). In association with OTU6/OTLD1, involved in transcriptional gene repression via histone deubiquitination and demethylation (PubMed:21690391). {ECO:0000269|PubMed:17921315, ECO:0000269|PubMed:21690391, ECO:0000269|PubMed:25852712}.
g15920	HKT1	Sodium transporter HKT1	Q84TI7	Arabidopsis thaliana	Sodium transporter protein, which plays a central role in plant tolerance to salt. Upon prolongated exposure to high concentrations, Na(+) translocates from the roots to the transpiring leaves where it can increase to toxic level. Involved in Na(+) recirculation from shoots to roots, probably by mediating Na(+) loading into the phloem sap in shoots and unloading in roots, thereby removing large amounts of Na(+) from the shoot. Does not transport K(+) but regulates K(+) nutrient status via its ability to facilitate Na(+) homeostasis. Probably not involved in root uptake of Na(+). {ECO:0000269|PubMed:10759522, ECO:0000269|PubMed:11698666, ECO:0000269|PubMed:11959905, ECO:0000269|PubMed:12417304, ECO:0000269|PubMed:12727868, ECO:0000269|PubMed:15347798, ECO:0000269|PubMed:15486089}.
g15922	HKT1	Sodium transporter HKT1	Q84TI7	Arabidopsis thaliana	Sodium transporter protein, which plays a central role in plant tolerance to salt. Upon prolongated exposure to high concentrations, Na(+) translocates from the roots to the transpiring leaves where it can increase to toxic level. Involved in Na(+) recirculation from shoots to roots, probably by mediating Na(+) loading into the phloem sap in shoots and unloading in roots, thereby removing large amounts of Na(+) from the shoot. Does not transport K(+) but regulates K(+) nutrient status via its ability to facilitate Na(+) homeostasis. Probably not involved in root uptake of Na(+). {ECO:0000269|PubMed:10759522, ECO:0000269|PubMed:11698666, ECO:0000269|PubMed:11959905, ECO:0000269|PubMed:12417304, ECO:0000269|PubMed:12727868, ECO:0000269|PubMed:15347798, ECO:0000269|PubMed:15486089}.
g16203	AHA8	ATPase 8, plasma membrane-type	Q9M2A0	Arabidopsis thaliana	The plasma membrane H(+) ATPase of plants and fungi generates a proton gradient that drives the active transport of nutrients by H(+)-symport. The resulting external acidification and/or internal alkinization may mediate growth responses (By similarity). {ECO:0000250}.
g16212	CYP28	Peptidyl-prolyl cis-trans isomerase CYP28, chloroplastic	O65220	Arabidopsis thaliana	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity). {ECO:0000250}.
g16343	CIPK24	CBL-interacting serine/threonine-protein kinase 24	Q9LDI3	Arabidopsis thaliana	Involved in the regulatory pathway for the control of intracellular Na(+) and K(+) homeostasis and salt tolerance. Activates the vacuolar H(+)/Ca(2+) antiporter CAX1 and operates in synergy with CBL4/SOS3 to activate the plasma membrane Na(+)/H(+) antiporter SOS1. CIPK serine-threonine protein kinases interact with CBL proteins. Binding of a CBL protein to the regulatory NAF domain of CIPK protein lead to the activation of the kinase in a calcium-dependent manner. Phosphorylates CBL1, CBL4 and CBL10. {ECO:0000269|PubMed:10725350, ECO:0000269|PubMed:12034882, ECO:0000269|PubMed:14583601, ECO:0000269|PubMed:22253446}.
g16344	At4g31140	Glucan endo-1,3-beta-glucosidase 5	Q9M088	Arabidopsis thaliana	NA
g16345	EBF1	EIN3-binding F-box protein 1	Q9SKK0	Arabidopsis thaliana	Component of SCF(EBF1) E3 ubiquitin ligase complexes, which may mediate the ubiquitination and subsequent proteasomal degradation of target proteins (probably including EIN3 and EIL1). Regulator of the ethylene signaling cascade by modulating the stability of EIN3 and EIL1 proteins. Confers insensitivity to ethylene. {ECO:0000269|PubMed:14675533}.
g16498	TMEM258	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258	Q32P84	Bos taurus	Subunit of the oligosaccharyl transferase (OST) complex that catalyzes the initial transfer of a defined glycan (Glc(3)Man(9)GlcNAc(2) in eukaryotes) from the lipid carrier dolichol-pyrophosphate to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains, the first step in protein N-glycosylation (By similarity). N-glycosylation occurs cotranslationally and the complex associates with the Sec61 complex at the channel-forming translocon complex that mediates protein translocation across the endoplasmic reticulum (ER). All subunits are required for a maximal enzyme activity (By similarity). Involved in ER homeostasis in the colonic epithelium (By similarity). {ECO:0000250|UniProtKB:P61165, ECO:0000250|UniProtKB:P61166}.
g16513	At3g27220	Kelch repeat-containing protein At3g27220	Q9LK31	Arabidopsis thaliana	NA
g16514	MEE23	Monolignol oxidoreductase AtBBE-like 15	O64743	Arabidopsis thaliana	Required for endosperm development and polar nuclei fusion (PubMed:15634699). Mediates oxidation of p-hydroxylated derivatives of cinnamyl alcohol (i.e. the monolignols p-coumaryl-, coniferyl-, and sinapyl alcohol) to their corresponding aldehydes. Can also use the beta-O-glycosylated form of coniferyl alcohol (coniferin) as substrate, but is much less efficient towards cinnamyl alcohol. The electron acceptor required for these reactions is not known, but does not seem to be dioxygen (PubMed:26037923). {ECO:0000269|PubMed:15634699, ECO:0000269|PubMed:26037923}.
g17129	PHB3	Prohibitin-3, mitochondrial	O04331	Arabidopsis thaliana	Prohibitin probably acts as a holdase/unfoldase for the stabilization of newly synthesized mitochondrial proteins (By similarity). Necessary for mitochondrial and cell metabolism and biogenesis. Required to regulate the ethylene-mediated signaling; involved in growth maintenance in the presence of ethylene. Functions in nitric oxide (NO)-mediated responses and in hydrogen peroxide-induced NO accumulation. {ECO:0000250, ECO:0000269|PubMed:17525078, ECO:0000269|PubMed:17883375, ECO:0000269|PubMed:20068191}.
g17130	ANKDD1A	Ankyrin repeat and death domain-containing protein 1A	Q495B1	Homo sapiens	NA
g17284	NLP6	Protein NLP6	Q8RWY4	Arabidopsis thaliana	Probable transcription factor. {ECO:0000250}.
g175	KNAT6	Homeobox protein knotted-1-like 6	Q84JS6	Arabidopsis thaliana	Plays a role in meristem function. Contributes to the shoot apical meristem (SAM) maintenance and organ separation by controlling boundary establishment in embryo in a CUC1, CUC2 and STM-dependent manner. Involved in maintaining cells in an undifferentiated, meristematic state. Probably binds to the DNA sequence 5'-TGAC-3'. {ECO:0000269|PubMed:16798887}.
g17809	At1g30680	Twinkle homolog protein, chloroplastic/mitochondrial	B5X582	Arabidopsis thaliana	Has both DNA primase and DNA helicase activities and may be involved in organelle DNA replication. Capable of producing RNA primers of 9 to 18 bases from a single-stranded DNA template. {ECO:0000269|PubMed:23452619}.
g17811	PFD6	Prefoldin subunit 6	Q2HIK4	Arabidopsis thaliana	Binds specifically to cytosolic chaperonin (c-CPN) and transfers target proteins to it (PubMed:19825635). Binds to nascent polypeptide chain and promotes folding in an environment in which there are many competing pathways for nonnative proteins (PubMed:19825635). Together with other chaperonins, contribute to the regulation of gene expression by modulating the spliceosome function on pre-mRNA splicing post-transcriptionally by acting as a co-chaperone of Hsp90 to control levels of LSM8 (PubMed:32396196). Required for the biogenesis of tubulins and for subsequent microtubules (MTs) organization and dynamicity, but unable to associate with microtubules (PubMed:19004800). Involved in the process leading to microtubules dissociation in response to gibberellic acid (GA) probably due to the DELLA proteins-mediated translocation of the prefoldin co-chaperone complex from the cytoplasm to the nucleus (PubMed:23583555). Contributes to the GA-dependent regulation of PIN2 trafficking at the plasma membrane, thus influencing auxin flux (PubMed:29463731). {ECO:0000269|PubMed:19004800, ECO:0000269|PubMed:19825635, ECO:0000269|PubMed:23583555, ECO:0000269|PubMed:29463731, ECO:0000269|PubMed:32396196}.
g18104	PLP7	Patatin-like protein 7	Q9SV43	Arabidopsis thaliana	Possesses non-specific lipolytic acyl hydrolase (LAH) activity. Catalyzes the hydrolysis of the galactolipids monogalactosyldiacylglycerol (MGDG) and digalactosyldiacylglycerol (DGDG), and the phoshpolipids phosphatidylcholine (PC), phosphatidylethanolamine (PE), phosphatidylglycerol (PG), phosphatidic acid (PA), phosphatidylserine (PS). Favors the release of fatty acid at the sn-2 position for PC. Possesses acyl-CoA thioesterase activity. Negatively affects disease resistance to the necrotic fungal pathogen Botrytis cinerea and the avirulent bacteria Pseudomonas syringae by promoting cell death and reducing the efficiency of the hypersensitive response, respectively. However, PLP2 contributes to resistance to cucumber mosaic virus (CMV), an obligate parasite inducing hypersensitive response. May negatively regulate oxylipin production, possibly via participating in membrane repair that includes removal of oxidatively modified lipids. Enzymatic products of PLP2 may influence cellulose content and cell elongation. {ECO:0000269|PubMed:21447788}.
g22491	kap123	Probable importin subunit beta-4	O60100	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Required for nuclear protein import, its predominant substrate seems to be ribosomal proteins. Binds to nucleoporins and the GTP-bound form of gsp1 (Ran) (By similarity). {ECO:0000250}.
g22584	RPT3	Root phototropism protein 3	Q9FMF5	Arabidopsis thaliana	May act as a substrate-specific adapter of an E3 ubiquitin-protein ligase complex (CUL3-RBX1-BTB) which mediates the ubiquitination and subsequent proteasomal degradation of target proteins (By similarity). Signal transducer of the phototropic response and photo-induced movements. Involved in the phot1 pathway under low blue light (LBL) fluence rate and in the phot2 pathway under higher fluence rate of blue light (HBL). Necessary for root and hypocotyl phototropisms, but not for the regulation of stomata opening. Not involved in chloroplast accumulation and translocation. {ECO:0000250, ECO:0000269|PubMed:10542152, ECO:0000269|PubMed:10662859, ECO:0000269|PubMed:15031408, ECO:0000269|PubMed:16777956, ECO:0000269|PubMed:20071603}.
g23197	LDL2	Lysine-specific histone demethylase 1 homolog 2	Q9LID0	Arabidopsis thaliana	Probable histone demethylase that reduces the levels of histone H3 'Lys-4' methylation in chromatin of the floral repressor FLOWERING LOCUS C (FLC) and the sporophytically silenced floral repressor FWA (PubMed:17921315). Seems to act in partial redundancy with FLOWERING LOCUS D (FLD) to repress FLC expression (PubMed:17921315). Required for cytosine methylation of FWA (PubMed:17921315). Controls primary seed dormancy by regulating DOG1 and abscisic acid signaling-related genes (PubMed:25852712). {ECO:0000269|PubMed:17921315, ECO:0000269|PubMed:25852712}.
g23198	ynbB	Uncharacterized protein YnbB	P94479	Bacillus subtilis (strain 168)	NA
g23199	Tmem184c	Transmembrane protein 184C	Q3TPR7	Mus musculus	Possible tumor suppressor which may play a role in cell growth. {ECO:0000250}.
g24686	CIPK12	CBL-interacting serine/threonine-protein kinase 12	Q9SN43	Arabidopsis thaliana	CIPK serine-threonine protein kinases interact with CBL proteins. Binding of a CBL protein to the regulatory NAF domain of CIPK protein lead to the activation of the kinase in a calcium-dependent manner (By similarity). {ECO:0000250}.
g25765	At1g67520	G-type lectin S-receptor-like serine/threonine-protein kinase At1g67520	O64793	Arabidopsis thaliana	NA
g25766	At1g11330	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330	Q9SXB8	Arabidopsis thaliana	NA
g25767	At1g67520	G-type lectin S-receptor-like serine/threonine-protein kinase At1g67520	O64793	Arabidopsis thaliana	NA
g25768	RPN11	26S proteasome non-ATPase regulatory subunit 14 homolog	Q9LT08	Arabidopsis thaliana	Metalloprotease component of the 26S proteasome that specifically cleaves 'Lys-63'-linked polyubiquitin chains. The 26S proteasome is involved in the ATP-dependent degradation of ubiquitinated proteins. The function of the 'Lys-63'-specific deubiquitination of the proteasome is unclear (By similarity). {ECO:0000250}.
g26515	BXL7	Probable beta-D-xylosidase 7	Q9SGZ5	Arabidopsis thaliana	NA
g26589	pab1	Polyadenylate-binding protein, cytoplasmic and nuclear	A1CRM1	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	Binds the poly(A) tail of mRNA. Appears to be an important mediator of the multiple roles of the poly(A) tail in mRNA biogenesis, stability and translation. In the nucleus, involved in both mRNA cleavage and polyadenylation. Is also required for efficient mRNA export to the cytoplasm. Acts in concert with a poly(A)-specific nuclease (PAN) to affect poly(A) tail shortening, which may occur concomitantly with either nucleocytoplasmic mRNA transport or translational initiation. In the cytoplasm, stimulates translation initiation and regulates mRNA decay through translation termination-coupled poly(A) shortening, probably mediated by PAN (By similarity). {ECO:0000250}.
g26593	At5g27460	Pentatricopeptide repeat-containing protein At5g27460	Q3E911	Arabidopsis thaliana	NA
g26594	At3g06240	F-box/kelch-repeat protein At3g06240	Q8GXC7	Arabidopsis thaliana	NA
g26602	PEPKR2	Serine/threonine-protein kinase PEPKR2	Q8W490	Arabidopsis thaliana	NA
g26715	PCN	WD repeat-containing protein PCN	Q8RXU6	Arabidopsis thaliana	Involved in auxin signaling pathway. Required for embryo development and meristem organization. Functions in the auxin pathway, integrating auxin signaling in the organization and maintenance of the shoot apical meristem (SAM) and root apical meristem (RAM). {ECO:0000269|PubMed:22158464}.
g26716	RPA1C	Replication protein A 70 kDa DNA-binding subunit C	Q9FHJ6	Arabidopsis thaliana	Component of the replication protein A complex (RPA) required for DNA recombination, repair and replication. The activity of RPA is mediated by single-stranded DNA binding and protein interactions. Probably involved in repair of double-strand DNA breaks (DSBs) induced by genotoxic stresses (By similarity). {ECO:0000250}.
g28356	RPPL1	Putative disease resistance RPP13-like protein 1	Q9LRR4	Arabidopsis thaliana	Potential disease resistance protein.
g28357	RAD51B	DNA repair protein RAD51 homolog 2	Q9SK02	Arabidopsis thaliana	May be involved in the homologous recombination repair (HRR) pathway of double-stranded DNA breaks arising during DNA replication or induced by DNA-damaging agents. {ECO:0000250}.
g29159	MTARC2	Mitochondrial amidoxime reducing component 2	Q1LZH1	Bos taurus	Catalyzes the reduction of N-oxygenated molecules, acting as a counterpart of cytochrome P450 and flavin-containing monooxygenases in metabolic cycles. As a component of prodrug-converting system, reduces a multitude of N-hydroxylated prodrugs particularly amidoximes, leading to increased drug bioavailability. May be involved in mitochondrial N(omega)-hydroxy-L-arginine (NOHA) reduction, regulating endogenous nitric oxide levels and biosynthesis. Postulated to cleave the N-OH bond of N-hydroxylated substrates in concert with electron transfer from NADH to cytochrome b5 reductase then to cytochrome b5, the ultimate electron donor that primes the active site for substrate reduction. {ECO:0000250|UniProtKB:Q969Z3}.
g29418	GUN4	Tetrapyrrole-binding protein, chloroplastic	Q9LX31	Arabidopsis thaliana	Regulates chlorophyll synthesis and plastid-to-nucleus signal transduction by binding both the product and the substrate of Mg-chelatase, an enzyme that produces magnesium-protoporphyrin IX (Mg-Proto). Also activates Mg-chelatase. Neither binds abscisic acid (ABA) nor is involved in ABA signaling. {ECO:0000269|PubMed:12574634, ECO:0000269|PubMed:23011401}.
g29423	BP-73	SAP-like protein BP-73	Q8L4E7	Oryza sativa subsp. japonica	May regulate cell proliferation and plant growth. {ECO:0000269|PubMed:12956528}.
g29424	ABCG29	ABC transporter G family member 29	Q94A18	Arabidopsis thaliana	May be a general defense protein. {ECO:0000250}.
g29425	ABCG29	ABC transporter G family member 29	Q94A18	Arabidopsis thaliana	May be a general defense protein. {ECO:0000250}.
g29426	ABCG29	ABC transporter G family member 29	Q94A18	Arabidopsis thaliana	May be a general defense protein. {ECO:0000250}.
g29427	At5g45920	GDSL esterase/lipase At5g45920	Q6NMR9	Arabidopsis thaliana	NA
g29428	TPT	Triose phosphate/phosphate translocator, chloroplastic	P49132	Flaveria trinervia	Mediates the export of fixed carbons from the chloroplasts into the cytosol in the form of triose phosphates. In addition, it can also bind and transport phosphoenolpyruvate, thereby increasing the photosynthetic efficiency of C4-plants.
g29430	NUDT15	Nudix hydrolase 15, mitochondrial	Q8GYB1	Arabidopsis thaliana	Coenzyme A diphosphatase which mediates the cleavage of oxidized CoA. Can use malonyl-CoA, hexanoyl-CoA, lauroyl-CoA, myristoyl-CoA and palmitoyl-CoA as substrates, but not isobutyryl-CoA or propionyl-CoA.
g29431	CIPK12	CBL-interacting serine/threonine-protein kinase 12	Q9SN43	Arabidopsis thaliana	CIPK serine-threonine protein kinases interact with CBL proteins. Binding of a CBL protein to the regulatory NAF domain of CIPK protein lead to the activation of the kinase in a calcium-dependent manner (By similarity). {ECO:0000250}.
g29432	CIPK5	CBL-interacting protein kinase 5	Q9LWM4	Oryza sativa subsp. japonica	CIPK serine-threonine protein kinases interact with CBL proteins. Binding of a CBL protein to the regulatory NAF domain of CIPK protein lead to the activation of the kinase in a calcium-dependent manner (By similarity). {ECO:0000250}.
g29433	sec61a	Protein transport protein Sec61 subunit alpha	Q54XK2	Dictyostelium discoideum	Appears to play a crucial role in the insertion of secretory and membrane polypeptides into the ER. It is required for assembly of membrane and secretory proteins. Found to be tightly associated with membrane-bound ribosomes, either directly or through adaptor proteins (By similarity). {ECO:0000250}.
g29434	ERD2A	ER lumen protein-retaining receptor A	P35402	Arabidopsis thaliana	Required for the retention of luminal endoplasmic reticulum proteins. Determines the specificity of the luminal ER protein retention system. Also required for normal vesicular traffic through the Golgi. This receptor recognizes H-D-E-L.
g29435	SAP30BP	SAP30-binding protein	Q9UHR5	Homo sapiens	Plays a role in transcriptional repression by promoting histone deacetylase activity, leading to deacetylation of histone H3 (PubMed:21221920). May be involved in the regulation of beta-2-microglobulin genes (By similarity). {ECO:0000250|UniProtKB:Q02614, ECO:0000269|PubMed:21221920}.; FUNCTION: (Microbial infection) Involved in transcriptional repression of HHV-1 genes TK and gC. {ECO:0000269|PubMed:21221920}.
g29437	RPPL1	Putative disease resistance RPP13-like protein 1	Q9LRR4	Arabidopsis thaliana	Potential disease resistance protein.
g29465	NA	Alpha-soluble NSF attachment protein	Q9M5P8	Solanum tuberosum	Required for vesicular transport between the endoplasmic reticulum and the Golgi apparatus. {ECO:0000250}.
g29466	SEI2	Seipin-2	F4I340	Arabidopsis thaliana	Involved in lipid metabolism and lipid droplet (LD) morphology, number, and size. Supports the formation of small-sized LDs and modulates triacylglycerol accumulation. Induces probably a reorganization of the endoplasmic reticulum into LD-forming domains. {ECO:0000269|PubMed:26362606}.
g29472	ROQ1	Disease resistance protein Roq1	A0A290U7C4	Nicotiana benthamiana	Disease resistance (R) protein that specifically recognizes the Xanthomonas and Pseudomonas effector proteins XopQ and HopQ1, and triggers cell death (PubMed:28891100). An NAD(+) hydrolase (NADase): in response to activation, catalyzes cleavage of NAD(+) into ADP-D-ribose (ADPR) and nicotinamide; NAD(+) cleavage triggers a defense system that promotes cell death (PubMed:31439792). Makes small amounts of 2' cyclic ADPR (2'cADPR) (PubMed:36048923). {ECO:0000269|PubMed:28891100, ECO:0000269|PubMed:31439792, ECO:0000269|PubMed:36048923}.
g29473	NIP1-1	Aquaporin NIP1-1	Q40746	Oryza sativa subsp. japonica	Aquaporins facilitate the transport of water and small neutral solutes across cell membranes. {ECO:0000250}.
g30166	CASTOR	Ion channel CASTOR	Q5H8A6	Lotus japonicus	Ion channel with a moderate preference for potassium over sodium and calcium. Involved in perinuclear calcium spiking but not in cytosolic calcium influx. Closed at negative voltages in presence of magnesium. Required for early signal transduction events leading to endosymbiosis. Acts early in a signal transduction chain leading from the perception of Nod factor to the activation of calcium spiking. Also involved in fungal entry into root epidermal cells during the establishment of the arbuscular mycorrhizal symbiosis. {ECO:0000269|PubMed:16903357, ECO:0000269|PubMed:19106374}.
g30175	fam136a	Protein FAM136A	Q6PBU0	Danio rerio	NA
g30176	NA	Stearoyl-[acyl-carrier-protein] 9-desaturase, chloroplastic	P22243	Carthamus tinctorius	Converts stearoyl-ACP to oleoyl-ACP by introduction of a cis double bond between carbons 9 and 10 of the acyl chain. {ECO:0000250|UniProtKB:P22337}.
g308	L7AT	Limonoid 7-O-acetyltransferse	A0A067ETA8	Citrus sinensis	Acetyltransferase involved in the biosynthesis of limonoids triterpene natural products such as limonin, a compound with insecticidal activity responsible for the bitter taste in citrus (PubMed:36701471). Catalyzes the formation of (1S)-1,7-diacetoxy-luvungin A from (1S)-1-acetoxy-luvungin A (PubMed:36701471). {ECO:0000269|PubMed:36701471}.
g32042	ergic3	Endoplasmic reticulum-Golgi intermediate compartment protein 3	Q803I2	Danio rerio	Possible role in transport between endoplasmic reticulum and Golgi. {ECO:0000250}.
