qseqid	gene	protein_name	uniprot_acc	organism	Function	sacc	taxid	pident	qcovs	evalue	bitscore	stitle	sscinames	sskingdoms	PE	SV	length	staxids	uniprot_entry	full_desc
g1953	hspC2	Small heat shock protein C2	Q4UKR8	Rickettsia felis (strain ATCC VR-1525 / URRWXCal2)	NA	sp|Q4UKR8|HSPC2_RICFE	315456	36.275	38	8.64e-13	67.8	sp|Q4UKR8|HSPC2_RICFE Small heat shock protein C2 OS=Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) OX=315456 GN=hspC2 PE=3 SV=1	N/A	N/A	3	1	102	0	HSPC2_RICFE	Small heat shock protein C2 OS=Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) OX=315456 GN=hspC2 PE=3 SV=1
g1954	At1g07650	Probable LRR receptor-like serine/threonine-protein kinase At1g07650	C0LGE0	Arabidopsis thaliana	NA	sp|C0LGE0|Y1765_ARATH	3702	62.602	98	0	1217	sp|C0LGE0|Y1765_ARATH Probable LRR receptor-like serine/threonine-protein kinase At1g07650 OS=Arabidopsis thaliana OX=3702 GN=At1g07650 PE=1 SV=1	N/A	N/A	1	1	984	0	Y1765_ARATH	Probable LRR receptor-like serine/threonine-protein kinase At1g07650 OS=Arabidopsis thaliana OX=3702 GN=At1g07650 PE=1 SV=1
g19707	HSP23.9	Heat shock 22 kDa protein, mitochondrial	Q39818	Glycine max	NA	sp|Q39818|HS22M_SOYBN	3847	28.659	65	4.01e-10	61.2	sp|Q39818|HS22M_SOYBN Heat shock 22 kDa protein, mitochondrial OS=Glycine max OX=3847 GN=HSP23.9 PE=2 SV=1	N/A	N/A	2	1	164	0	HS22M_SOYBN	Heat shock 22 kDa protein, mitochondrial OS=Glycine max OX=3847 GN=HSP23.9 PE=2 SV=1
g20276	ERF003	Ethylene-responsive transcription factor ERF003	Q94AW5	Arabidopsis thaliana	Probably acts as a transcriptional activator. Binds to the GCC-box pathogenesis-related promoter element. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways (By similarity). {ECO:0000250}.	sp|Q94AW5|ERF03_ARATH	3702	59.322	99	2.7600000000000003e-64	198	sp|Q94AW5|ERF03_ARATH Ethylene-responsive transcription factor ERF003 OS=Arabidopsis thaliana OX=3702 GN=ERF003 PE=1 SV=1	N/A	N/A	1	1	177	0	ERF03_ARATH	Ethylene-responsive transcription factor ERF003 OS=Arabidopsis thaliana OX=3702 GN=ERF003 PE=1 SV=1
g20277	AHA9	ATPase 9, plasma membrane-type	Q42556	Arabidopsis thaliana	The plasma membrane H(+) ATPase of plants and fungi generates a proton gradient that drives the active transport of nutrients by H(+)-symport. The resulting external acidification and/or internal alkinization may mediate growth responses.	sp|Q42556|PMA9_ARATH	3702	82.914	100	0	1627	sp|Q42556|PMA9_ARATH ATPase 9, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA9 PE=2 SV=2	N/A	N/A	2	2	954	0	PMA9_ARATH	ATPase 9, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA9 PE=2 SV=2
g20278	DCL4	Endoribonuclease Dicer homolog 4	A7LFZ6	Oryza sativa subsp. japonica	Involved in the RNA silencing pathway. Cleaves double-stranded RNA to produce small interfering RNAs (siRNAs) which target the selective destruction of complementary RNAs. Required for the production of 21 nucleotide siRNAs. Regulates shoot apical meristem (SAM) initiation and maintenance, leaf polarization and lemma polarity through the trans-acting siRNAS (ta-siRNAs) pathway, which probably modulate the expression of the ARF2, ARF3, ARF4, ARF14 and ARF15 genes. Can process endogenous 21 nucleotide siRNAs derived from an imperfect inverted repeat. May not be involved in microRNAs (miRNAs) production. {ECO:0000269|PubMed:17804793, ECO:0000269|PubMed:17905898}.	sp|A7LFZ6|DCL4_ORYSJ	39947	48.235	63	9.82e-18	81.6	sp|A7LFZ6|DCL4_ORYSJ Endoribonuclease Dicer homolog 4 OS=Oryza sativa subsp. japonica OX=39947 GN=DCL4 PE=2 SV=1	N/A	N/A	2	1	85	0	DCL4_ORYSJ	Endoribonuclease Dicer homolog 4 OS=Oryza sativa subsp. japonica OX=39947 GN=DCL4 PE=2 SV=1
g22200	RPL21A	Large ribosomal subunit protein eL21z/eL21y	Q43291	Arabidopsis thaliana	NA	sp|Q43291|RL211_ARATH	3702	82.927	100	5.69e-100	287	sp|Q43291|RL211_ARATH Large ribosomal subunit protein eL21z/eL21y OS=Arabidopsis thaliana OX=3702 GN=RPL21A PE=2 SV=2	N/A	N/A	2	2	164	0	RL211_ARATH	Large ribosomal subunit protein eL21z/eL21y OS=Arabidopsis thaliana OX=3702 GN=RPL21A PE=2 SV=2
g22202	PCMP-H3	Pentatricopeptide repeat-containing protein At4g14820	O23337	Arabidopsis thaliana	NA	sp|O23337|PP311_ARATH	3702	55.07	97	0	798	sp|O23337|PP311_ARATH Pentatricopeptide repeat-containing protein At4g14820 OS=Arabidopsis thaliana OX=3702 GN=PCMP-H3 PE=2 SV=1	N/A	N/A	2	1	710	0	PP311_ARATH	Pentatricopeptide repeat-containing protein At4g14820 OS=Arabidopsis thaliana OX=3702 GN=PCMP-H3 PE=2 SV=1
g2404	WRKY51	Probable WRKY transcription factor 51	Q93WU9	Arabidopsis thaliana	Transcription factor. Interacts specifically with the W box (5'-(T)TGAC[CT]-3'), a frequently occurring elicitor-responsive cis-acting element (By similarity). Involved in defense responses. May act as positive regulator of salicylic acid (SA)-mediated signaling and negative regulator of jasmonic acid (JA)-mediated signaling (PubMed:21030507). {ECO:0000250, ECO:0000269|PubMed:21030507}.	sp|Q93WU9|WRK51_ARATH	3702	53.39	18	2.19e-34	132	sp|Q93WU9|WRK51_ARATH Probable WRKY transcription factor 51 OS=Arabidopsis thaliana OX=3702 GN=WRKY51 PE=1 SV=1	N/A	N/A	1	1	118	0	WRK51_ARATH	Probable WRKY transcription factor 51 OS=Arabidopsis thaliana OX=3702 GN=WRKY51 PE=1 SV=1
g30175	fam136a	Protein FAM136A	Q6PBU0	Danio rerio	NA	sp|Q6PBU0|F136A_DANRE	7955	34.545	71	2.29e-14	68.9	sp|Q6PBU0|F136A_DANRE Protein FAM136A OS=Danio rerio OX=7955 GN=fam136a PE=2 SV=1	N/A	N/A	2	1	110	0	F136A_DANRE	Protein FAM136A OS=Danio rerio OX=7955 GN=fam136a PE=2 SV=1
g30592	KIN7K	Kinesin-like protein KIN-7K, chloroplastic	F4J8L3	Arabidopsis thaliana	NA	sp|F4J8L3|KN7K_ARATH	3702	65.517	94	0	1114	sp|F4J8L3|KN7K_ARATH Kinesin-like protein KIN-7K, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7K PE=2 SV=1	N/A	N/A	2	1	928	0	KN7K_ARATH	Kinesin-like protein KIN-7K, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7K PE=2 SV=1
g30628	NHL2	NDR1/HIN1-like protein 2	Q9SRN1	Arabidopsis thaliana	May play a role in plant immunity. {ECO:0000250|UniProtKB:Q9ZVD2}.	sp|Q9SRN1|NHL2_ARATH	3702	42	97	3.5100000000000004e-59	190	sp|Q9SRN1|NHL2_ARATH NDR1/HIN1-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=NHL2 PE=2 SV=1	N/A	N/A	2	1	250	0	NHL2_ARATH	NDR1/HIN1-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=NHL2 PE=2 SV=1
g32849	CCB4	Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB4, chloroplastic	Q6NQK9	Arabidopsis thaliana	Required for the biogenesis and accumulation of native cytochrome b6 in the thylakoid membrane. Controls the conversion of apocytochrome b6 to holocytochrome b6. Required for covalent binding of the c-type heme to cytochrome b6. {ECO:0000269|PubMed:18593701}.	sp|Q6NQK9|CCB4_ARATH	3702	66.393	44	1.2e-109	332	sp|Q6NQK9|CCB4_ARATH Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CCB4 PE=1 SV=1	N/A	N/A	1	1	244	0	CCB4_ARATH	Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CCB4 PE=1 SV=1
g34435	OFUT38	O-fucosyltransferase 38	F4KF16	Arabidopsis thaliana	NA	sp|F4KF16|OFT38_ARATH	3702	67.073	96	0	685	sp|F4KF16|OFT38_ARATH O-fucosyltransferase 38 OS=Arabidopsis thaliana OX=3702 GN=OFUT38 PE=2 SV=1	N/A	N/A	2	1	492	0	OFT38_ARATH	O-fucosyltransferase 38 OS=Arabidopsis thaliana OX=3702 GN=OFUT38 PE=2 SV=1
g8081	nmd3	60S ribosomal export protein NMD3	Q55BF2	Dictyostelium discoideum	Acts as an adapter for the xpo1-mediated export of the 60S ribosomal subunit. {ECO:0000250}.	sp|Q55BF2|NMD3_DICDI	44689	45.238	97	3.839999999999999e-153	450	sp|Q55BF2|NMD3_DICDI 60S ribosomal export protein NMD3 OS=Dictyostelium discoideum OX=44689 GN=nmd3 PE=3 SV=1	N/A	N/A	3	1	504	0	NMD3_DICDI	60S ribosomal export protein NMD3 OS=Dictyostelium discoideum OX=44689 GN=nmd3 PE=3 SV=1
