Orthogroup	Boltonia_decurrens_hap1_1.0_CDS	Arabidopsis_thaliana_GCF_000001735.4_CDS
OG0000244	g2854.t1	lcl|NC_003071.7_cds_NP_001077863.1_12700, lcl|NC_003071.7_cds_NP_178234.1_12699, lcl|NC_003074.8_cds_NP_001326491.1_22716, lcl|NC_003074.8_cds_NP_001326490.1_22715, lcl|NC_003074.8_cds_NP_001326488.1_22718, lcl|NC_003074.8_cds_NP_001326489.1_22717, lcl|NC_003074.8_cds_NP_974305.1_22723, lcl|NC_003074.8_cds_NP_001326487.1_22720, lcl|NC_003074.8_cds_NP_001326486.1_22719, lcl|NC_003074.8_cds_NP_187967.1_22721, lcl|NC_003074.8_cds_NP_974304.1_22722
OG0000252	g612.t2, g1009.t1, g1024.t1, g1024.t2, g1015.t1, g1028.t1, g1030.t1, g612.t1, g1028.t2, g1008.t1, g1016.t1	lcl|NC_003074.8_cds_NP_191196.1_28368
OG0000256	g21156.t1, g11133.t1, g5860.t1, g21155.t1, g3433.t1, g9217.t1, g3347.t1, g21153.t1, g21138.t1, g21151.t1, g21137.t1	lcl|NC_003075.7_cds_NP_567734.1_34390
OG0000285	g28830.t1	lcl|NC_003070.9_cds_NP_001030951.1_589, lcl|NC_003070.9_cds_NP_171880.1_590, lcl|NC_003076.8_cds_NP_201474.1_48000, lcl|NC_003074.8_cds_NP_190639.1_27287, lcl|NC_003074.8_cds_NP_001189882.1_22783, lcl|NC_003074.8_cds_NP_001189883.1_22785, lcl|NC_003074.8_cds_NP_001327023.1_22784, lcl|NC_003074.8_cds_NP_001327021.1_22782, lcl|NC_003074.8_cds_NP_187997.1_22781, lcl|NC_003074.8_cds_NP_001327022.1_22780
OG0000286	g10271.t1, g18904.t1	lcl|NC_003070.9_cds_NP_973757.1_618, lcl|NC_003070.9_cds_NP_001320291.1_616, lcl|NC_003070.9_cds_NP_001320288.1_617, lcl|NC_003070.9_cds_NP_171892.2_613, lcl|NC_003070.9_cds_NP_001320292.1_614, lcl|NC_003070.9_cds_NP_001320289.1_615, lcl|NC_003070.9_cds_NP_001320290.1_619, lcl|NC_003076.8_cds_NP_001332476.1_43657, lcl|NC_003076.8_cds_NP_199222.1_43656
OG0000292	g24636.t1	lcl|NC_003070.9_cds_NP_001319403.1_12121, lcl|NC_003070.9_cds_NP_177979.1_12124, lcl|NC_003070.9_cds_NP_001322932.1_12123, lcl|NC_003070.9_cds_NP_001322931.1_12122, lcl|NC_003075.7_cds_NP_194485.1_34702, lcl|NC_003075.7_cds_NP_001327998.1_34703, lcl|NC_003070.9_cds_NP_001321461.1_3257, lcl|NC_003070.9_cds_NP_173142.2_3256, lcl|NC_003070.9_cds_NP_173143.4_3258, lcl|NC_003075.7_cds_NP_001328875.1_34705
OG0000303	g3665.t1, g6385.t1, g27482.t1	lcl|NC_003070.9_cds_NP_175945.1_8242, lcl|NC_003070.9_cds_NP_849811.1_8243, lcl|NC_003070.9_cds_NP_001320637.1_8240, lcl|NC_003070.9_cds_NP_001320638.1_8239, lcl|NC_003070.9_cds_NP_001320639.1_8241, lcl|NC_003074.8_cds_NP_187956.1_22698, lcl|NC_003076.8_cds_NP_200461.4_45979, lcl|NC_003076.8_cds_NP_001032083.1_45980
OG0000307	g6731.t1, g13464.t1, g7979.t1	lcl|NC_003076.8_cds_NP_001154754.1_42552, lcl|NC_003076.8_cds_NP_001330399.1_42553, lcl|NC_003076.8_cds_NP_001154755.1_42551, lcl|NC_003076.8_cds_NP_198594.1_42550, lcl|NC_003070.9_cds_NP_176814.1_9961, lcl|NC_003070.9_cds_NP_001185330.1_9962, lcl|NC_003070.9_cds_NP_001320585.1_9964, lcl|NC_003070.9_cds_NP_001320584.1_9963
OG0000329	g20078.t1	lcl|NC_003075.7_cds_NP_001329108.1_34151, lcl|NC_003075.7_cds_NP_001329102.1_34150, lcl|NC_003075.7_cds_NP_001329106.1_34146, lcl|NC_003075.7_cds_NP_001329107.1_34152, lcl|NC_003075.7_cds_NP_001329103.1_34154, lcl|NC_003075.7_cds_NP_194205.1_34145, lcl|NC_003075.7_cds_NP_001329104.1_34153, lcl|NC_003075.7_cds_NP_974610.1_34149, lcl|NC_003075.7_cds_NP_001329109.1_34147, lcl|NC_003075.7_cds_NP_001329105.1_34148
OG0000330	g11830.t2, g13815.t1, g13816.t1, g31265.t1, g11830.t1	lcl|NC_003076.8_cds_NP_851181.1_45404, lcl|NC_003076.8_cds_NP_001190528.1_45405, lcl|NC_003076.8_cds_NP_568788.1_45403, lcl|NC_003075.7_cds_NP_567791.1_34787, lcl|NC_003075.7_cds_NP_849462.1_34788, lcl|NC_003076.8_cds_NP_001154776.1_45406
OG0000333	g29955.t1	lcl|NC_003076.8_cds_NP_001330880.1_38095, lcl|NC_003076.8_cds_NP_001330882.1_38098, lcl|NC_003076.8_cds_NP_001330877.1_38097, lcl|NC_003076.8_cds_NP_001330878.1_38096, lcl|NC_003076.8_cds_NP_001330879.1_38089, lcl|NC_003076.8_cds_NP_196230.2_38090, lcl|NC_003076.8_cds_NP_001190235.1_38091, lcl|NC_003076.8_cds_NP_001318488.1_38092, lcl|NC_003076.8_cds_NP_001190236.1_38094, lcl|NC_003076.8_cds_NP_001330881.1_38093
OG0000372	g13143.t1, g24318.t1	lcl|NC_003070.9_cds_NP_001117210.1_127, lcl|NC_003070.9_cds_NP_001322113.1_129, lcl|NC_003070.9_cds_NP_563631.2_130, lcl|NC_003070.9_cds_NP_001322112.1_128, lcl|NC_003075.7_cds_NP_192046.1_30009, lcl|NC_003071.7_cds_NP_001189755.1_19829, lcl|NC_003071.7_cds_NP_001325006.1_19827, lcl|NC_003071.7_cds_NP_182131.2_19828
OG0000373	g23855.t1, g23855.t2, g28829.t1	lcl|NC_003075.7_cds_NP_001319850.1_30278, lcl|NC_003075.7_cds_NP_192175.3_30279, lcl|NC_003075.7_cds_NP_001329387.1_30280, lcl|NC_003070.9_cds_NP_171805.1_437, lcl|NC_003070.9_cds_NP_001322129.1_435, lcl|NC_003070.9_cds_NP_001322130.1_436, lcl|NC_003070.9_cds_NP_001322128.1_434
OG0000378	g14872.t1, g22897.t1	lcl|NC_003070.9_cds_NP_001322882.1_9220, lcl|NC_003070.9_cds_NP_001322881.1_9219, lcl|NC_003070.9_cds_NP_001322880.1_9218, lcl|NC_003070.9_cds_NP_001322879.1_9217, lcl|NC_003070.9_cds_NP_176419.2_9215, lcl|NC_003070.9_cds_NP_001031219.1_9216, lcl|NC_003070.9_cds_NP_001322792.1_2307, lcl|NC_003070.9_cds_NP_172655.1_2308
OG0000380	g4630.t1	lcl|NC_003074.8_cds_NP_850744.1_25003, lcl|NC_003074.8_cds_NP_001030767.1_25004, lcl|NC_003074.8_cds_NP_189186.1_25002, lcl|NC_003074.8_cds_NP_001327446.1_25005, lcl|NC_003074.8_cds_NP_001327445.1_25006, lcl|NC_003074.8_cds_NP_001030766.1_25007, lcl|NC_003070.9_cds_NP_973817.1_2577, lcl|NC_003070.9_cds_NP_001323307.1_2578, lcl|NC_003070.9_cds_NP_172813.1_2576
OG0000390	g10560.t1, g1896.t1, g17082.t1	lcl|NC_003074.8_cds_NP_001325653.1_23989, lcl|NC_003074.8_cds_NP_188630.1_23991, lcl|NC_003074.8_cds_NP_001325654.1_23990, lcl|NC_003074.8_cds_NP_001325652.1_23992, lcl|NC_003070.9_cds_NP_175453.2_7290, lcl|NC_003074.8_cds_NP_001154628.2_23988, lcl|NC_003070.9_cds_NP_174989.2_6472
OG0000392	g11382.t1, g11381.t1	lcl|NC_003070.9_cds_NP_001322049.1_6857, lcl|NC_003070.9_cds_NP_175237.1_6860, lcl|NC_003070.9_cds_NP_001322048.1_6859, lcl|NC_003070.9_cds_NP_849782.1_6861, lcl|NC_003070.9_cds_NP_001322047.1_6858, lcl|NC_003074.8_cds_NP_566571.1_23469, lcl|NC_003074.8_cds_NP_566570.3_23468, lcl|NC_003074.8_cds_NP_851005.1_23467
OG0000393	g1278.t1	lcl|NC_003076.8_cds_NP_568566.1_42842, lcl|NC_003070.9_cds_NP_175638.1_7612, lcl|NC_003074.8_cds_NP_188231.1_23249, lcl|NC_003075.7_cds_NP_001154217.1_31046, lcl|NC_003075.7_cds_NP_001190694.1_31047, lcl|NC_003075.7_cds_NP_192710.1_31048, lcl|NC_003075.7_cds_NP_001319888.1_31049, lcl|NC_003075.7_cds_NP_001328831.1_31050, lcl|NC_003075.7_cds_NP_849347.1_31051
OG0000394	g2927.t1	lcl|NC_003074.8_cds_NP_683646.1_25984, lcl|NC_003071.7_cds_NP_850372.4_19165, lcl|NC_003071.7_cds_NP_001324501.1_19163, lcl|NC_003071.7_cds_NP_850373.4_19164, lcl|NC_003070.9_cds_NP_001031178.1_7805, lcl|NC_003070.9_cds_NP_175738.1_7804, lcl|NC_003070.9_cds_NP_001031179.1_7806, lcl|NC_003074.8_cds_NP_001326778.1_23008, lcl|NC_003074.8_cds_NP_188112.1_23009
OG0000398	g29733.t1, g33272.t1, g33273.t1	lcl|NC_003070.9_cds_NP_974116.1_10615, lcl|NC_003070.9_cds_NP_177142.1_10612, lcl|NC_003070.9_cds_NP_001077803.1_10611, lcl|NC_003070.9_cds_NP_001185358.1_10614, lcl|NC_003070.9_cds_NP_849870.1_10613, lcl|NC_003070.9_cds_NP_001077802.1_10610, lcl|NC_003070.9_cds_NP_974117.1_10616
OG0000400	g24192.t1	lcl|NC_003071.7_cds_NP_850486.2_13460, lcl|NC_003071.7_cds_NP_001325312.1_19719, lcl|NC_003071.7_cds_NP_001318429.1_19718, lcl|NC_003071.7_cds_NP_001325311.1_19721, lcl|NC_003071.7_cds_NP_182078.1_19722, lcl|NC_003071.7_cds_NP_001325313.1_19720, lcl|NC_003071.7_cds_NP_001189752.1_19723, lcl|NC_003074.8_cds_NP_191651.3_29221, lcl|NC_003074.8_cds_NP_001325702.1_29220
OG0000405	g33487.t1	lcl|NC_003075.7_cds_NP_195632.1_36986, lcl|NC_003075.7_cds_NP_001328715.1_36985, lcl|NC_003071.7_cds_NP_001324979.1_15120, lcl|NC_003071.7_cds_NP_001324980.1_15124, lcl|NC_003071.7_cds_NP_001324981.1_15123, lcl|NC_003071.7_cds_NP_001324982.1_15122, lcl|NC_003071.7_cds_NP_001324978.1_15121, lcl|NC_003071.7_cds_NP_001031391.1_15126, lcl|NC_003071.7_cds_NP_179753.1_15125
OG0000406	g19040.t1	lcl|NC_003071.7_cds_NP_850044.1_15493, lcl|NC_003071.7_cds_NP_001031404.1_15494, lcl|NC_003071.7_cds_NP_179956.1_15492, lcl|NC_003071.7_cds_NP_001324137.1_15495
OG0000406	g35421.t1	lcl|NC_003075.7_cds_NP_001031797.4_36566, lcl|NC_003075.7_cds_NP_195405.4_36565, lcl|NC_003075.7_cds_NP_001329338.1_36567, lcl|NC_003075.7_cds_NP_001329337.1_36568
OG0000409	g23746.t1, g28694.t1, g27381.t1, g24195.t1, g6616.t1	lcl|NC_003071.7_cds_NP_001031469.1_17303, lcl|NC_003071.7_cds_NP_180871.1_17302, lcl|NC_003071.7_cds_NP_001323822.1_17301, lcl|NC_003071.7_cds_NP_850201.1_17300, lcl|NC_003071.7_cds_NP_001189664.1_17304
OG0000410	g18084.t1	lcl|NC_003074.8_cds_NP_187645.1_22061
OG0000410	g12423.t1, g12422.t1, g4755.t1, g4754.t1, g4757.t1, g4756.t1	lcl|NC_003074.8_cds_NP_190894.1_27747, lcl|NC_003071.7_cds_NP_181241.1_18024
OG0000420	g16122.t1	lcl|NC_003076.8_cds_NP_197778.1_41222, lcl|NC_003074.8_cds_NP_001078261.1_26993, lcl|NC_003074.8_cds_NP_190465.1_26985, lcl|NC_003074.8_cds_NP_001327179.1_26995, lcl|NC_003074.8_cds_NP_001078260.1_26994, lcl|NC_003074.8_cds_NP_190470.1_26997, lcl|NC_003074.8_cds_NP_001327180.1_26996, lcl|NC_003074.8_cds_NP_001030831.1_26999, lcl|NC_003074.8_cds_NP_850672.1_26998
OG0000437	g5028.t1, g12712.t1	lcl|NC_003076.8_cds_NP_851058.1_41005, lcl|NC_003076.8_cds_NP_197669.1_41003, lcl|NC_003076.8_cds_NP_851057.1_41004, lcl|NC_003076.8_cds_NP_001330970.1_41001, lcl|NC_003076.8_cds_NP_001330969.1_41002, lcl|NC_003076.8_cds_NP_001330971.1_41000, lcl|NC_003076.8_cds_NP_001330127.1_41007, lcl|NC_003076.8_cds_NP_197670.1_41008
OG0000468	g13167.t1, g1658.t1	lcl|NC_003070.9_cds_NP_001184886.1_170, lcl|NC_003070.9_cds_NP_001322176.1_168, lcl|NC_003070.9_cds_NP_171679.1_169, lcl|NC_003070.9_cds_NP_001322177.1_172, lcl|NC_003070.9_cds_NP_001322178.1_171, lcl|NC_003075.7_cds_NP_191980.2_29876, lcl|NC_003075.7_cds_NP_001329175.1_29875
OG0000475	g4980.t1, g12775.t1	lcl|NC_003071.7_cds_NP_001154537.1_16380, lcl|NC_003071.7_cds_NP_850119.1_16382, lcl|NC_003071.7_cds_NP_850118.1_16381, lcl|NC_003070.9_cds_NP_001322760.1_1485, lcl|NC_003070.9_cds_NP_001030994.1_1488, lcl|NC_003070.9_cds_NP_563805.1_1487, lcl|NC_003070.9_cds_NP_001322761.1_1486
OG0000476	g28779.t1, g10262.t2, g10262.t1, g29547.t1, g21046.t1	lcl|NC_003070.9_cds_NP_001320715.1_8061, lcl|NC_003070.9_cds_NP_175858.1_8062, lcl|NC_003070.9_cds_NP_172349.2_1626, lcl|NC_003070.9_cds_NP_001321098.1_1627
OG0000477	g31815.t1, g178.t1	lcl|NC_003070.9_cds_NP_172414.1_1770, lcl|NC_003070.9_cds_NP_001320572.1_8906, lcl|NC_003070.9_cds_NP_176280.1_8907, lcl|NC_003070.9_cds_NP_172537.1_2037, lcl|NC_003070.9_cds_NP_001184954.1_2039, lcl|NC_003070.9_cds_NP_849634.1_2038, lcl|NC_003070.9_cds_NP_001184953.1_2036
OG0000481	g17010.t1, g31742.t1, g950.t1, g33537.t1, g23292.t1, g92.t1, g32746.t1, g11200.t1	lcl|NC_003070.9_cds_NP_172801.1_2558
OG0000483	g27252.t1, g28572.t1	lcl|NC_003070.9_cds_NP_564878.1_9994, lcl|NC_003070.9_cds_NP_563945.2_2726, lcl|NC_003070.9_cds_NP_001319000.1_2727
OG0000483	g11068.t1, g30698.t1	lcl|NC_003070.9_cds_NP_174013.1_4899, lcl|NC_003070.9_cds_NP_001322695.1_4900
OG0000485	g5260.t1	lcl|NC_003070.9_cds_NP_173084.1_3118, lcl|NC_003070.9_cds_NP_001077547.1_3117, lcl|NC_003070.9_cds_NP_001031055.1_3119, lcl|NC_003070.9_cds_NP_001185011.1_3120, lcl|NC_003070.9_cds_NP_001319415.1_12298, lcl|NC_003070.9_cds_NP_001319414.1_12297, lcl|NC_003070.9_cds_NP_001319413.1_12296, lcl|NC_003070.9_cds_NP_178068.1_12299
OG0000494	g33717.t1	lcl|NC_003070.9_cds_NP_564138.1_4031, lcl|NC_003070.9_cds_NP_001321323.1_11838, lcl|NC_003070.9_cds_NP_001321321.1_11837, lcl|NC_003070.9_cds_NP_177823.2_11840, lcl|NC_003070.9_cds_NP_001321322.1_11843, lcl|NC_003070.9_cds_NP_001321324.1_11841, lcl|NC_003070.9_cds_NP_001321326.1_11842, lcl|NC_003070.9_cds_NP_001321325.1_11839
OG0000497	g34146.t1, g18353.t1	lcl|NC_003075.7_cds_NP_192684.1_31006, lcl|NC_003070.9_cds_NP_849749.1_6314, lcl|NC_003071.7_cds_NP_179263.1_14198, lcl|NC_003075.7_cds_NP_195225.1_36195, lcl|NC_003070.9_cds_NP_564176.2_4248, lcl|NC_003070.9_cds_NP_001322405.1_4249, lcl|NC_003070.9_cds_NP_001322404.1_4250
OG0000499	g182.t1	lcl|NC_003070.9_cds_NP_564195.1_4423, lcl|NC_003070.9_cds_NP_001323063.1_10718, lcl|NC_003070.9_cds_NP_974120.1_10721, lcl|NC_003070.9_cds_NP_001323060.1_10715, lcl|NC_003070.9_cds_NP_001323061.1_10716, lcl|NC_003070.9_cds_NP_001323062.1_10717, lcl|NC_003070.9_cds_NP_850975.1_10720, lcl|NC_003070.9_cds_NP_177206.1_10719
OG0000507	g19342.t1, g33911.t1, g26539.t1, g17982.t1	lcl|NC_003075.7_cds_NP_001154216.1_30952, lcl|NC_003075.7_cds_NP_567344.1_30953, lcl|NC_003070.9_cds_NP_001185138.1_6249, lcl|NC_003070.9_cds_NP_564453.1_6250, lcl|NC_003070.9_cds_NP_565176.1_12084
OG0000508	g26559.t1, g18011.t1	lcl|NC_003070.9_cds_NP_001321748.1_6267, lcl|NC_003070.9_cds_NP_001321749.1_6268, lcl|NC_003070.9_cds_NP_001321750.1_6269, lcl|NC_003070.9_cds_NP_001321753.1_6270, lcl|NC_003070.9_cds_NP_001321751.1_6264, lcl|NC_003070.9_cds_NP_174756.2_6266, lcl|NC_003070.9_cds_NP_001321752.1_6265
OG0000509	g25132.t1, g23714.t2, g16645.t1, g23714.t1	lcl|NC_003070.9_cds_NP_001320794.1_6377, lcl|NC_003070.9_cds_NP_001117417.1_6378, lcl|NC_003070.9_cds_NP_001185143.1_6374, lcl|NC_003070.9_cds_NP_174849.2_6375, lcl|NC_003070.9_cds_NP_174850.4_6376
OG0000511	g33816.t1	lcl|NC_003070.9_cds_NP_001031146.1_6506, lcl|NC_003070.9_cds_NP_973966.1_6505, lcl|NC_003070.9_cds_NP_001185150.1_6502, lcl|NC_003070.9_cds_NP_001185149.1_6501, lcl|NC_003070.9_cds_NP_001185152.1_6504, lcl|NC_003070.9_cds_NP_001185151.1_6503, lcl|NC_003070.9_cds_NP_175009.1_6499, lcl|NC_003070.9_cds_NP_001185148.1_6500
OG0000514	g34815.t1, g17510.t1	lcl|NC_003074.8_cds_NP_001325745.1_23542, lcl|NC_003074.8_cds_NP_566806.1_25306, lcl|NC_003076.8_cds_NP_199358.1_43936, lcl|NC_003074.8_cds_NP_566584.1_23544, lcl|NC_003074.8_cds_NP_001325744.1_23543, lcl|NC_003070.9_cds_NP_564525.1_6938, lcl|NC_003070.9_cds_NP_001321378.1_6939
OG0000516	g30654.t1	lcl|NC_003071.7_cds_NP_973609.1_17823, lcl|NC_003071.7_cds_NP_001189687.1_17822, lcl|NC_003071.7_cds_NP_565828.1_17821, lcl|NC_003071.7_cds_NP_001325253.1_17820, lcl|NC_003070.9_cds_NP_175553.1_7467, lcl|NC_003070.9_cds_NP_001322121.1_7465, lcl|NC_003070.9_cds_NP_001322122.1_7466, lcl|NC_003070.9_cds_NP_001322120.1_7464
OG0000520	g27045.t1	lcl|NC_003074.8_cds_NP_187555.1_21892, lcl|NC_003074.8_cds_NP_001319509.1_21891, lcl|NC_003074.8_cds_NP_001189847.1_21893, lcl|NC_003076.8_cds_NP_195869.1_37426, lcl|NC_003070.9_cds_NP_176036.1_8437, lcl|NC_003076.8_cds_NP_195870.1_37428, lcl|NC_003076.8_cds_NP_001119156.1_37427, lcl|NC_003074.8_cds_NP_001319510.1_21890
OG0000523	g11885.t1, g31154.t1	lcl|NC_003070.9_cds_NP_974073.2_9338, lcl|NC_003070.9_cds_NP_001322578.1_9339, lcl|NC_003070.9_cds_NP_001322579.1_9340, lcl|NC_003070.9_cds_NP_001077763.1_9342, lcl|NC_003070.9_cds_NP_001077762.1_9341, lcl|NC_003070.9_cds_NP_001185297.1_9344, lcl|NC_003070.9_cds_NP_564807.2_9343
OG0000529	g2179.t1, g5667.t1, g35025.t1	lcl|NC_003071.7_cds_NP_178224.1_12677, lcl|NC_003071.7_cds_NP_001031387.1_15062, lcl|NC_003071.7_cds_NP_001031386.1_15064, lcl|NC_003071.7_cds_NP_565508.1_15063, lcl|NC_003075.7_cds_NP_568049.1_36943, lcl|NC_003075.7_cds_NP_974710.1_36944
OG0000537	g14921.t1	lcl|NC_003075.7_cds_NP_001320165.1_36971, lcl|NC_003075.7_cds_NP_195626.1_36972, lcl|NC_003075.7_cds_NP_001190960.1_36973, lcl|NC_003071.7_cds_NP_001324691.1_15104, lcl|NC_003071.7_cds_NP_001324690.1_15103, lcl|NC_003071.7_cds_NP_001324689.1_15102, lcl|NC_003071.7_cds_NP_179746.1_15101, lcl|NC_003071.7_cds_NP_001318262.1_15100
OG0000540	g35291.t1, g19536.t2, g19536.t1, g35290.t1, g35285.t1, g35285.t2, g5487.t1, g5487.t2	lcl|NC_003071.7_cds_NP_179879.1_15360
OG0000541	g21361.t1, g3409.t1	lcl|NC_003076.8_cds_NP_196136.1_37916
OG0000541	g34222.t2, g34222.t1, g31056.t2, g31056.t1	lcl|NC_003071.7_cds_NP_001318288.1_15844, lcl|NC_003075.7_cds_NP_194967.1_35657
OG0000543	g7949.t2, g7949.t1	lcl|NC_003071.7_cds_NP_001323441.1_16105, lcl|NC_003071.7_cds_NP_001323440.1_16104, lcl|NC_003071.7_cds_NP_001118394.1_16103, lcl|NC_003071.7_cds_NP_001323438.1_16102, lcl|NC_003071.7_cds_NP_001323439.1_16101, lcl|NC_003071.7_cds_NP_001118393.1_16100, lcl|NC_003071.7_cds_NP_180249.4_16099
