qseqid	gene	protein_name	uniprot_acc	organism	Function	sacc	taxid	pident	qcovs	evalue	bitscore	stitle	sscinames	sskingdoms	PE	SV	length	staxids	uniprot_entry	full_desc
g25192	NA	Plastidic ATP/ADP-transporter	O24381	Solanum tuberosum	NA	sp|O24381|TLC1_SOLTU	4113	78.14	99	0	938	sp|O24381|TLC1_SOLTU Plastidic ATP/ADP-transporter OS=Solanum tuberosum OX=4113 PE=2 SV=2	N/A	N/A	2	2	645	0	TLC1_SOLTU	Plastidic ATP/ADP-transporter OS=Solanum tuberosum OX=4113 PE=2 SV=2
g25204	MYB113	Transcription factor MYB113	Q9FNV9	Arabidopsis thaliana	Transcription activator, when associated with BHLH002/EGL3/MYC146, BHLH012/MYC1, or BHLH042/TT8. {ECO:0000269|PubMed:15361138}.	sp|Q9FNV9|MY113_ARATH	3702	61.806	57	2.15e-58	188	sp|Q9FNV9|MY113_ARATH Transcription factor MYB113 OS=Arabidopsis thaliana OX=3702 GN=MYB113 PE=1 SV=1	N/A	N/A	1	1	144	0	MY113_ARATH	Transcription factor MYB113 OS=Arabidopsis thaliana OX=3702 GN=MYB113 PE=1 SV=1
g25292	CIPK5	CBL-interacting serine/threonine-protein kinase 5	Q9LEU7	Arabidopsis thaliana	CIPK serine-threonine protein kinases interact with CBL proteins. Binding of a CBL protein to the regulatory NAF domain of CIPK protein lead to the activation of the kinase in a calcium-dependent manner (By similarity). {ECO:0000250}.	sp|Q9LEU7|CIPK5_ARATH	3702	61.745	97	0	580	sp|Q9LEU7|CIPK5_ARATH CBL-interacting serine/threonine-protein kinase 5 OS=Arabidopsis thaliana OX=3702 GN=CIPK5 PE=1 SV=1	N/A	N/A	1	1	447	0	CIPK5_ARATH	CBL-interacting serine/threonine-protein kinase 5 OS=Arabidopsis thaliana OX=3702 GN=CIPK5 PE=1 SV=1
g25313	At1g13570	F-box/FBD/LRR-repeat protein At1g13570	Q9FZ70	Arabidopsis thaliana	NA	sp|Q9FZ70|FDL1_ARATH	3702	25.989	90	5.16e-13	69.7	sp|Q9FZ70|FDL1_ARATH F-box/FBD/LRR-repeat protein At1g13570 OS=Arabidopsis thaliana OX=3702 GN=At1g13570 PE=2 SV=1	N/A	N/A	2	1	177	0	FDL1_ARATH	F-box/FBD/LRR-repeat protein At1g13570 OS=Arabidopsis thaliana OX=3702 GN=At1g13570 PE=2 SV=1
g25314	At1g52360	Coatomer subunit beta'-2	Q9C827	Arabidopsis thaliana	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins (By similarity). {ECO:0000250}.	sp|Q9C827|COB22_ARATH	3702	61.923	99	1.2399999999999998e-96	303	sp|Q9C827|COB22_ARATH Coatomer subunit beta'-2 OS=Arabidopsis thaliana OX=3702 GN=At1g52360 PE=1 SV=1	N/A	N/A	1	1	260	0	COB22_ARATH	Coatomer subunit beta'-2 OS=Arabidopsis thaliana OX=3702 GN=At1g52360 PE=1 SV=1
g25315	At1g52360	Coatomer subunit beta'-2	Q9C827	Arabidopsis thaliana	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins (By similarity). {ECO:0000250}.	sp|Q9C827|COB22_ARATH	3702	73.272	88	1.0799999999999999e-107	334	sp|Q9C827|COB22_ARATH Coatomer subunit beta'-2 OS=Arabidopsis thaliana OX=3702 GN=At1g52360 PE=1 SV=1	N/A	N/A	1	1	217	0	COB22_ARATH	Coatomer subunit beta'-2 OS=Arabidopsis thaliana OX=3702 GN=At1g52360 PE=1 SV=1
g25316	At1g79990	Coatomer subunit beta'-1	Q9CAA0	Arabidopsis thaliana	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins (By similarity). {ECO:0000250}.	sp|Q9CAA0|COB21_ARATH	3702	77.966	44	1.29e-21	92.4	sp|Q9CAA0|COB21_ARATH Coatomer subunit beta'-1 OS=Arabidopsis thaliana OX=3702 GN=At1g79990 PE=2 SV=2	N/A	N/A	2	2	59	0	COB21_ARATH	Coatomer subunit beta'-1 OS=Arabidopsis thaliana OX=3702 GN=At1g79990 PE=2 SV=2
g28509	At2g30100	Pentatricopeptide repeat-containing protein At2g30100, chloroplastic	Q0WNN7	Arabidopsis thaliana	NA	sp|Q0WNN7|PP176_ARATH	3702	59.778	82	0	543	sp|Q0WNN7|PP176_ARATH Pentatricopeptide repeat-containing protein At2g30100, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g30100 PE=2 SV=2	N/A	N/A	2	2	450	0	PP176_ARATH	Pentatricopeptide repeat-containing protein At2g30100, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g30100 PE=2 SV=2
g28510	ETO1	Ethylene-overproduction protein 1	O65020	Arabidopsis thaliana	Essential regulator of the ethylene pathway, which acts by regulating the stability of 1-aminocyclopropane-1-carboxylate synthase (ACS) enzymes. May act as a substrate-specific adapter that connects ACS enzymes, such as ACS5, to ubiquitin ligase complexes, leading to proteasomal degradation of ACS enzymes. {ECO:0000269|PubMed:15118728, ECO:0000269|PubMed:16091151, ECO:0000269|PubMed:18808454}.	sp|O65020|ETO1_ARATH	3702	60.932	94	0	1129	sp|O65020|ETO1_ARATH Ethylene-overproduction protein 1 OS=Arabidopsis thaliana OX=3702 GN=ETO1 PE=1 SV=2	N/A	N/A	1	2	901	0	ETO1_ARATH	Ethylene-overproduction protein 1 OS=Arabidopsis thaliana OX=3702 GN=ETO1 PE=1 SV=2
g28511	MDIS2	Protein MALE DISCOVERER 2	C0LGQ4	Arabidopsis thaliana	Involved in the pollen tube perception of the female signal by binding an unidentified female attractant (PubMed:26863186). May be involved in the regulation of root hairs development (PubMed:16367956). {ECO:0000269|PubMed:16367956, ECO:0000269|PubMed:26863186}.	sp|C0LGQ4|MDIS2_ARATH	3702	43.051	94	1.2199999999999999e-163	487	sp|C0LGQ4|MDIS2_ARATH Protein MALE DISCOVERER 2 OS=Arabidopsis thaliana OX=3702 GN=MDIS2 PE=1 SV=1	N/A	N/A	1	1	662	0	MDIS2_ARATH	Protein MALE DISCOVERER 2 OS=Arabidopsis thaliana OX=3702 GN=MDIS2 PE=1 SV=1
g28520	GILT	Gamma-interferon-responsive lysosomal thiol protein	Q9SV73	Arabidopsis thaliana	Lysosomal thiol reductase that can reduce protein disulfide bonds. May facilitate the complete unfolding of proteins destined for lysosomal degradation. {ECO:0000250|UniProtKB:Q5XJN2}.	sp|Q9SV73|GILT_ARATH	3702	44.444	82	3.4199999999999994e-54	177	sp|Q9SV73|GILT_ARATH Gamma-interferon-responsive lysosomal thiol protein OS=Arabidopsis thaliana OX=3702 GN=GILT PE=2 SV=1	N/A	N/A	2	1	216	0	GILT_ARATH	Gamma-interferon-responsive lysosomal thiol protein OS=Arabidopsis thaliana OX=3702 GN=GILT PE=2 SV=1
g28521	GILT	Gamma-interferon-responsive lysosomal thiol protein	Q9SV73	Arabidopsis thaliana	Lysosomal thiol reductase that can reduce protein disulfide bonds. May facilitate the complete unfolding of proteins destined for lysosomal degradation. {ECO:0000250|UniProtKB:Q5XJN2}.	sp|Q9SV73|GILT_ARATH	3702	43.062	77	5.3e-53	175	sp|Q9SV73|GILT_ARATH Gamma-interferon-responsive lysosomal thiol protein OS=Arabidopsis thaliana OX=3702 GN=GILT PE=2 SV=1	N/A	N/A	2	1	209	0	GILT_ARATH	Gamma-interferon-responsive lysosomal thiol protein OS=Arabidopsis thaliana OX=3702 GN=GILT PE=2 SV=1
g28522	GILT	Gamma-interferon-responsive lysosomal thiol protein	Q9SV73	Arabidopsis thaliana	Lysosomal thiol reductase that can reduce protein disulfide bonds. May facilitate the complete unfolding of proteins destined for lysosomal degradation. {ECO:0000250|UniProtKB:Q5XJN2}.	sp|Q9SV73|GILT_ARATH	3702	42.105	90	3.36e-52	172	sp|Q9SV73|GILT_ARATH Gamma-interferon-responsive lysosomal thiol protein OS=Arabidopsis thaliana OX=3702 GN=GILT PE=2 SV=1	N/A	N/A	2	1	247	0	GILT_ARATH	Gamma-interferon-responsive lysosomal thiol protein OS=Arabidopsis thaliana OX=3702 GN=GILT PE=2 SV=1
g28523	CAD2	Cinnamoyl-CoA reductase CAD2	G7IYC1	Medicago truncatula	Involved in lignin biosynthesis (By similarity). Regulates the monolignol composition by catalyzing the conversion of cinnamoyl-CoAs into their corresponding cinnamaldehydes (By similarity). Can use coumaraldehyde and coniferaldehyde as substrates, but barely sinapaldehyde (PubMed:25217505). {ECO:0000250|UniProtKB:A0A059TC02, ECO:0000269|PubMed:25217505}.	sp|G7IYC1|CAD2_MEDTR	3880	48.457	99	4.1e-97	293	sp|G7IYC1|CAD2_MEDTR Cinnamoyl-CoA reductase CAD2 OS=Medicago truncatula OX=3880 GN=CAD2 PE=1 SV=1	N/A	N/A	1	1	324	0	CAD2_MEDTR	Cinnamoyl-CoA reductase CAD2 OS=Medicago truncatula OX=3880 GN=CAD2 PE=1 SV=1
g28526	FLX	Protein FLC EXPRESSOR	F4IMQ0	Arabidopsis thaliana	Transactivator required for FRIGIDA-mediated activation of FLC and for the expression of the repressors of flowering AGL27/MAF1 and AGL31/MAF2. Does not alter expression of known activators of FLC expression. Not required for the photoperiod response or for the vernalization response. Not redundant with FLXL4. {ECO:0000269|PubMed:18156133, ECO:0000269|PubMed:21282526, ECO:0000269|PubMed:23864009}.	sp|F4IMQ0|FLX_ARATH	3702	32.143	75	6.66e-18	83.2	sp|F4IMQ0|FLX_ARATH Protein FLC EXPRESSOR OS=Arabidopsis thaliana OX=3702 GN=FLX PE=1 SV=1	N/A	N/A	1	1	168	0	FLX_ARATH	Protein FLC EXPRESSOR OS=Arabidopsis thaliana OX=3702 GN=FLX PE=1 SV=1
g28527	UGT87A2	UDP-glycosyltransferase 87A2	O64733	Arabidopsis thaliana	NA	sp|O64733|U87A2_ARATH	3702	49.339	98	3.2e-156	453	sp|O64733|U87A2_ARATH UDP-glycosyltransferase 87A2 OS=Arabidopsis thaliana OX=3702 GN=UGT87A2 PE=1 SV=1	N/A	N/A	1	1	454	0	U87A2_ARATH	UDP-glycosyltransferase 87A2 OS=Arabidopsis thaliana OX=3702 GN=UGT87A2 PE=1 SV=1
g33370	BRR2C	DExH-box ATP-dependent RNA helicase DExH14	Q9FNQ1	Arabidopsis thaliana	RNA helicase that plays an essential role in pre-mRNA splicing as component of the U5 snRNP and U4/U6-U5 tri-snRNP complexes. Involved in spliceosome assembly, activation and disassembly. {ECO:0000250|UniProtKB:P32639}.	sp|Q9FNQ1|DEXHE_ARATH	3702	77.351	99	0	3381	sp|Q9FNQ1|DEXHE_ARATH DExH-box ATP-dependent RNA helicase DExH14 OS=Arabidopsis thaliana OX=3702 GN=BRR2C PE=2 SV=1	N/A	N/A	2	1	2084	0	DEXHE_ARATH	DExH-box ATP-dependent RNA helicase DExH14 OS=Arabidopsis thaliana OX=3702 GN=BRR2C PE=2 SV=1
g33371	PDCB2	PLASMODESMATA CALLOSE-BINDING PROTEIN 2	Q9SD84	Arabidopsis thaliana	Able to bind (1->3)-beta-D-glucans (laminarin). {ECO:0000269|PubMed:19223515}.	sp|Q9SD84|PDCB2_ARATH	3702	48.619	88	2.3099999999999998e-39	135	sp|Q9SD84|PDCB2_ARATH PLASMODESMATA CALLOSE-BINDING PROTEIN 2 OS=Arabidopsis thaliana OX=3702 GN=PDCB2 PE=1 SV=1	N/A	N/A	1	1	181	0	PDCB2_ARATH	PLASMODESMATA CALLOSE-BINDING PROTEIN 2 OS=Arabidopsis thaliana OX=3702 GN=PDCB2 PE=1 SV=1
g33372	RPPL1	Putative disease resistance RPP13-like protein 1	Q9LRR4	Arabidopsis thaliana	Potential disease resistance protein.	sp|Q9LRR4|R13L1_ARATH	3702	32.184	67	6.78e-7	50.4	sp|Q9LRR4|R13L1_ARATH Putative disease resistance RPP13-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=RPPL1 PE=3 SV=1	N/A	N/A	3	1	87	0	R13L1_ARATH	Putative disease resistance RPP13-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=RPPL1 PE=3 SV=1
g35117	SPCC23B6.04c	CRAL-TRIO domain-containing protein C23B6.04c	Q9UU99	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	NA	sp|Q9UU99|YJX4_SCHPO	284812	37.156	77	8.109999999999999e-35	136	sp|Q9UU99|YJX4_SCHPO CRAL-TRIO domain-containing protein C23B6.04c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC23B6.04c PE=1 SV=1	N/A	N/A	1	1	218	0	YJX4_SCHPO	CRAL-TRIO domain-containing protein C23B6.04c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC23B6.04c PE=1 SV=1
g8284	At1g29880	Glycine--tRNA ligase, mitochondrial 1	O23627	Arabidopsis thaliana	Catalyzes the ATP-dependent ligation of glycine to the 3'-end of its cognate tRNA, via the formation of an aminoacyl-adenylate intermediate (Gly-AMP). Also produces diadenosine tetraphosphate (Ap4A), a universal pleiotropic signaling molecule needed for cell regulation pathways, by direct condensation of 2 ATPs. Thereby, may play a special role in Ap4A homeostasis. {ECO:0000250|UniProtKB:P41250}.	sp|O23627|SYGM1_ARATH	3702	82.029	99	0	1175	sp|O23627|SYGM1_ARATH Glycine--tRNA ligase, mitochondrial 1 OS=Arabidopsis thaliana OX=3702 GN=At1g29880 PE=1 SV=1	N/A	N/A	1	1	690	0	SYGM1_ARATH	Glycine--tRNA ligase, mitochondrial 1 OS=Arabidopsis thaliana OX=3702 GN=At1g29880 PE=1 SV=1
