Sample_Name,DaysToFlower
Boltonia_394,140
Boltonia_395,360
Boltonia_396,160
Boltonia_397,95
Boltonia_398,360
Boltonia_399,90
Boltonia_400,167
Boltonia_401,195
Boltonia_402,360
Boltonia_403,360
Boltonia_404,360
Boltonia_405,160
Boltonia_406,187
Boltonia_407,360
Boltonia_408,188
Boltonia_409,360
Boltonia_410,113
Boltonia_411,360
Boltonia_412,360
Boltonia_413,360
Boltonia_414,99
Boltonia_415,360
Boltonia_416,360
Boltonia_417,116
Boltonia_418,360
Boltonia_419,106
Boltonia_420,182
Boltonia_421,360
Boltonia_422,360
Boltonia_423,76
Boltonia_424,160
Boltonia_425,360
Boltonia_426,360
Boltonia_427,360
Boltonia_428,196
Boltonia_429,360
Boltonia_430,360
Boltonia_431,360
Boltonia_432,360
Boltonia_433,175
Boltonia_434,188
Boltonia_435,360
Boltonia_435,360
Boltonia_436,360
Boltonia_437,360
Boltonia_438,360
Boltonia_439,360
Boltonia_440,137
Boltonia_441,360
Boltonia_442,166
Boltonia_443,360
Boltonia_444,111
