Id,Accession,Planting,Taxon,Area,Bed,Position/Spot,Inventory Date,Status,Plant Count,Planting Material Type,Source,Provenance,Property,Ipen,Restriction,Date received,Quantity received,Country,State,County,Collector,Collection Num,Collection Date,Sampling method,EO ID,EO number,Latitude,Longitude,Property ownership,Locality,Location Details,Notes on Habitat and soil,Mother Plant/Maternal Pop,Family,Seed/Lot #,Index Seminum Year
1118526,1994-2212,3,Boltonia decurrens ,Dry Stream Bed,04,,2011-10-20T00:00:00,Dead,0,Plant,Missouri Botanical Garden,Wild,Mobot,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118527,1994-2212,4,Boltonia decurrens ,Dry Stream Bed,<None>,,2008-02-28T00:00:00,Dead,0,Plant,Missouri Botanical Garden,Wild,Mobot,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118528,1994-2212,5,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-06-15T00:00:00,Dormant,200,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118529,1994-2212,6,Boltonia decurrens ,National Center for Genetic Resources Preservation,<None>,,1998-02-01T00:00:00,Dormant,0,Seed,Missouri Botanical Garden,Wild,Off Site,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118530,1994-2212,7,Boltonia decurrens ,Rare Plant Nursery at Arboretum,02,02,2017-01-23T14:01:24.32,Dead,1,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118531,1994-2212,8,Boltonia decurrens ,Rare Plant Nursery at Arboretum,02,02,2017-01-23T14:01:24.367,Dead,1,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118532,1994-2212,9,Boltonia decurrens ,Rare Plant Nursery at Arboretum,02,02,2017-01-23T14:01:24.413,Dead,1,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118520,1994-2212,10,Boltonia decurrens ,Rare Plant Nursery at Arboretum,02,02,2017-01-23T14:01:24.443,Dead,1,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118521,1994-2212,11,Boltonia decurrens ,Rare Plant Nursery at Arboretum,02,02,2017-01-23T14:01:24.49,Dead,1,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118522,1994-2212,12,Boltonia decurrens ,Rare Plant Nursery at Arboretum,02,02,2017-01-23T14:01:24.537,Dead,1,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118523,1994-2212,13,Boltonia decurrens ,Rare Plant Nursery at Arboretum,02,02,2017-01-23T14:01:24.583,Dead,1,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118524,1994-2212,14,Boltonia decurrens ,Rare Plant Nursery at Arboretum,02,02,2017-01-23T14:01:24.613,Dead,1,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118533,1994-2213,1,Boltonia decurrens ,National Center for Genetic Resources Preservation,<None>,,1998-02-01T00:00:00,Dormant,0,Seed,Missouri Botanical Garden,Wild,Off Site,,,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-8,21 Oct 1994,,,,,,,,"2.5 mi. N. of Hwy. 67, #2 on attached map; drainage ditch extending perpendicular to Hwy. 94","Banks of wet ditch, many seedlings present, full sun",,Asteraceae,,
1118534,1994-2214,1,Boltonia decurrens ,National Center for Genetic Resources Preservation,<None>,,1998-02-01T00:00:00,Dormant,0,Seed,Missouri Botanical Garden,Wild,Off Site,,,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-9,21 Oct 1994,,,,,,,,"1.5 mi. N. of Hwy. 67, #3 on attached map; non-cultiv., wet corner of farm field","Wet lowland area adjacent to cultiv. field, sunny",,Asteraceae,,
1122941,1995-2372,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-28T00:00:00,Dormant,940,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1995-11-20T00:00:00,Sev,United States,Illinois,Tazewell,Havens,s.n.,20 Oct 1995,,,,,,,"T26N, R4W Sec. 14, 22","Cooper Park North 
E. Peoria, along Illinois River",Disturbed flood plain,,Asteraceae,,
1122942,1995-2373,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-04-04T00:00:00,Dormant,940,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1995-11-20T00:00:00,Sev,United States,Illinois,Woodford,Havens,s.n.,20 Oct 1995,,,,,,,,Conservation area,Disturbed flood plain,,Asteraceae,,
1122943,1995-2374,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-03-09T00:00:00,Dormant,940,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1995-11-20T00:00:00,Sev,United States,Illinois,Peoria,Havens,s.n.,20 Oct 1995,,,,,,,,"City of Peoria
Under McClugage Bridge (SR 24) on W. side of Illinois River",Disturbed flood plain,,Asteraceae,,
1122944,1995-2375,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-28T00:00:00,Dormant,940,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1995-11-20T00:00:00,Sev,United States,Illinois,Fulton,Havens,s.n.,20 Oct 1995,,,,,,,,Rice Lake Conservation Area near Banner,Disturbed flood plain,,Asteraceae,,
1120390,1996-3191,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-03-24T00:00:00,Dormant,5000,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1996-11-08T00:00:00,~5000,United States,Illinois,Madison,Havens,s.n.,07 Nov 1996,,,,38.6861111,-90.1091667,,,"Horseshoe Lake State Park
In boggy depression near lake",Bottomland floodplain,,Asteraceae,,
1120391,1996-3192,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-03-24T00:00:00,Dormant,5000,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1996-11-08T00:00:00,~5000,United States,Missouri,St. Charles,Havens,s.n.,07 Nov 1996,,,,38.8869445,-90.2391667,,,"Field off U.S. 94, just W. of West Alton
Wet depression at corner of cultivated farm field",Bottomland flood plain,,Asteraceae,,
1120392,1996-3193,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-03-17T00:00:00,Dormant,7000,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1996-11-08T00:00:00,~7000,United States,Illinois,Jersey,Havens,s.n.,07 Nov 1996,,,,38.9747222,-90.5202778,,,"USFWS reserve off Hwy. 100, just W. of Grafton - 'Gilbert Lake' site
Wet prairie near confluence of Illinois & Missouri Rivers",Bottomland flood plain,,Asteraceae,,
1120393,1996-3194,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-04-14T00:00:00,Dormant,7000,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,US-1-MO-1996-3194,Project specific use only,1996-11-08T00:00:00,~7000,United States,Illinois,Morgan,Havens,s.n.,07 Nov 1996,,,,39.8547222,-90.566667,,,Banks of Meredosia Lake,Bottomland flood plain,,Asteraceae,,
1120394,1996-3195,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-04-14T00:00:00,Dormant,15000,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1996-11-08T00:00:00,"~15,000",United States,Illinois,Schuyler,Havens,s.n.,07 Nov 1996,,,,40.0711111,-90.4341666,,,"Bank of Illinois River near Frederick, IL",Bottomland flood plain,,Asteraceae,,
1152628,2004-0176,1,Boltonia decurrens ,Kemper Prairie Garden,01,,2010-11-11T00:00:00,Dead,0,Plant,"Niche Gardens (Chapel Hill, NC)",Cultivated,Mobot,,,2004-04-02T00:00:00,,,,,,,,,,,,,,,,,,Asteraceae,,
1179998,2011-2595,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-08-17T00:00:00,Dormant,8440,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,US-1-MO-2011-2595,Project specific use only,2011-12-01T00:00:00,85,United States,Illinois,,Smith,s.n.,09 Dec 1998,Maternal Lines,,,,,,,"Waste Management, Maternal lines = 30, Seedheads = 85; 6 packets",Open bottomland/floodplain,,Asteraceae,,
1179999,2011-2596,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-14T00:00:00,Dormant,2940,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,30,United States,Illinois,Woodford,Smith,s.n.,21 Nov 1997,,,,40.8852777,-89.4583333,,,"Woodford County site, Maternal lines = 30, Seedheads = 30; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180000,2011-2597,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-28T00:00:00,Dormant,2940,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,30,United States,Illinois,Fulton,Smith,s.n.,21 Nov 1997,,,,40.4925,-89.9022222,,,"Rice Lake, Maternal lines = 30, Seedheads = 30; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180001,2011-2598,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-12-01T00:00:00,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,98,United States,Illinois,Jersey,Smith,s.n.,08 Nov 1997,,,,,,,,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",Open bottomland/floodplain,,Asteraceae,,
1180002,2011-2599,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-12-01T00:00:00,Dormant,2632,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,28,United States,Illinois,Saint Clair,Smith,s.n.,05 Dec 1997,,,,38.6494444,-90.1161111,,,"Fairmont City, Maternal lines = 28, Seedheads = 28; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180003,2011-2600,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-04-13T00:00:00,Dormant,1440,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,15,United States,Illinois,Scott,Smith,s.n.,01 Jan 1995,,,,39.7852777,-90.5902777,,,"Smith Lake, Maternal lines = 7, Seedheads = 15; 1 packets",Open bottomland/floodplain,,Asteraceae,,
1180004,2011-2601,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-06-15T00:00:00,Dormant,300,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,3,United States,Illinois,,Smith,s.n.,16 Nov 1997,,,,,,,,"Metro East population, Colony 7, Maternal lines = 2, Seedheads = 3; 1 packets",Open bottomland/floodplain,,Asteraceae,,
1180005,2011-2602,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-14T00:00:00,Dormant,2540,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,26,United States,Illinois,,Smith,s.n.,16 Nov 1997,,,,,,,,"Metro East population, Colony 1, Maternal lines = 1, Seedheads = 26; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180006,2011-2603,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-14T00:00:00,Dormant,2940,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,30,United States,Illinois,,Smith,s.n.,16 Nov 1997,,,,,,,,"Metro East population, Colony 11, Maternal lines = 1, Seedheads = 30; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180007,2011-2604,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-14T00:00:00,Dormant,2940,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,30,United States,Illinois,,Smith,s.n.,16 Nov 1997,,,,,,,,"Metro East population, Colony 5, Maternal lines = 3, Seedheads = 30; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180008,2011-2605,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-21T00:00:00,Dormant,2840,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,29,United States,Illinois,,Smith,s.n.,16 Nov 1997,,,,,,,,"Metro East population, Colony 9, Maternal lines = 2, Seedheads = 29; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180009,2011-2606,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-14T00:00:00,Dormant,2840,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,29,United States,Illinois,,Smith,s.n.,16 Nov 1997,,,,,,,,"Metro East population, Colony 8, Maternal lines = 1, Seedheads = 29; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180010,2011-2607,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-21T00:00:00,Dormant,2640,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,27,United States,Illinois,,Smith,s.n.,16 Nov 1997,,,,,,,,"Metro East population, Colony 3, Maternal lines = 1, Seedheads = 27; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180011,2011-2608,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-21T00:00:00,Dormant,3040,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,31,United States,Illinois,Peoria,Smith,s.n.,21 Nov 1997,,,,40.7222223,-89.5519444,,,"McClugage Bridge, Maternal lines = 31, Seedheads = 31; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180012,2011-2609,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-12-01T00:00:00,Dormant,8688,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,3,United States,Illinois,Madison,Smith,s.n.,01 Nov 2000,,,,38.6891666,-90.0972222,,,"Horseshoe Lake, Maternal lines = 30, Seedheads = 90; 3 packets",Open bottomland/floodplain,,Asteraceae,,
1180013,2011-2610,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-14T00:00:00,Dormant,3340,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,34,United States,Illinois,,Smith,s.n.,16 Nov 1997,,,,,,,,"Metro East population, Colony 6, Maternal lines = 2, Seedheads = 34; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180014,2011-2611,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-04-28T00:00:00,Dormant,800,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,8,United States,Illinois,Madison,Smith,s.n.,02 Nov 2001,,,,38.6891666,-90.0972222,,,"Horeseshoe Lake, Maternal lines = Bulk Collection, Seedheads = 8; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180015,2011-2612,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-04-13T00:00:00,Dormant,20140,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,202,United States,Illinois,Fulton,Smith,s.n.,14 Oct 1999,,,,40.4925,-89.9022222,,,"Rice Lake, Maternal lines = A 25, Seedheads = 202; 3 packets",Open bottomland/floodplain,,Asteraceae,,
1180016,2011-2613,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-12-01T00:00:00,Dormant,5913,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,61,United States,Illinois,Fulton,Smith,s.n.,01 Oct 2000,,,,40.2047222,-90.1994444,,,"Anderson Lake, Maternal lines = 30, Seedheads = 61; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180017,2011-2614,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-03-21T00:00:00,Dormant,3040,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,31,United States,Illinois,Tazewell,Smith,s.n.,21 Nov 1997,,,,,,,,"Cooper Park South, Maternal lines = 31, Seedheads = 31; 1 packets",Open bottomland/floodplain,,Asteraceae,,
1180018,2011-2615,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-03-24T00:00:00,Dormant,6000,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,60,United States,Illinois,Woodford,Smith,s.n.,29 Oct 1996,,,,40.8852777,-89.4583333,,,"Woodford County, Maternal lines = 12, Seedheads = 60; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180019,2011-2616,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-02-21T00:00:00,Dormant,3040,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,31,United States,Illinois,Hennepin,Smith,s.n.,21 Nov 1997,,,,,,,,"Hennepin Bridge, Maternal lines = 30, Seedheads = 31; 1 packets",Open bottomland/floodplain,,Asteraceae,,
1180020,2011-2617,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-04-14T00:00:00,Dormant,5000,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,50,United States,Illinois,Fulton,Smith,s.n.,01 Jan 1996,,,,40.4925,-89.9022222,,,"Rice Lake, Maternal lines = 10, Seedheads = 50; 2 packets",Open bottomland/floodplain,,Asteraceae,,
1180021,2011-2618,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-12-01T00:00:00,Dormant,8685,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,90,United States,Illinois,Peoria,Smith,s.n.,11 Nov 1999,,,,40.7222223,-89.5519444,,,"McClugage Bridge, Maternal lines = 30, Seedheads = 90; 4 packets",Open bottomland/floodplain,,Asteraceae,,
1180022,2011-2619,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-09-22T00:00:00,Dormant,5540,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,56,United States,Illinois,Morgan,Smith,s.n.,11 Nov 1998,,,,39.8672223,-90.5533333,,,"Meredosia Lake, Maternal lines = 30, Seedheads = 56; 3 packets",Open bottomland/floodplain,,Asteraceae,,
1180023,2011-2620,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-12-01T00:00:00,Dormant,8756,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,90,United States,Illinois,Morgan,Smith,s.n.,07 Oct 1999,,,,39.8672223,-90.5533333,,,"Meredosia Lake, Maternal lines = 30, Seedheads = 90; 5 packets",Open bottomland/floodplain,,Asteraceae,,
1180024,2011-2621,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-04-14T00:00:00,Dormant,10000,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,100,United States,Illinois,Morgan,Smith,s.n.,01 Nov 1996,,,,39.8672223,-90.5533333,,,"Meredosia Lake, Maternal lines = 20, Seedheads = 100; 6 packets",Open bottomland/floodplain,,Asteraceae,,
1180025,2011-2622,1,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2023-03-09T00:00:00,Dormant,3240,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,2011-12-01T00:00:00,33,United States,Illinois,Marshal,Smith,s.n.,21 Nov 1997,,,,,,,,"Marshal county, Maternal lines = 31, Seedheads = 33; 2 packets",Open bottomland/floodplain,,Asteraceae,,
