label,index,Date.1,Surv.1,numStem.1,numRos.1,stemLength.1,numLvs.1,# latBuds.1,leafLong.1,leafWide.1,numFlwrBud.1,flwrBud.1,Date.2,Surv.2,numStem.2,numRos.2,stemLength.2,numLvs.2,leafLong.2,leafWide.2,flwrBud.2,notes.2,Date.3,numStem.3,numRos.3,stemLength.3,numLvs.3,leafLong.3,leafWide.3,numFlwrB.3,numRayF.3,numDiscF.3,firstFlwr.3,Date.4,Surv.4,numStem.4,numRos.4,numLSt.4,stemLength.4,numFlwrB.4,numRayF.4,numDiscF.4,firstFlwr.4,notes.4,Date.5,Surv.5,numStem.5,numRos.5,numLSt.5,stemLength.5,numFlwrB.5,numRayF.5,numDiscF.5,firstFlwr.5,notes.5,Date.6,Surv.6,numStem.6,numRos.6,numLSt.6,stemLength.6,numFlwrB.6,numRayF.6,numDiscF.6,notes.6,Date.7,Surv.7,numStem.7,numRos.7,numLSt.7,stemLength.7,numFlwrB.7,numRayF.7,numDiscF.7,notes.7,Date.8 ,Surv.8,numStem.8,numRos.8,numLSt.8,stemLength.8,numFlwrB.8,numRayF.8,numDiscF.8,notes.8,Date.9,Surv.9,numStem.9,numRos.9,numLSt.9,stemLength.9,numFlwrB.9,numRayF.9,numDiscF.9,numDeadF.9,notes.9,Date.10,Surv.10,numStem.10,numRos.10,numLSt.10,stemLength.10,numFlwrB.10,numRayF.10,numDiscF.10,numDeadF.10,notes.10,Date.11,Surv.11,numStem.11,numRos.11,numLSt.11,stemLength.11,numFlwrB.11,numRayF.11,numDiscF.11,numDeadF.11,notes.11,Date.12,Surv.12,numStem.12,numRos.12,numLSt.12,stemLength.12,numFlwrB.12,numRayF.12,numDiscF.12,numDeadF.12,notes.12,Date.13,Surv.13,numStem.13,numRos.13,numLSt.13,stemLength.13,numRayF.13,numDiscF.13,numDeadF.13,notes.13,Date.14,Surv.14,numStem.14,numRos.14,stemLength.14,numRayF.14,numDiscF.14,numDeadF.14,notes.14
6-5-7,11,5/1/2024,Y,0,1,NA,12,0,10.6,1.6,NA,NA,5/8/2024,Y,0,1,NA,14,20.1,1.6,NA,,5/15/2024,0,1,NA,18,22.9,1.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,1,N/A,N/A,N/A,N/A,
2-6-8,12,5/1/2024,Y,0,1,NA,11,2,15.7,1.5,NA,NA,5/8/2024,Y,1,2,1.7,17,23.8,1.8,0,,5/15/2024,1,0,2.6,18,31.2,2.0,0,0,0,,5/22/2024,Y,1,0,0,8.8,0,0,0,,,5/29/2024,Y,1,0,0,22.5,0,0,0,,,6/5/24,Y,1,0,0,49.2,0,0,0,,6/12/24,Y,1,0,0,63.1,0,0,0,,6/19/24,Y,1,0,0,58.4,0,0,0,Many lower leaves dead,6/26/24,Y,1,1,0,84,0,0,0,0,,7/3/24,Y,1,0,0,96.5,0,0,0,0,,7/11/24,Y,1,0,0,115.6,0,0,0,0,,7/18/24,Y,1,0,3,130.5,0,0,0,0,,7/25/24,Y,1,0,0,146.1,0,0,0,,8/7/24,Y,1,0,152.3,7,1,0,
5-6-5,13,5/1/2024,Y,0,1,NA,10,0,11.6,2.1,NA,NA,5/8/2024,Y,1,0,0.9,13,20.4,2.7,0,,5/15/2024,1,0,1.0,16,20.6,2.5,0,0,0,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,1,1,0,DNR,0,0,0,0,Stem just beginning to form ,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,1,1,0,28.6,0,0,0,0,Abnormal stem ,7/25/24,Y,1,1,0,42,0,0,0,Abnormal stem ,8/7/24,Y,1,1,65.5,0,0,0,
10-6-5,14,5/1/2024,Y,0,1,NA,10,0,11.1,1.6,NA,NA,5/8/2024,Y,0,1,NA,13,15.4,1.5,NA,,5/15/2024,0,1,NA,16,20.2,1.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,1,N/A,N/A,N/A,N/A,
1-2-6,15,5/1/2024,Y,1,0,8.2,15,8,12.5,2.0,0,N,5/8/2024,Y,3,1,17.6,46,12.5,1.3,0,,5/15/2024,3,0,26.8,70,15.4,1.6,2,0,0,,5/22/2024,Y,3,0,7,29,3,2,0,,,5/29/2024,Y,3,0,9,28.6,3,1,3,,,6/5/24,Y,3,0,5,30.4,4,2,5,,6/12/24,Y,3,0,7,29.8,2,1,8,5 of 8 discs senesced,6/19/24,Y,3,0,10,28.9,5,1,10,9 of 10 discs senesced,6/26/24,Y,1,1,9,27.5,15,0,2,9,,7/3/24,Y,3,0,15,,13,2,4,9,,7/11/24,Y,3,0,15,62,16,3,6,9,,7/18/24,Y,3,0,15,28.5,9,4,7,12,New stems much taller,7/25/24,Y,3,0,18,28.5,1,11,12,,8/7/24,Y,3,0,29.2,7,18,13,
9-6-8,16,5/1/2024,Y,0,1,NA,11,0,13.2,2.1,NA,NA,5/8/2024,Y,1,2,1.1,16,18.1,2.1,0,,5/15/2024,0,1,NA,17,22.6,2.1,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,3,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,3,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,4,N/A,N/A,N/A,N/A,
9-5-3,17,5/1/2024,Y,1,0,1.4,10,0,9.1,2.2,0,N,5/8/2024,Y,1,1,1.3,13,13.8,2.6,0,,5/15/2024,0,1,NA,16,18.0,2.6,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,2,N/A,N/A,N/A,N/A,
1-6-11,18,5/1/2024,Y,0,1,NA,6,0,4.6,1.0,NA,NA,5/8/2024,Y,0,1,NA,8,5.3,1.5,NA,,5/15/2024,0,1,NA,10,9.0,1.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,2,N/A,N/A,N/A,N/A,
2-3-5,19,5/1/2024,Y,0,1,NA,9,0,12.0,1.6,NA,NA,5/8/2024,Y,0,1,NA,12,20.5,1.8,NA,,5/15/2024,0,1,NA,15,24.1,1.6,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,1,N/A,N/A,N/A,N/A,
7-1-6,20,5/1/2024,Y,0,1,NA,8,0,7.6,1.4,NA,NA,5/8/2024,Y,0,1,NA,10,13.9,2,NA,,5/15/2024,0,1,NA,13,18.4,2.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,1,N/A,N/A,N/A,N/A,
2-4-1,21,5/1/2024,Y,0,1,NA,10,0,11.0,1.9,NA,NA,5/8/2024,Y,0,1,NA,12,15.8,2.3,NA,,5/15/2024,0,1,NA,16,19.5,2.0,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,1,N/A,N/A,N/A,N/A,
10-2-3,22,5/1/2024,Y,0,1,NA,9,0,5.4,1.3,NA,NA,5/8/2024,Y,0,1,NA,10,9.5,1.1,NA,,5/15/2024,0,1,NA,12,13.6,1.4,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,3,N/A,N/A,N/A,N/A,
4-4-1,23,5/1/2024,Y,0,1,NA,10,0,17.2,2.1,NA,NA,5/8/2024,Y,1,1,3.1,19,24.8,2.5,0,,5/15/2024,1,0,12.6,21,26.0,2.6,0,0,0,,5/22/2024,Y,1,1,0,24.9,0,0,0,,,5/29/2024,Y,1,0,0,39.5,0,0,0,,,6/5/24,Y,1,0,0,57.2,0,0,0,,6/12/24,Y,1,0,0,72.1,0,0,0,,6/19/24,Y,1,0,0,69.5,0,0,0,,6/26/24,Y,1,1,4,93,1,0,0,0,,7/3/24,Y,1,1,5,104.1,2,0,0,0,,7/11/24,Y,1,1,7,112.4,3,1,0,0,,7/18/24,Y,1,1,8,108.8,5,1,1,0,,7/25/24,Y,1,1,8,108.8,2,2,0,,8/7/24,Y,1,1,109.4,8,11,0,
5-2-11,24,5/1/2024,Y,1,0,5.3,34,8,11.5,2.1,0,N,5/8/2024,Y,1,3,19.1,52,12.6,1.9,Y,,5/15/2024,1,1,29.0,65,13.1,1.6,5,1,0,,5/22/2024,Y,1,2,8,29,2,4,1,,,5/29/2024,Y,2,2,6,29.4,4,1,6,,,6/5/24,Y,3,2,4,31.5,2,4,7,Some discs senesced,6/12/24,Y,1,2,7,30.5,0,1,11,7 of 11 discs senesced,6/19/24,Y,1,2,6,28.6,0,0,14,11 of 14 discs senesced,6/26/24,Y,1,2,8,29,16,0,7,7,,7/3/24,Y,1,2,8,29.3,20,0,4,9,,7/11/24,Y,1,2,9,28.4,21,0,0,13,,7/18/24,Y,3,2,12,29.3,15,3,0,13,,7/25/24,Y,2,2,10,32.5,5,4,14,,8/7/24,Y,1,2,29.8,2,13,15,
2-6-12,25,5/1/2024,Y,0,1,NA,12,1,11.8,2.0,NA,NA,5/8/2024,Y,0,1,NA,13,15.6,2.3,NA,,5/15/2024,0,1,NA,19,22.2,2.3,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,4,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,4,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,4,N/A,N/A,N/A,N/A,
