label,index,Date.1,Surv.1,numStem.1,numRos.1,stemLength.1,numLvs.1,# latBuds.1,leafLong.1,leafWide.1,numFlwrBud.1,flwrBud.1,Date.2,Surv.2,numStem.2,numRos.2,stemLength.2,numLvs.2,leafLong.2,leafWide.2,flwrBud.2,notes.2,Date.3,numStem.3,numRos.3,stemLength.3,numLvs.3,leafLong.3,leafWide.3,numFlwrB.3,numRayF.3,numDiscF.3,firstFlwr.3,Date.4,Surv.4,numStem.4,numRos.4,numLSt.4,stemLength.4,numFlwrB.4,numRayF.4,numDiscF.4,firstFlwr.4,notes.4,Date.5,Surv.5,numStem.5,numRos.5,numLSt.5,stemLength.5,numFlwrB.5,numRayF.5,numDiscF.5,firstFlwr.5,notes.5,Date.6,Surv..6,numStem.6,numRos.6,numLSt.6,stemLength.6,numFlwrB.6,numRayF.6,numDiscF.6,notes.6,Date.7,Surv.7,numStem.7,numRos.7,numLSt.7,stemLength.7,numFlwrB.7,numRayF.7,numDiscF.7,notes.7,Index2,Date.8 ,Surv.8,numStem.8,numRos.8,numLSt.8,stemLength.8,numFlwrB.8,numRayF.8,numDiscF.8,notes.8
6-5-7,11,5/1/2024,Y,0,1,NA,12,0,10.6,1.6,NA,NA,5/8/2024,Y,0,1,NA,14,20.1,1.6,NA,,5/15/2024,0,1,NA,18,22.9,1.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,11,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
2-6-8,12,5/1/2024,Y,0,1,NA,11,2,15.7,1.5,NA,NA,5/8/2024,Y,1,2,1.7,17,23.8,1.8,0,,5/15/2024,1,0,2.6,18,31.2,2.0,0,0,0,,5/22/2024,Y,1,0,0,8.8,0,0,0,,,5/29/2024,Y,1,0,0,22.5,0,0,0,,,6/5/24,Y,1,0,0,49.2,0,0,0,,6/12/24,Y,1,0,0,63.1,0,0,0,,12,6/19/24,Y,1,0,0,58.4,0,0,0,Many lower leaves dead
5-6-5,13,5/1/2024,Y,0,1,NA,10,0,11.6,2.1,NA,NA,5/8/2024,Y,1,0,0.9,13,20.4,2.7,0,,5/15/2024,1,0,1.0,16,20.6,2.5,0,0,0,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,13,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
10-6-5,14,5/1/2024,Y,0,1,NA,10,0,11.1,1.6,NA,NA,5/8/2024,Y,0,1,NA,13,15.4,1.5,NA,,5/15/2024,0,1,NA,16,20.2,1.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,14,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
1-2-6,15,5/1/2024,Y,1,0,8.2,15,8,12.5,2.0,0,N,5/8/2024,Y,3,1,17.6,46,12.5,1.3,0,,5/15/2024,3,0,26.8,70,15.4,1.6,2,0,0,,5/22/2024,Y,3,0,7,29,3,2,0,,,5/29/2024,Y,3,0,9,28.6,3,1,3,,,6/5/24,Y,3,0,5,30.4,4,2,5,,6/12/24,Y,3,0,7,29.8,2,1,8,5 of 8 discs senesced,15,6/19/24,Y,3,0,10,28.9,5,1,10,9 of 10 discs senesced
9-6-8,16,5/1/2024,Y,0,1,NA,11,0,13.2,2.1,NA,NA,5/8/2024,Y,1,2,1.1,16,18.1,2.1,0,,5/15/2024,0,1,NA,17,22.6,2.1,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,16,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
9-5-3,17,5/1/2024,Y,1,0,1.4,10,0,9.1,2.2,0,N,5/8/2024,Y,1,1,1.3,13,13.8,2.6,0,,5/15/2024,0,1,NA,16,18.0,2.6,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,17,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
1-6-11,18,5/1/2024,Y,0,1,NA,6,0,4.6,1.0,NA,NA,5/8/2024,Y,0,1,NA,8,5.3,1.5,NA,,5/15/2024,0,1,NA,10,9.0,1.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,18,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
2-3-5,19,5/1/2024,Y,0,1,NA,9,0,12.0,1.6,NA,NA,5/8/2024,Y,0,1,NA,12,20.5,1.8,NA,,5/15/2024,0,1,NA,15,24.1,1.6,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,19,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
7-1-6,20,5/1/2024,Y,0,1,NA,8,0,7.6,1.4,NA,NA,5/8/2024,Y,0,1,NA,10,13.9,2,NA,,5/15/2024,0,1,NA,13,18.4,2.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,20,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
2-4-1,21,5/1/2024,Y,0,1,NA,10,0,11.0,1.9,NA,NA,5/8/2024,Y,0,1,NA,12,15.8,2.3,NA,,5/15/2024,0,1,NA,16,19.5,2.0,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,21,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
10-2-3,22,5/1/2024,Y,0,1,NA,9,0,5.4,1.3,NA,NA,5/8/2024,Y,0,1,NA,10,9.5,1.1,NA,,5/15/2024,0,1,NA,12,13.6,1.4,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,22,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
4-4-1,23,5/1/2024,Y,0,1,NA,10,0,17.2,2.1,NA,NA,5/8/2024,Y,1,1,3.1,19,24.8,2.5,0,,5/15/2024,1,0,12.6,21,26.0,2.6,0,0,0,,5/22/2024,Y,1,1,0,24.9,0,0,0,,,5/29/2024,Y,1,0,0,39.5,0,0,0,,,6/5/24,Y,1,0,0,57.2,0,0,0,,6/12/24,Y,1,0,0,72.1,0,0,0,,23,6/19/24,Y,1,0,0,69.5,0,0,0,
5-2-11,24,5/1/2024,Y,1,0,5.3,34,8,11.5,2.1,0,N,5/8/2024,Y,1,3,19.1,52,12.6,1.9,Y,,5/15/2024,1,1,29.0,65,13.1,1.6,5,1,0,,5/22/2024,Y,1,2,8,29,2,4,1,,,5/29/2024,Y,2,2,6,29.4,4,1,6,,,6/5/24,Y,3,2,4,31.5,2,4,7,Some discs senesced,6/12/24,Y,1,2,7,30.5,0,1,11,7 of 11 discs senesced,24,6/19/24,Y,1,2,6,28.6,0,0,14,11 of 14 discs senesced
2-6-12,25,5/1/2024,Y,0,1,NA,12,1,11.8,2.0,NA,NA,5/8/2024,Y,0,1,NA,13,15.6,2.3,NA,,5/15/2024,0,1,NA,19,22.2,2.3,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,25,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
6-3-5,26,5/1/2024,Y,0,1,NA,13,0,8.2,1.5,NA,NA,5/8/2024,Y,0,1,NA,14,13.5,2.2,NA,,5/15/2024,0,1,NA,19,17.3,2.4,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,26,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
8-6-12,27,5/1/2024,Y,0,1,NA,8,0,6.9,1.3,NA,NA,5/8/2024,Y,0,1,NA,10,15.2,1.3,NA,,5/15/2024,0,1,NA,13,17.6,1.3,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,27,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
9-4-8,28,5/1/2024,Y,1,0,0.7,10,0,12.7,2.0,0,N,5/8/2024,Y,1,2,0.7,17,20.1,2.1,0,Arguably still rosette but form at base showing signs of verticle growth.,5/15/2024,0,1,NA,20,23.1,2.2,NA,NA,NA,,5/22/2024,Y,0,2,0,NA,NA,NA,NA,,,5/29/2024,Y,0,2,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,28,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
10-6-12,29,5/1/2024,Y,0,1,NA,9,0,8.4,1.7,NA,NA,5/8/2024,Y,0,1,NA,11,13.7,2,NA,,5/15/2024,0,1,NA,14,18.2,2.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,29,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
9-6-11,30,5/1/2024,Y,0,1,NA,10,0,10.9,1.8,NA,NA,5/8/2024,Y,1,0,0.7,12,15.9,2.1,0,Arguably still rosette but form at base showing signs of verticle growth.,5/15/2024,0,1,NA,15,22.3,2.2,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,30,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
10-5-4,31,5/1/2024,Y,0,1,NA,12,0,10.6,1.5,NA,NA,5/8/2024,Y,0,1,NA,14,15.2,1.3,NA,,5/15/2024,0,1,NA,18,20.7,1.6,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,31,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
3-1-8,32,5/1/2024,Y,0,2,NA,12,0,5.8,1.1,NA,NA,5/8/2024,Y,0,2,NA,16,10.2,1.4,NA,,5/15/2024,0,2,NA,20,13.5,1.6,NA,NA,NA,,5/22/2024,Y,0,2,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,32,6/19/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,
7-5-8,33,5/1/2024,Y,1,1,6.2,22,2,10.3,2.0,0,N,5/8/2024,Y,3,1,17,38,12.3,1.8,Y,,5/15/2024,2,1,29.5,64,18.7,1.4,5,0,0,,5/22/2024,Y,1,2,8,30.7,7,4,0,,,5/29/2024,Y,1,3,9,31,5,1,5,,,6/5/24,Y,1,2,7,32.3,2,3,9,Some discs senesced,6/12/24,Y,1,2,5,32.3,0,1,12,10 of 12 discs senesced,33,6/19/24,Y,1,2,5,31.7,0,0,13,All discs senesced
6-3-8,34,5/1/2024,Y,0,1,NA,13,0,13.6,1.8,NA,NA,5/8/2024,Y,0,1,NA,15,17.4,2.1,NA,On cusp of bolting,5/15/2024,0,1,NA,18,18.6,2.1,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,34,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
7-5-12,35,5/1/2024,Y,0,1,NA,12,0,10.4,2.1,NA,NA,5/8/2024,Y,0,1,NA,14,16,2.2,NA,,5/15/2024,0,1,NA,18,18.8,2.0,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,35,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
5-4-2,36,5/1/2024,Y,0,1,NA,12,0,13.1,1.8,NA,NA,5/8/2024,Y,1,0,0.9,14,19.5,2.3,0,,5/15/2024,0,1,NA,18,21.1,2.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,1,0,0,1.4,0,0,0,,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,1,1,0,1.5,0,0,0,"Misformed, swirling stem ",36,6/19/24,Y,1,1,0,2.2,0,0,0,Whirled stem 
10-3-5,37,5/1/2024,Y,0,1,NA,10,0,9.0,1.2,NA,NA,5/8/2024,Y,0,1,NA,12,14.2,1.1,NA,,5/15/2024,0,1,NA,14,18.7,1.6,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,37,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
11-5-8,38,5/1/2024,Y,0,1,NA,11,0,7.8,1.4,NA,NA,5/8/2024,Y,0,1,NA,13,10.6,1.2,NA,,5/15/2024,0,1,NA,15,12.7,1.7,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,38,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
8-1-6,39,5/1/2024,Y,0,1,NA,7,0,6.6,1.3,NA,NA,5/8/2024,Y,0,1,NA,9,9.8,1.5,NA,,5/15/2024,0,1,NA,10,15.6,1.6,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,39,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
7-6-2,40,5/1/2024,Y,0,1,NA,10,0,10.3,1.6,NA,NA,5/8/2024,Y,0,1,NA,10,21.6,2.2,NA,,5/15/2024,0,1,NA,13,25.6,2.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,40,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
2-6-3,41,5/1/2024,Y,0,1,NA,11,0,9.5,1.5,NA,NA,5/8/2024,Y,0,2,NA,15,12.7,1.6,NA,,5/15/2024,0,1,NA,20,18.5,1.7,NA,NA,NA,,5/22/2024,Y,0,2,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,41,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
6-3-6,42,5/1/2024,Y,0,1,NA,18,2,10.3,1.8,NA,NA,5/8/2024,Y,1,1,1.5,22,15.1,1.8,0,,5/15/2024,0,1,NA,22,16.9,2.0,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,42,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
6-4-9,43,5/1/2024,Y,0,1,NA,13,0,12.1,2.1,NA,NA,5/8/2024,Y,1,0,0.6,13,19.9,2.4,0,,5/15/2024,0,1,NA,19,20.6,2.5,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,43,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
5-1-1,44,5/1/2024,Y,0,1,NA,8,0,11.8,2.8,NA,NA,5/8/2024,Y,0,1,NA,7,19.1,3.3,NA,,5/15/2024,0,1,NA,13,24.9,3.9,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,44,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
2-3-3,45,5/1/2024,Y,0,1,NA,12,0,10.8,1.6,NA,NA,5/8/2024,Y,0,1,NA,16,14.3,1.7,NA,,5/15/2024,0,1,NA,18,17.7,1.9,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,45,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
4-3-4,46,5/1/2024,Y,0,1,NA,14,5,16.5,2.3,NA,NA,5/8/2024,Y,1,1,2,34,24.3,2.6,0,,5/15/2024,1,0,0.6,28,25.2,2.8,0,0,0,,5/22/2024,Y,1,1,0,1.2,0,0,0,,,5/29/2024,Y,1,0,0,1.5,0,0,0,,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,1,1,0,1.8,0,0,0,Misformed stem ,46,6/19/24,Y,1,1,0,1.6,0,0,0,Whirled stem 
3-3-10,47,5/1/2024,Y,0,1,NA,8,0,6.7,1.3,NA,NA,5/8/2024,Y,0,1,NA,9,11.3,1.7,NA,,5/15/2024,0,1,NA,12,15.6,1.9,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,47,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
