Sample_Name,PlantingDate,FirstLeafDate,Disc.Flower.Date.2024
Boltonia_367,2024-02-29,2024-03-10,2024-08-14
Boltonia_368,2024-02-29,2024-03-06,2024-09-04
Boltonia_372,2024-02-28,2024-03-07,2024-06-03
Boltonia_374,2024-02-29,2024-03-18,2024-08-07
Boltonia_375,2024-02-29,2024-03-07,2024-06-03
Boltonia_377,2024-02-29,2024-03-06,2024-05-29
Boltonia_379,2024-03-01,2024-03-10,2024-09-04
Boltonia_381,2024-02-29,2024-03-09,2024-05-31
Boltonia_384,2024-02-29,2024-03-07,2024-07-18
Boltonia_389,2024-02-29,2024-03-07,2024-06-03
Boltonia_393,2024-02-29,2024-03-07,2024-09-04
Boltonia_400,2024-02-29,2024-03-07,2024-08-07
Boltonia_402,2024-02-29,2024-03-06,2024-05-24
Boltonia_403,2024-02-29,2024-03-05,2024-09-04
Boltonia_410,2024-02-29,2024-03-06,2024-05-29
Boltonia_414,2024-02-29,2024-03-05,2024-07-18
Boltonia_416,2024-02-29,2024-03-08,2024-08-07
Boltonia_417,2024-02-29,2024-03-08,2024-06-03
Boltonia_420,2024-02-29,2024-03-06,2024-05-29
Boltonia_421,2024-02-29,2024-03-06,2024-08-14
Boltonia_422,2024-03-01,2024-03-09,2024-09-12
Boltonia_426,2024-02-29,2024-03-07,2024-08-07
Boltonia_427,2024-03-01,2024-03-08,2024-09-04
Boltonia_429,2024-02-29,2024-03-07,2024-09-04
Boltonia_431,2024-02-29,2024-03-07,2024-06-21
Boltonia_435,2024-02-29,2024-03-07,2024-06-07
Boltonia_438,2024-02-29,2024-03-06,2024-06-24
Boltonia_441,2024-02-29,2024-03-07,2024-06-14
Boltonia_442,2024-02-29,2024-03-07,2024-08-29
Boltonia_445,2024-02-29,2024-03-10,2024-05-15
Boltonia_446,2024-02-29,2024-03-07,2024-08-07
Boltonia_450,2024-02-29,2024-03-07,2024-09-12
Boltonia_456,2024-02-29,2024-03-07,2024-08-22
Boltonia_457,2024-02-29,2024-03-10,2024-09-04
Boltonia_463,2024-02-29,2024-03-07,2024-07-15
Boltonia_466,2024-03-01,2024-03-08,2024-08-14
Boltonia_468,2024-02-29,2024-03-12,2024-06-19
