Sample_Name,index,label,MaternalLine,FlowerHead,Id,Country,State,County,Latitude,Longitude,Google_latitude,Google_longitude,Locality,Location Details,PlantingDate,FirstLeafDate,TransplantDate,flwrBud_19844,flwrBud_19851,latBuds_19844,leafLong_19844,leafLong_19851,leafLong_19858,leafWide_19844,leafWide_19851,leafWide_19858,notes_19851,notes_19865,notes_19872,notes_19879,notes_19886,notes_19893,notes_19900,notes_19907,notes_19915,notes_19929,notes_19935,notes_19942,notes_19949,notes_19957,notes_19964,notes_19970,notes_19978,notes_19991,numDeadF_19898,numDeadF_19900,numDeadF_19902,numDeadF_19905,numDeadF_19907,numDeadF_19912,numDeadF_19915,numDeadF_19919,numDeadF_19922,numDeadF_19926,numDeadF_19929,numDeadF_19935,numDeadF_19942,numDeadF_19949,numDeadF_19957,numDeadF_19964,numDeadF_19970,numDeadF_19978,numDeadF_19991,numDiscF_19853,numDiscF_19856,numDiscF_19858,numDiscF_19860,numDiscF_19863,numDiscF_19865,numDiscF_19867,numDiscF_19870,numDiscF_19872,numDiscF_19874,numDiscF_19877,numDiscF_19879,numDiscF_19881,numDiscF_19884,numDiscF_19886,numDiscF_19888,numDiscF_19891,numDiscF_19893,numDiscF_19895,numDiscF_19898,numDiscF_19900,numDiscF_19902,numDiscF_19905,numDiscF_19907,numDiscF_19912,numDiscF_19915,numDiscF_19919,numDiscF_19922,numDiscF_19926,numDiscF_19929,numDiscF_19935,numDiscF_19942,numDiscF_19949,numDiscF_19957,numDiscF_19964,numDiscF_19970,numDiscF_19978,numDiscF_19991,numFlwrB_19853,numFlwrB_19856,numFlwrB_19858,numFlwrB_19860,numFlwrB_19863,numFlwrB_19865,numFlwrB_19867,numFlwrB_19870,numFlwrB_19872,numFlwrB_19874,numFlwrB_19877,numFlwrB_19879,numFlwrB_19881,numFlwrB_19884,numFlwrB_19886,numFlwrB_19888,numFlwrB_19891,numFlwrB_19893,numFlwrB_19895,numFlwrB_19898,numFlwrB_19900,numFlwrB_19902,numFlwrB_19905,numFlwrB_19907,numFlwrB_19912,numFlwrB_19915,numFlwrB_19919,numFlwrB_19922,numFlwrBud_19844,numLSt_19865,numLSt_19872,numLSt_19879,numLSt_19886,numLSt_19893,numLSt_19900,numLSt_19907,numLSt_19915,numLSt_19929,numLvs_19844,numLvs_19851,numLvs_19858,numRayF_19853,numRayF_19856,numRayF_19858,numRayF_19860,numRayF_19863,numRayF_19865,numRayF_19867,numRayF_19870,numRayF_19872,numRayF_19874,numRayF_19877,numRayF_19879,numRayF_19881,numRayF_19884,numRayF_19886,numRayF_19888,numRayF_19891,numRayF_19893,numRayF_19895,numRayF_19898,numRayF_19900,numRayF_19902,numRayF_19905,numRayF_19907,numRayF_19912,numRayF_19915,numRayF_19919,numRayF_19922,numRayF_19926,numRayF_19929,numRayF_19935,numRayF_19942,numRayF_19949,numRayF_19957,numRayF_19964,numRayF_19970,numRayF_19978,numRayF_19991,numRos_19844,numRos_19851,numRos_19858,numRos_19865,numRos_19872,numRos_19879,numRos_19886,numRos_19893,numRos_19900,numRos_19907,numRos_19915,numRos_19929,numRos_19942,numStem_19844,numStem_19851,numStem_19858,numStem_19865,numStem_19872,numStem_19879,numStem_19886,numStem_19893,numStem_19900,numStem_19907,numStem_19915,numStem_19929,numStem_19942,numStem_19957,numStem_19970,numStem_19991,planting_NA,Pot_NA,stemLength_19844,stemLength_19851,stemLength_19858,stemLength_19865,stemLength_19872,stemLength_19879,stemLength_19886,stemLength_19893,stemLength_19900,stemLength_19907,stemLength_19915,stemLength_19929,stemLength_19942,stemLength_19957,stemLength_19970,stemLength_19991,Surv_19844,Surv_19851,Surv_19865,Surv_19872,Surv_19879,Surv_19886,Surv_19893,Surv_19900,Surv_19907,Surv_19915,Surv_19929,Surv_19935,Surv_19942,Surv_19949,Surv_19957,Surv_19964,Surv_19970,Surv_19978,Surv_19991,Taxon,Area,Bed,Position/Spot,Inventory Date,Status,Plant Count,Planting Material Type,Source,Provenance,Property,Ipen,Restriction,Date received,Quantity received,Collector,Collection Num,Collection Date,Sampling method,EO ID,EO number,Property ownership,Notes on Habitat and soil,Mother Plant/Maternal Pop,Family,Seed/Lot #,Index Seminum Year
Boltonia_100,100,6-4-7,2011-2613-1,1A,1180016,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404, -90.18724497777134,NA,"Anderson Lake, Maternal lines = 30, Seedheads = 61; 2 packets",2/29/24,3/14/24,4/12/24,NA,0,1,18.1,24.2,24.4,1.9,2.1,2.2,"Side stems at ground level look like rosettes, but wiggling center stem show really are attached at the base.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,19,51,80,79,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,4,6,12,20,24,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,24,39,23,0,6,1,0,0,0,0,1,2,0,1,1,0,0,0,0,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2000-5000-2,100,NA,1.5,3.1,8.6,16.2,30.2,31.5,38.9,44.7,65.8,71.8,102.5,117.5,118.2,115.8,117,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,5913,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,61,Smith,s.n.,01 Oct 2000,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_101,101,10-3-11,2011-2675-1,21C,1180078,United States,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176, -90.42899627731745,NA,"Frederick Borrow Pit, Maternal lines = 30, Seedheads = 90; 3 packets",3/1/24,3/8/24,4/12/24,NA,NA,0,10.2,16.9,21,1.6,1.2,1.4,"Side stems at ground level look like rosettes, but wiggling center stem show really are attached at the base.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,12,13,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-5408-2,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,8728,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,90,Smith,s.n.,07 Oct 1999,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_102,102,6-5-2,2011-2598-1,L4B,1180001,United States,Illinois,Jersey,38.961398423802066,-90.51481032460987,38.961398423802066, -90.51481032460987,NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",2/29/24,3/7/24,4/12/24,N,0,3,14.1,18.1,20.8,2.4,2.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,3,3,3,4,5,5,7,8,8,13,26,25,38,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,5,5,7,5,5,5,7,11,15,17,19,25,35,38,75,132,182,NA,0,0,0,0,0,0,0,3,2,2,3,3,1,3,3,4,4,3,1,4,7,6,7,7,8,5,6,0,0,0,0,5,4,7,10,8,8,18,30,34,NA,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,1,0,2,3,3,3,2,1,0,0,7,7,6,5,3,9,11,19,48,49,9,4,0,0,0,0,0,1,2,0,0,1,0,1,1,1,1,3,3,3,2,2,3,3,1,2,3,3,3,3,3,1997-5093-3,102,1.1,6.7,20,33.5,50.5,65.8,68.5,67.2,55.4,67.6,66.1,69.6,66.9,65.9,65.9,65.9,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_103,103,7-3-2,2011-2598-1,L5A,1180001,United States,Illinois,Jersey,38.961398423802066,-90.51481032460987,38.961398423802066, -90.51481032460987,NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",2/29/24,3/7/24,4/12/24,N,0,6,12.9,13,13,2,1.8,2,Rosette attached just below soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,6,6,6,6,6,6,7,8,8,9,9,9,10,10,10,13,NA,0,0,0,0,0,0,0,0,1,3,4,4,4,5,5,6,6,6,2,5,3,2,2,2,2,2,2,1,1,3,3,3,3,1,3,7,11,NA,1,2,1,3,4,3,4,1,1,1,1,0,1,2,3,2,1,0,0,2,1,0,1,0,0,3,2,0,6,6,4,6,4,5,6,7,9,23,43,66,NA,0,0,0,0,0,1,1,4,3,1,1,2,2,1,1,0,1,2,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,4,2,0,0,0,3,3,3,3,2,4,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997-5094-2,103,5.4,15.6,26.1,35.2,36.4,37.7,37.5,36,30.5,36.5,37.6,37,34.7,35.9,35.9,35.9,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_104,104,2-6-4,2011-2636-1,2,1180039,United States,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398, -90.42445029519197,NA,"Beardstown, Maternal lines = 52, Seedheads = 53; 3 packets",2/29/24,3/7/24,4/12/24,NA,NA,0,11.2,14.7,16.7,2,1.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abnormal stem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,11,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,20,10,0,1,1,1,1,1,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1997-5321-3,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,62.4,69.1,62.5,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,5079,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,53,Smith,s.n.,21 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_105,105,6-3-4,2011-2618-1,7B,1180021,United States,Illinois,Peoria,40.7222223,-89.5519444,40.69352232924267, -89.59142458669179,NA,"McClugage Bridge, Maternal lines = 30, Seedheads = 90; 4 packets",2/29/24,3/7/24,4/12/24,NA,NA,0,11.5,18.8,22.5,1.4,1.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,17,54,115,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,10,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,21,63,34,13,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1999-5063-3,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,76.3,113.7,117.9,117.1,118.7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,8685,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,90,Smith,s.n.,11 Nov 1999,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_106,106,8-4-7,2011-2613-1,22A,1180016,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404, -90.18724497777134,NA,"Anderson Lake, Maternal lines = 30, Seedheads = 61; 2 packets",2/29/24,3/8/24,4/12/24,NA,NA,0,13.4,21.6,25.4,1.8,2.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,11,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-5021-3,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,5913,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,61,Smith,s.n.,01 Oct 2000,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_107,107,4-2-12,2011-2650-1,30C,1180053,United States,Illinois,Woodford,40.8852777,-89.4583333,40.84668797480775, -89.0297386240063,NA,"Woodford County, Maternal lines = 30, Seedheads = 90; 6 packets",2/29/24,3/8/24,4/12/24,NA,NA,0,12.4,20,22.9,2.1,2.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,9,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-5386-2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,8743,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,US-1-MO-2011-2650,Project specific use only,2011-12-01T00:00:00Z,90,Smith,s.n.,11 Nov 1999,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_108,108,4-5-5,2011-2618-1,27C,1180021,United States,Illinois,Peoria,40.7222223,-89.5519444,40.69352232924267, -89.59142458669179,NA,"McClugage Bridge, Maternal lines = 30, Seedheads = 90; 4 packets",2/29/24,3/8/24,4/12/24,NA,NA,0,10.6,14.6,18.1,1.5,1.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,12,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-5083-2,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,8685,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,90,Smith,s.n.,11 Nov 1999,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_109,109,10-4-5,2011-2620-1,13A,1180023,United States,Illinois,Morgan,39.8672223,-90.5533333,39.87546015928839, -90.55308508241013,NA,"Meredosia Lake, Maternal lines = 30, Seedheads = 90; 5 packets",3/1/24,3/7/24,4/12/24,N,Y,0,11.1,11.2,11.1,2,2.1,2.4,NA,NA,NA,Some discs senesced,NA,NA,NA,NA,NA,NA,NA,Broken lateral stem,NA,NA,NA,NA,NA,NA,11,9,10,11,10,12,12,11,12,12,12,11,12,11,13,14,15,19,18,0,0,0,0,1,1,3,4,7,10,9,9,10,11,11,11,12,12,12,1,3,2,1,2,0,0,0,0,0,0,0,1,2,9,18,21,44,43,4,4,7,7,6,6,2,2,3,1,1,4,3,1,7,3,5,4,4,11,11,15,12,12,10,3,9,1,0,6,6,6,6,6,6,7,9,7,13,36,49,0,1,1,1,3,3,6,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,14,10,4,6,0,2,2,2,3,2,2,2,3,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1999-5100-2,109,6.2,19.4,28.6,28.8,28.3,33,28,27.5,23.1,27.9,31.5,27.6,29.2,28.2,28.2,28.2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,8756,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,90,Smith,s.n.,07 Oct 1999,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_110,110,4-1-8,2011-2664-1,1,1180067,United States,Illinois,Fulton,40.2047222,-90.1994444,40.207444479612775, -90.1871999885973,NA,"Anderson Lake, Maternal lines = 31, Seedheads = 31",2/29/24,3/10/24,4/12/24,N,0,3,18,24.6,28.1,1.7,2.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,34,34,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,23,50,78,77,69,110,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,9,7,9,16,17,19,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,16,26,34,23,11,5,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997-5403-2,110,0.7,2,12.1,26.2,41.5,57.5,68.5,80.1,83.3,112.6,117.2,122,124.2,123.1,123.1,123.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,2875,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,31,Smith,s.n.,21 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
Boltonia_111,111,2-2-7,2011-2666-1,28A,1180069,United States,Illinois,Fulton,40.4925,-89.9022222,40.46699902833787, -89.9485498557629,NA,"Rice Lake, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/7/24,4/12/24,NA,NA,0,11.6,17.8,22.1,1.7,1.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,14,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-5027-3,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,8574,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,90,Smith,s.n.,14 Oct 1999,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
