index,median_stemLength,c_stemLength,SD_stemLength,sample_size
57,37.2,"36, 38.3, 38.3, 36.2, 37, 37.3, 37.4, 37.3, 37.2, 37.2, 37.2",0.7040144626613587,11
58,69.5,"71.2, 68.5, 68.8, 69.3, 70.2, 69.1, 69.5, 69.5, 69.5",0.795996929083972,9
59,81.6,"81.6, 81.6, 81.6, 81.6",0,4
60,51.7,"50.8, 52.5, 52.5, 52.2, 51, 51.3, 51, 52.4, 51.6, 51.7, 51.7, 51.7",0.6015132432608467,12
61,NA,NA,NA,NA
62,NA,NA,NA,NA
63,NA,NA,NA,NA
64,119.9,"118.8, 121, 119.9, 119.9, 119.9",0.7778174593052033,5
65,32.5,"31.9, 33.5, 33.4, 33.2, 32, 31.7, 32, 31.9, 33.3, 32.5, 32.5, 32.5",0.6596601512532914,12
66,154.8,"153.9, 155.6, 154.8, 154.8",0.6946221994724858,4
67,61.7,"60.1, 62.9, 61.5, 59.9, 63, 62.3, 60.7, 63.1, 61.5, 61.7, 61.7, 61.7",1.0584078952498757,12
68,NA,NA,NA,NA
69,NA,NA,NA,NA
70,NA,NA,NA,NA
71,NA,NA,NA,NA
72,52.5,52.5,NA,1
73,NA,NA,NA,NA
74,47.9,"47, 48.7, 48.8, 49.6, 47, 47.7, 47, 46.8, 48.2, 47.9, 47.9, 47.9",0.8582487454642215,12
75,85.9,85.9,NA,1
76,NA,NA,NA,NA
77,NA,NA,NA,NA
78,50.8,"51.7, 51.7, 52.4, 47, 52.9, 50.8, 47.9, 50.8, 50.7, 50.7, 50.7",1.768204019491375,11
79,NA,NA,NA,NA
80,NA,NA,NA,NA
81,NA,NA,NA,NA
82,NA,NA,NA,NA
83,142.7,142.7,NA,1
84,42.5,"38.7, 40.6, 46.1, 47.8, 39, 38.9, 45.2, 39.5, 47, 42.5, 42.5, 124.5",23.894482373108396,12
85,147.1,"146.5, 148.8, 147.7, 42.5",52.59172146513809,4
86,147.7,147.7,NA,1
87,NA,NA,NA,NA
88,NA,NA,NA,NA
89,NA,NA,NA,NA
90,NA,NA,NA,NA
91,NA,NA,NA,NA
92,113,"113, 112.9, 113",0.05773502691895929,3
93,38.2,"37.1, 53.9, 38.2, 37.3, 29.7, 36.5, 37.6, 39.8, 38.8, 38.8, 38.8",5.692467111734754,11
94,91.1,"86.4, 95.8, 91.1, 91.1",3.837533930360309,4
95,76.8,"75.9, 75.5, 76.7, 79.1, 76.8, 76.8, 76.8",1.1401754250991352,7
96,NA,NA,NA,NA
97,NA,NA,NA,NA
98,NA,NA,NA,NA
99,101.8,"102.3, 101.3, 101.8",0.5,3
100,117,"118.2, 115.8, 117",1.2000000000000028,3
101,NA,NA,NA,NA
102,66.5,"68.5, 67.2, 55.4, 67.6, 66.1, 69.6, 66.9, 65.9, 65.9, 65.9",3.8918718718203795,10
103,36,"37.7, 37.5, 36, 30.5, 36.5, 37.6, 37, 34.7, 35.9, 35.9, 35.9",2.0214306365002535,11
104,NA,NA,NA,NA
105,117.9,"117.1, 118.7",1.131370849898482,2
106,NA,NA,NA,NA
107,NA,NA,NA,NA
108,NA,NA,NA,NA
109,28.2,"28.8, 28.3, 33, 28, 27.5, 23.1, 27.9, 29.2, 28.2, 28.2, 28.2",2.259122919107405,11
110,123.1,"122, 124.2, 123.1, 123.1, 123.1",0.7778174593052033,5
111,NA,NA,NA,NA
112,NA,NA,NA,NA
113,NA,NA,NA,NA
114,NA,NA,NA,NA
115,NA,NA,NA,NA
116,NA,NA,NA,NA
117,34.3,"33.5, 36.4, 35, 34.2, 28.7, 33.9, 37.5, 34, 35.1, 34.3, 34.3, 34.3",2.089512049752431,12
118,23.8,"20.6, 27.3, 27, 20.4, 23.8, 23.8, 23.8, 23.8",2.5153457586809584,8
119,103.9,"104, 103.7, 103.9",0.15275252316519375,3
120,NA,NA,NA,NA
121,NA,NA,NA,NA
122,110.2,"109.8, 110.5, 110.2",0.3511884584284263,3
123,NA,NA,NA,NA
124,NA,NA,NA,NA
125,NA,NA,NA,NA
126,NA,NA,NA,NA
127,105.9,"103.4, 108.4",3.5355339059327378,2
128,NA,NA,NA,NA
129,50.3,"53.1, 51.6, 51.3, 43.9, 50.8, 50.3, 50.3, 49.1, 50.1, 50.1, 50.1",2.2953312298109516,11
130,NA,NA,NA,NA
131,NA,NA,NA,NA
132,NA,NA,NA,NA
133,57.6,"64, 25.3, 64.2, 51.2",18.2906852432233,4
134,27.6,"27.8, 28, 28, 29.3, 29.2, 27.4, 23.4, 27.3, 27.7, 27.8, 26.7, 27.5, 27.5, 27.5",1.3685839316687811,14
135,NA,NA,NA,NA
136,112.1,"112.3, 111.9, 112.1, 112.1",0.16329931618554172,4
137,NA,NA,NA,NA
138,111.4,"110.8, 112.1, 111.4, 111.4",0.531507290636731,4
139,NA,NA,NA,NA
140,45.5,"46.5, 45.5, 44.6, 50.3, 44.5, 44.7, 44.3, 45.8, 45.8",1.8512008114854641,9
141,87.1,"87.3, 86.8, 87.1, 87.1, 87.1",0.17888543819998295,5
142,NA,NA,NA,NA
143,27.3,"28, 27.9, 27, 27.2, 26.4, 27.5, 27.3, 27.3",0.5063877678504601,8
144,NA,NA,NA,NA
145,NA,NA,NA,NA
146,92.3,"102.3, 82.2, 92.3",10.050041459284298,3
147,31.1,"31, 31.5, 31.1, 31.6, 32.1, 31.3, 25.9, 30.8, 31.3, 31.7, 30.8, 30.8, 30.8",1.5346844660243395,13
148,79.1,"79.5, 78.7, 79.1, 79.1, 79.1",0.282842712474618,5
149,88.7,"88.4, 89, 88.7, 88.7",0.2449489742783155,4
150,NA,NA,NA,NA
151,NA,NA,NA,NA
152,NA,NA,NA,NA
153,59.8,"62.5, 61.7, 50.3, 61.3, 60.2, 61.3, 58.4, 59.4, 59.4, 59.4",3.4410754132974195,10
154,NA,NA,NA,NA
155,115.8,115.8,NA,1
156,NA,NA,NA,NA
157,NA,NA,NA,NA
158,NA,NA,NA,NA
159,NA,NA,NA,NA
160,NA,NA,NA,NA
161,NA,NA,NA,NA
162,NA,NA,NA,NA
163,NA,NA,NA,NA
164,107,"107.5, 106.5, 107",0.5,3
165,NA,NA,NA,NA
166,NA,NA,NA,NA
167,50.75,"51, 51.5, 52, 51.9, 41.9, 50.5, 51.3, 51.7, 49.9, 50.2, 50.2, 50.2",2.7134206299708707,12
168,NA,NA,NA,NA
169,147.4,"148, 146.8",0.8485281374238489,2
170,NA,NA,NA,NA
171,NA,NA,NA,NA
172,43.1,"32.9, 43.2, 43.3, 47.7, 42.5, 47.2, 42.6, 45.1, 43.1, 43.1, 43.1",3.8296451295363942,11
173,NA,NA,NA,NA
174,106.1,"106.7, 105.4, 106.1",0.6506407098647695,3
175,NA,NA,NA,NA
176,53.7,"52.8, 45.4, 59, 53, 53.4, 57.6, 52.7, 55.8, 53.7, 53.7, 53.7",3.449479539134722,11
177,142.4,"146.9, 137.8, 142.4",4.550091574170053,3
178,NA,NA,NA,NA
179,NA,NA,NA,NA
180,22,"21.6, 23.5, 22.1, 22.6, 22, 21.6, 21.8, 21.2, 21.3, 22.6, 22, 22, 22",0.6098549638422869,13
181,39.15,"12.7, 42.3, 42.5, 42, 42, 36.3, 36.3, 36.3",9.974109340831248,8
182,NA,NA,NA,NA
183,NA,NA,NA,NA
184,NA,NA,NA,NA
185,NA,NA,NA,NA
186,NA,NA,NA,NA
187,127.4,"128, 126.7, 127.4",0.6506407098647699,3
188,73.8,"70.9, 76.5, 70.2, 69.8, 79, 76, 73.9, 73.8, 73.8, 73.8",2.9162571141028617,10
189,108.5,"109.4, 107.5, 108.5",0.9504384952922197,3
190,46.05,"46.1, 45.6, 46.4, 46.3, 45.3, 46.3, 46, 46",0.377964473009227,8
191,NA,NA,NA,NA
192,NA,NA,NA,NA
193,NA,NA,NA,NA
194,NA,NA,NA,NA
195,42.35,"42.2, 42.1, 50.3, 42.5, 41.7, 42.1, 42, 42.2, 44.9, 43.3, 43.3, 43.3",2.369167479401686,12
196,NA,NA,NA,NA
197,NA,NA,NA,NA
198,72.9,"72.6, 73.1, 72.9, 72.9",0.20615528128088395,4
199,NA,NA,NA,NA
200,67,"67.4, 66.7, 66.9, 67.2, 66.8, 67, 67, 67",0.22038926600773717,8
201,111.2,"110.2, 112.1, 111.2, 111.2",0.7762087348129978,4
202,33.2,"33.6, 32.7, 33.8, 33.7, 33, 32.4, 33, 33.7, 33.2, 33.2, 33.2",0.44517616533437454,11
203,NA,NA,NA,NA
204,NA,NA,NA,NA
205,NA,NA,NA,NA
206,NA,NA,NA,NA
207,NA,NA,NA,NA
208,NA,NA,NA,NA
209,86.05000000000001,"86.2, 85.9",0.21213203435596223,2
210,NA,NA,NA,NA
211,70.6,"71.1, 70, 70.6, 70.6, 70.6",0.38987177379235644,5
212,NA,NA,NA,NA
213,NA,NA,NA,NA
214,NA,NA,NA,NA
215,NA,NA,NA,NA
216,NA,NA,NA,NA
217,NA,NA,NA,NA
218,NA,NA,NA,NA
219,NA,NA,NA,NA
220,NA,NA,NA,NA
221,70.4,"70.3, 70.6, 70.4, 70.4",0.12583057392117672,4
222,98.2,"99.8, 96.5, 98.2, 98.2",1.347528602046476,4
223,NA,NA,NA,NA
224,145.3,"144.4, 146.2",1.2727922061357735,2
225,62.1,"61.4, 62.4, 62.8, 62, 61.6, 61.8, 62.8, 62.1, 62.1, 62.1",0.46055522047970576,10
226,64.3,"64.6, 65, 64.4, 64.5, 63.8, 63.6, 64.2, 64.3, 64.3, 64.3",0.39157800414902405,10
227,NA,NA,NA,NA
228,NA,NA,NA,NA
229,34.7,"34.5, 35.2, 35, 34.6, 34.3, 34.4, 35.1, 34.7, 34.7, 34.7",0.2973961069759407,10
230,62.1,"61.4, 62.7, 62.1, 62.1",0.5315072906367342,4
231,NA,NA,NA,NA
232,46,"43.9, 48.5, 48.5, 44.3, 43.7, 44.3, 48.5, 46, 46, 46",1.949957264488977,10
233,NA,NA,NA,NA
234,NA,NA,NA,NA
235,NA,NA,NA,NA
236,153.3,"154.8, 151.7, 153.3",1.5502687938978095,3
237,91.9,"90, 93.7, 91.9, 91.9",1.510794492973814,4
238,NA,NA,NA,NA
239,NA,NA,NA,NA
240,45.4,"45.7, 45.8, 45.4, 45.4, 45.3, 45, 45.4, 45.4, 45.4, 45.4",0.2149935399546281,10
241,NA,NA,NA,NA
242,80.75,"84.4, 54.4, 84.1, 86.7, 77.4, 77.4",11.911171227045644,6
243,18,"18.2, 17.8, 18, 18.3, 18.9, 17.1, 18, 18, 18, 18",0.4448470398787524,10
244,NA,NA,NA,NA
245,NA,NA,NA,NA
246,113.5,"113.5, 113.4, 113.5",0.05773502691895929,3
247,NA,NA,NA,NA
248,NA,NA,NA,NA
249,53.4,"52.8, 54, 53.4, 53.4",0.48989794855663676,4
250,42.6,"42.2, 42.6, 42.2, 54.5, 42.6, 42.6, 42.6, 42.6, 42.6, 43.8, 43.8, 43.8",3.4144412560343,12
251,98.4,"98.3, 98.5",0.14142135623731153,2
252,NA,NA,NA,NA
253,148.6,148.6,NA,1
254,NA,NA,NA,NA
255,134.5,134.5,NA,1
256,101.19999999999999,"102.1, 100.3",1.2727922061357835,2
257,NA,NA,NA,NA
258,NA,NA,NA,NA
259,NA,NA,NA,NA
260,NA,NA,NA,NA
261,86.8,"84.8, 88.8, 86.8, 86.8",1.632993161855452,4
262,NA,NA,NA,NA
263,NA,NA,NA,NA
264,NA,NA,NA,NA
265,116.8,"116.4, 117.2, 116.8, 116.8",0.32659863237108927,4
266,94.05,"95, 93.1",1.3435028842544443,2
267,NA,NA,NA,NA
268,98.4,"98.4, 98.3, 98.4",0.0577350269189675,3
269,NA,NA,NA,NA
270,98.35,"101.7, 95",4.737615433949871,2
271,NA,NA,NA,NA
272,71.9,71.9,NA,1
273,NA,NA,NA,NA
274,54.2,"54.1, 55, 53.4, 54.5, 54.3, 54.2, 53.9, 54.2, 54.2, 54.2, 54.2",0.3847076812334272,11
275,NA,NA,NA,NA
276,NA,NA,NA,NA
277,NA,NA,NA,NA
278,NA,NA,NA,NA
279,59.9,"60.5, 60.3, 60.1, 60, 59.6, 59.6, 59, 59.8, 59.9, 59.9, 59.9",0.3951984541743779,11
280,49.1,"45.7, 52.5, 49.1, 49.1",2.7760883751542673,4
281,76.8,"67.1, 78, 78.6, 76.8, 77.9, 77.8, 76, 76, 76",3.490264237052039,9
282,22.7,"26.1, 22.7, 22.7, 22.4, 22.3, 21.1, 22.2, 22.1, 22.7, 22.7, 22.7",1.2239281024635396,11
283,73.6,73.6,NA,1
284,NA,NA,NA,NA
285,NA,NA,NA,NA
286,NA,NA,NA,NA
287,39.3,"38.7, 38.7, 39.8, 35.2, 39.3, 47.7, 38, 38.8, 39.5, 39.5, 39.5",2.9979386857700017,11
288,27.9,"28.3, 27.7, 27.9, 26.5, 35.1, 27.2, 27.4, 28.6, 28.6",2.5359635468813653,9
289,69.7,"70, 69.6, 69.8, 69.5, 69.7, 69.7, 69.7, 69.7",0.14577379737113275,8
290,NA,NA,NA,NA
291,NA,NA,NA,NA
292,NA,NA,NA,NA
293,141,"140.8, 141.1, 141",0.15275252316518598,3
294,34.5,"34.4, 34.8, 34.5, 34.7, 34.5, 34.3, 34.3, 34.2, 34.5",0.19364916731037085,9
295,NA,NA,NA,NA
296,43.5,"44, 43.8, 44.5, 43, 43.5, 43.2, 43.4, 43.2, 43.5, 43.6, 43.6",0.41735095325375465,11
297,NA,NA,NA,NA
298,47.75,"48.1, 48.5, 47.5, 47.5, 47.7, 47.7, 47.5, 47.8, 47.8, 47.8",0.3107338983045711,10
299,NA,NA,NA,NA
300,NA,NA,NA,NA
301,98.8,"99.3, 98.3, 98.8",0.5,3
302,50.45,"55.2, 50.2, 50.5, 50.3, 50, 50.4, 49.8, 50.9, 50.9, 50.9",1.5552420318965732,10
303,NA,NA,NA,NA
304,NA,NA,NA,NA
305,74.7,"75.1, 74.3, 75, 75.2, 74.4, 74.2, 74.8, 74.7, 74.7, 74.7",0.3348299734359372,10
306,NA,NA,NA,NA
307,36.55,"37.3, 39.9, 36.5, 36.4, 36.5, 36.4, 36.4, 36.6, 36.5, 36.9, 36.9, 36.9",0.9754563811443087,12
308,146.7,"147.4, 146, 146.7",0.7000000000000028,3
309,40.1,"41.1, 36.8, 41, 40.7, 40.1, 40.4, 40, 40, 40",1.2800824626214962,9
310,NA,NA,NA,NA
311,90.85,"91.7, 90",1.2020815280171329,2
312,NA,NA,NA,NA
313,NA,NA,NA,NA
314,NA,NA,NA,NA
315,41.2,"42.9, 41.1, 34.5, 41.3, 41.5, 41.7, 41.4, 40.6, 40.6, 40.6",2.2582195543293735,10
316,NA,NA,NA,NA
317,56.7,"57.4, 56.9, 57.2, 56.5, 56.6, 56.6, 56.1, 56.4, 56.7, 56.7, 56.7",0.3590391216971916,11
318,140.2,"141.6, 138.8, 140.2",1.3999999999999915,3
319,NA,NA,NA,NA
320,NA,NA,NA,NA
321,NA,NA,NA,NA
322,NA,NA,NA,NA
323,32.75,"33.4, 33.6, 33.9, 23.1, 27.9, 32.7, 32.8, 32.8, 33.2, 31.5, 31.5, 31.5",3.089706762588948,12
324,NA,NA,NA,NA
325,51.9,"52.4, 51.7, 51.6, 52, 52.1, 51.7, 51.9, 51.9, 51.9",0.24209731743889812,9
326,NA,NA,NA,NA
327,NA,NA,NA,NA
328,NA,NA,NA,NA
329,150.6,"149.9, 151.2, 150.6",0.6506407098647626,3
330,NA,NA,NA,NA
331,NA,NA,NA,NA
332,19.4,"20.8, 18.9, 19.3, 18.6, 19.4, 19.4, 19.4",0.6904105059069328,7
333,NA,NA,NA,NA
334,NA,NA,NA,NA
335,84.5,84.5,NA,1
336,109,"104.6, 113.4",6.222539674441626,2
337,54.05,"53.6, 54.3, 45.5, 54.2, 54.1, 54.1, 54.3, 54.2, 54, 53.1, 53.1, 53.1",2.4514683293277457,12
338,NA,NA,NA,NA
339,NA,NA,NA,NA
340,NA,NA,NA,NA
341,NA,NA,NA,NA
342,NA,NA,NA,NA
343,145.5,"146.5, 144.5",1.4142135623730951,2
344,50.1,"49.6, 49.6, 50.1, 49.4, 52.9, 48.9, 50.1, 50.1, 50.1",1.1329656266238224,9
345,114.1,"114.3, 113.8, 114.1",0.25166114784235816,3
346,NA,NA,NA,NA
347,NA,NA,NA,NA
348,NA,NA,NA,NA
349,NA,NA,NA,NA
350,107.6,"107.7, 107.5, 107.6, 107.6",0.08164965809277376,4
351,107.3,"98.8, 115.8",12.020815280171307,2
352,NA,NA,NA,NA
353,NA,NA,NA,NA
354,NA,NA,NA,NA
355,53.75,"53.4, 52.5, 52.7, 52.7, 54.7, 58.6, 53.5, 54, 54, 54",1.760334564160398,10
356,56.3,"57.7, 47.6, 47.7, 57.6, 57.9, 58.2, 56.9, 56.3, 55, 55, 55",3.821636964823986,11
357,NA,NA,NA,NA
358,NA,NA,NA,NA
359,82.5,"82.2, 82.7, 82.5, 82.5",0.2061552812808828,4
360,NA,NA,NA,NA
361,33.5,"33.2, 32, 37.6, 28.9, 32.9, 33.2, 33.1, 33.5, 38.2, 39.2, 34.2, 34.2, 34.2",2.7519224049883615,13
362,NA,NA,NA,NA
363,NA,NA,NA,NA
364,NA,NA,NA,NA
365,NA,NA,NA,NA
366,NA,NA,NA,NA
367,154.6,"155.7, 153.6, 154.6",1.0503967504392457,3
368,74.6,"74.6, 74.6",0,2
369,NA,NA,NA,NA
370,NA,NA,NA,NA
371,NA,NA,NA,NA
372,43.8,"44.5, 36.8, 40, 43.8, 44.2, 48.8, 46.4, 46.1, 43.8, 43.8, 43.8",3.1801943908566916,11
373,NA,NA,NA,NA
374,119.8,"118.5, 121, 119.8, 119.8",1.0210288928331068,4
375,59.8,"59.8, 49.3, 59, 60, 60.4, 59.9, 59.9, 60.3, 58.6, 58.6, 58.6",3.1552553563279733,11
376,NA,NA,NA,NA
377,57.2,"57.4, 56.7, 46.5, 56, 56.3, 56.5, 62.5, 61.5, 61.2, 57.2, 57.2, 57.2",4.046285239874253,12
378,NA,NA,NA,NA
379,73.85,"72.2, 75.5",2.333452377915605,2
380,NA,NA,NA,NA
381,51.5,"53.8, 43.4, 53, 52.7, 53.4, 53, 51.1, 51.5, 51.5, 51.5, 51.5",2.8391740156089575,11
382,NA,NA,NA,NA
383,NA,NA,NA,NA
384,94.3,"94.5, 94, 94.3, 94.3, 94.3",0.17888543819998295,5
385,NA,NA,NA,NA
386,NA,NA,NA,NA
387,NA,NA,NA,NA
388,NA,NA,NA,NA
389,46.2,"47.6, 38.4, 46, 46.9, 47.2, 47.1, 46.2, 46.4, 45.7, 45.7, 45.7",2.517466258688757,11
390,NA,NA,NA,NA
391,NA,NA,NA,NA
392,NA,NA,NA,NA
393,95.75,"95, 96.5",1.0606601717798212,2
394,NA,NA,NA,NA
395,NA,NA,NA,NA
396,NA,NA,NA,NA
397,NA,NA,NA,NA
398,NA,NA,NA,NA
399,NA,NA,NA,NA
400,104.4,"104.3, 104.5, 104.4, 104.4",0.08164965809277376,4
401,NA,NA,NA,NA
402,53,"53.2, 53, 43.2, 53, 53.2, 52.9, 57.9, 53.8, 54.5, 52.7, 52.7",3.4992206924607436,11
403,110.3,"110.5, 110.1",0.28284271247462306,2
404,NA,NA,NA,NA
405,NA,NA,NA,NA
406,NA,NA,NA,NA
407,NA,NA,NA,NA
408,NA,NA,NA,NA
409,NA,NA,NA,NA
410,61.5,"61.4, 61.9, 50.8, 61, 62.2, 62.9, 64.3, 63, 61.5, 61, 61",3.538361202590827,11
411,NA,NA,NA,NA
412,NA,NA,NA,NA
413,NA,NA,NA,NA
414,141.1,"142.6, 139.7, 141.1, 141.1, 141.1",1.0256705123966487,5
415,NA,NA,NA,NA
416,76.4,"76, 76.7, 76.4, 76.4",0.28722813232690286,4
417,59.8,"49.5, 60, 60.3, 59.8, 59.8, 60.5, 59.9, 58.5, 58.5, 58.5",3.262940051208078,10
418,NA,NA,NA,NA
419,NA,NA,NA,NA
420,41.55,"42.4, 42.4, 34.5, 40, 42.7, 42.9, 43.2, 40.4, 41.9, 41.2, 41.2, 41.2",2.3250936768355395,12
421,147.4,"147.2, 147.6, 147.4",0.20000000000000284,3
422,121.3,121.3,NA,1
423,NA,NA,NA,NA
424,NA,NA,NA,NA
425,NA,NA,NA,NA
426,111.3,"110.5, 112, 111.3, 111.3",0.6130524719249839,4
427,122.55000000000001,"122.4, 122.7",0.21213203435596223,2
428,NA,NA,NA,NA
429,48,"45.6, 50.4",3.3941125496954263,2
430,NA,NA,NA,NA
431,66.8,"67.4, 67.2, 67.1, 66.2, 65.9, 66.8, 66.8, 66.8",0.5035587637718436,8
432,NA,NA,NA,NA
433,NA,NA,NA,NA
434,NA,NA,NA,NA
435,34.8,"30, 35, 35.9, 36.2, 35.5, 34.8, 34.6, 34.6, 34.6",1.817125324363855,9
436,NA,NA,NA,NA
437,NA,NA,NA,NA
438,66.1,"62.2, 68.1, 65.4, 68.4, 66.2, 66.1, 66.1, 66.1",1.8896333733595736,8
439,NA,NA,NA,NA
440,NA,NA,NA,NA
441,65.9,"66, 67.3, 65.5, 66, 65.1, 65.2, 65.9, 65.9, 65.9",0.638357266740185,9
442,152.25,"148, 156.5",6.010407640085654,2
443,NA,NA,NA,NA
444,NA,NA,NA,NA
445,50.7,"16.4, 16.8, 16.5, 43.2, 64, 74.6, 73.5, 88, 63.4, 50.7, 50.7, 50.7",24.068291412461157,12
446,140,"139.2, 140.7, 140, 140",0.6130524719249844,4
447,NA,NA,NA,NA
448,NA,NA,NA,NA
449,NA,NA,NA,NA
450,141.2,141.2,NA,1
451,NA,NA,NA,NA
452,NA,NA,NA,NA
453,NA,NA,NA,NA
454,NA,NA,NA,NA
455,NA,NA,NA,NA
456,135.1,"132.5, 137.6, 135.1",2.550163393458019,3
457,146.25,"146.8, 145.7",0.7778174593052183,2
458,NA,NA,NA,NA
459,NA,NA,NA,NA
460,NA,NA,NA,NA
461,NA,NA,NA,NA
462,NA,NA,NA,NA
463,73.2,"72.3, 74.1, 73.2, 73.2, 73.2",0.6363961030678917,5
464,NA,NA,NA,NA
465,NA,NA,NA,NA
466,64.3,"67.8, 60.8, 64.3",3.5,3
467,NA,NA,NA,NA
468,71.5,"71.5, 71.2, 71.8, 71.1, 72.5, 70.8, 71.5, 71.5, 71.5",0.47813294292603575,9
