bin_i	bin_j	mean_r2	n_pairs
1:18620001-18630000	1:19740001-19750000	0.00310662	3528
1:18500001-18510000	1:20040001-20050000	0.00158522	7956
1:20540001-20550000	1:20770001-20780000	0.00173686	7176
1:17420001-17430000	1:20610001-20620000	0.00213273	138591
1:17840001-17850000	1:19600001-19610000	0.00199896	960
1:17470001-17480000	1:20090001-20100000	0.00355804	13912
1:19680001-19690000	1:21120001-21130000	0.00283575	31919
1:18560001-18570000	1:18580001-18590000	0.00256664	6916
1:17700001-17710000	1:19500001-19510000	0.00469023	4972
1:17450001-17460000	1:19690001-19700000	0.00268733	105316
1:19540001-19550000	1:21020001-21030000	0.00272156	62008
1:19050001-19060000	1:21050001-21060000	0.0031035	12350
1:17640001-17650000	1:18340001-18350000	0.00219568	650
1:17390001-17400000	1:19240001-19250000	0.00169215	11544
1:18390001-18400000	1:18590001-18600000	0.0133655	320
1:19180001-19190000	1:20570001-20580000	0.00405814	199836
1:17500001-17510000	1:18240001-18250000	0.00195529	1197
1:19920001-19930000	1:20450001-20460000	0.00142705	1075
1:19460001-19470000	1:19460001-19470000	0.0261425	45
1:19040001-19050000	1:20470001-20480000	0.00237239	29939
1:18680001-18690000	1:19320001-19330000	0.00705358	96530
1:18260001-18270000	1:20330001-20340000	0.00174486	3835
1:18890001-18900000	1:21210001-21220000	0.00299526	107508
1:17630001-17640000	1:17760001-17770000	0.0016789	6804
1:19320001-19330000	1:19360001-19370000	0.0148336	82565
1:18540001-18550000	1:19220001-19230000	0.000800961	16
1:18630001-18640000	1:19940001-19950000	0.00478428	67335
1:17750001-17760000	1:21050001-21060000	0.00210079	5850
1:18120001-18130000	1:20230001-20240000	0.00212247	9828
1:18210001-18220000	1:20950001-20960000	0.0109091	53500
1:20550001-20560000	1:20970001-20980000	0.00398981	129976
1:17430001-17440000	1:20810001-20820000	0.00241744	100878
1:20190001-20200000	1:20200001-20210000	0.00666182	27048
1:18400001-18410000	1:19120001-19130000	0.00346934	15987
1:17480001-17490000	1:20290001-20300000	0.0026458	129165
1:20410001-20420000	1:20870001-20880000	0.00442176	46410
1:18180001-18190000	1:18770001-18780000	0.0108783	2516
1:17710001-17720000	1:19700001-19710000	0.00332961	43254
1:17460001-17470000	1:19890001-19900000	0.00307792	25012
1:17340001-17350000	1:20190001-20200000	0.00301314	27324
1:19550001-19560000	1:21220001-21230000	0.00244322	85410
1:18040001-18050000	1:18670001-18680000	0.0287724	82002
1:17890001-17900000	1:19410001-19420000	0.00527524	8892
1:19410001-19420000	1:21120001-21130000	0.00177442	9204
1:19680001-19690000	1:20740001-20750000	0.00354079	103331
1:19900001-19910000	1:21190001-21200000	0.00285297	127434
1:19540001-19550000	1:20640001-20650000	0.00354097	48392
1:19080001-19090000	1:19650001-19660000	0.00519855	6525
1:19050001-19060000	1:20670001-20680000	0.00174313	6346
1:17640001-17650000	1:17960001-17970000	0.0109715	57850
1:18760001-18770000	1:20500001-20510000	0.00376411	81120
1:17690001-17700000	1:18150001-18160000	0.0079879	12168
1:20580001-20590000	1:21090001-21100000	0.00255829	11750
1:19330001-19340000	1:19560001-19570000	0.00719548	27450
1:17500001-17510000	1:17860001-17870000	0.00224754	3759
1:18620001-18630000	1:20400001-20410000	0.00498503	10332
1:18160001-18170000	1:19410001-19420000	0.00326265	4836
1:17760001-17770000	1:21250001-21260000	0.00167269	14256
1:18130001-18140000	1:20430001-20440000	0.0024141	8970
1:18410001-18420000	1:19320001-19330000	0.00263579	3430
1:17620001-17630000	1:21150001-21160000	0.00323822	164565
1:20330001-20340000	1:20350001-20360000	0.0174135	15340
1:18680001-18690000	1:18940001-18950000	0.00229875	31126
1:18050001-18060000	1:18870001-18880000	0.00199169	300
1:18590001-18600000	1:19030001-19040000	0.0109558	11920
1:18540001-18550000	1:18840001-18850000	0.00138564	848
1:18990001-19000000	1:20230001-20240000	0.0019397	29862
1:18900001-18910000	1:19390001-19400000	0.00931303	27132
1:17760001-17770000	1:18700001-18710000	0.00242856	20628
1:17620001-17630000	1:18600001-18610000	0.00195648	16218
1:19870001-19880000	1:21080001-21090000	0.00440806	40533
1:21230001-21240000	1:21230001-21240000	0.0697503	10585
1:19580001-19590000	1:19820001-19830000	0.00831796	2338
1:19550001-19560000	1:20840001-20850000	0.00251468	39390
1:19460001-19470000	1:20120001-20130000	0.00221044	190
1:19060001-19070000	1:20870001-20880000	0.00303156	36120
1:18770001-18780000	1:20700001-20710000	0.00341918	19980
1:19410001-19420000	1:20740001-20750000	0.0021558	29796
1:19320001-19330000	1:20020001-20030000	0.00510993	32340
1:19950001-19960000	1:20190001-20200000	0.00304435	7728
1:18170001-18180000	1:19610001-19620000	0.00307805	990
1:18140001-18150000	1:20630001-20640000	0.00244749	5075
1:17990001-18000000	1:18430001-18440000	0.00111207	180
1:18630001-18640000	1:20600001-20610000	0.00164409	1206
1:20450001-20460000	1:21190001-21200000	0.00293708	86430
1:18380001-18390000	1:20790001-20800000	0.00229229	24585
1:19810001-19820000	1:20090001-20100000	0.00638957	78960
1:18030001-18040000	1:19510001-19520000	0.00212209	2968
1:18000001-18010000	1:20530001-20540000	0.00332162	44160
1:20340001-20350000	1:20550001-20560000	0.00407052	96404
1:20310001-20320000	1:21090001-21100000	0.00175225	8550
1:18870001-18880000	1:19280001-19290000	0.00151172	375
1:20200001-20210000	1:20450001-20460000	0.0027755	63210
1:17760001-17770000	1:20870001-20880000	0.00167204	11340
1:17490001-17500000	1:20820001-20830000	0.00266984	9960
1:17950001-17960000	1:19040001-19050000	0.00485602	910
1:18410001-18420000	1:18940001-18950000	0.00129835	1106
1:17460001-17470000	1:19070001-19080000	0.00363761	13912
1:17630001-17640000	1:18800001-18810000	0.00341872	18396
1:19880001-19890000	1:21280001-21290000	0.00400279	125730
1:17900001-17910000	1:19660001-19670000	0.0111771	128775
1:19470001-19480000	1:20320001-20330000	0.00180259	114000
1:19740001-19750000	1:21180001-21190000	0.00168621	63798
1:19910001-19920000	1:20910001-20920000	0.00358825	34668
1:19450001-19460000	1:19920001-19930000	0.000880267	40
1:19420001-19430000	1:20940001-20950000	0.00180289	9805
1:19330001-19340000	1:20220001-20230000	0.000969868	1350
1:18470001-18480000	1:21070001-21080000	0.00159631	10540
1:18960001-18970000	1:21040001-21050000	0.00365036	19072
1:19960001-19970000	1:20390001-20400000	0.00344594	57148
1:19600001-19610000	1:21080001-21090000	0.00170479	1416
1:17430001-17440000	1:17540001-17550000	0.00888587	20332
1:18640001-18650000	1:20800001-20810000	0.00343198	41891
1:18180001-18190000	1:19810001-19820000	0.00514701	3570
1:19310001-19320000	1:19820001-19830000	0.00201928	2275
1:19820001-19830000	1:20290001-20300000	0.00514582	2289
1:18500001-18510000	1:20700001-20710000	0.0019722	2295
1:18040001-18050000	1:19710001-19720000	0.0169157	14532
1:18250001-18260000	1:20890001-20900000	0.00216445	15480
1:19800001-19810000	1:19890001-19900000	0.0215011	95992
1:19390001-19400000	1:19570001-19580000	0.00733872	73780
1:18880001-18890000	1:19480001-19490000	0.00269221	24240
1:17680001-17690000	1:20350001-20360000	0.00361371	47060
1:18110001-18120000	1:20790001-20800000	0.00196769	75990
1:18470001-18480000	1:18520001-18530000	0.00137964	765
1:18190001-18200000	1:20440001-20450000	0.0106252	5600
1:18740001-18750000	1:19380001-19390000	0.0269063	148975
1:17540001-17550000	1:20250001-20260000	0.00281773	6136
1:17630001-17640000	1:20970001-20980000	0.00248562	53172
1:17960001-17970000	1:19240001-19250000	0.00320913	6942
1:18600001-18610000	1:19280001-19290000	0.00173543	510
1:17390001-17400000	1:19900001-19910000	0.00373657	93832
1:17330001-17340000	1:19170001-19180000	0.00418129	79515
1:17820001-17830000	1:19140001-19150000	0.0121176	73871
1:17500001-17510000	1:18900001-18910000	0.0016337	2394
1:17680001-17690000	1:17800001-17810000	0.0190404	44707
1:19370001-19380000	1:19400001-19410000	0.0505298	66515
1:19340001-19350000	1:20420001-20430000	0.00239815	20119
1:18970001-18980000	1:21240001-21250000	0.00267896	128184
1:19610001-19620000	1:21280001-21290000	0.00185784	6858
1:19230001-19240000	1:19300001-19310000	0.00166014	2112
1:19200001-19210000	1:20320001-20330000	0.00228785	11552
1:19830001-19840000	1:20490001-20500000	0.00278978	193028
1:20460001-20470000	1:20910001-20920000	0.0036912	80352
1:18200001-18210000	1:21070001-21080000	0.00469492	7440
1:20150001-20160000	1:21080001-21090000	0.00193384	15222
1:18960001-18970000	1:20660001-20670000	0.00257586	60928
1:20320001-20330000	1:20810001-20820000	0.00298	78432
1:18690001-18700000	1:20610001-20620000	0.00311462	111510
1:17660001-17670000	1:21090001-21100000	0.00244976	7000
1:18750001-18760000	1:19580001-19590000	0.0100694	73480
1:18340001-18350000	1:18620001-18630000	0.0210709	72
1:17550001-17560000	1:20450001-20460000	0.00283414	45150
1:17970001-17980000	1:19440001-19450000	0.0186674	26220
1:18610001-18620000	1:19480001-19490000	0.00137211	57065
1:18200001-18210000	1:18520001-18530000	0.00175629	540
1:17410001-17420000	1:20350001-20360000	0.00286878	101920
1:17830001-17840000	1:19340001-19350000	0.00297266	1298
1:19380001-19390000	1:19600001-19610000	0.00195705	2360
1:17380001-17390000	1:18170001-18180000	0.00204461	5555
1:17690001-17700000	1:18810001-18820000	0.00492	52104
1:17550001-17560000	1:17900001-17910000	0.007242	63630
1:19240001-19250000	1:19500001-19510000	0.00197959	4407
1:17410001-17420000	1:17800001-17810000	0.00375317	96824
1:19660001-19670000	1:20280001-20290000	0.00443635	218450
1:18480001-18490000	1:20990001-21000000	0.00191927	660
1:19100001-19110000	1:19400001-19410000	0.0123319	72037
1:18700001-18710000	1:21240001-21250000	0.00389944	124914
1:20650001-20660000	1:21250001-21260000	0.00359052	40392
1:20160001-20170000	1:21280001-21290000	0.00333648	149733
1:19390001-19400000	1:20230001-20240000	0.00218731	29988
1:18880001-18890000	1:20140001-20150000	0.00324666	3984
1:18970001-18980000	1:20860001-20870000	0.00284977	43512
1:17670001-17680000	1:21290001-21300000	0.00254011	25850
1:17490001-17500000	1:17550001-17560000	0.00908788	3150
1:20900001-20910000	1:21160001-21170000	0.0030575	1177
1:20380001-20390000	1:20490001-20500000	0.00350739	143869
1:20020001-20030000	1:21180001-21190000	0.0037292	85932
1:18670001-18680000	1:19060001-19070000	0.0123738	81528
1:18370001-18380000	1:19770001-19780000	0.000456607	101
1:18250001-18260000	1:20070001-20080000	0.00203516	252
1:18740001-18750000	1:20040001-20050000	0.00368722	236340
1:17530001-17540000	1:21190001-21200000	0.00397186	129846
1:17560001-17570000	1:20650001-20660000	0.00218451	16830
1:20240001-20250000	1:20390001-20400000	0.00478438	52124
1:18230001-18240000	1:19670001-19680000	0.00457349	25172
1:17450001-17460000	1:19530001-19540000	0.00316069	154132
1:17420001-17430000	1:20550001-20560000	0.0036222	80388
1:20100001-20110000	1:20290001-20300000	0.00460768	32373
1:17700001-17710000	1:19440001-19450000	0.013527	4180
1:18390001-18400000	1:18430001-18440000	0.00370679	180
1:17880001-17890000	1:18340001-18350000	0.00403188	776
1:17690001-17700000	1:20980001-20990000	0.00244372	29744
1:17390001-17400000	1:19180001-19190000	0.0049717	126392
1:17740001-17750000	1:18240001-18250000	0.00890478	14706
1:17830001-17840000	1:18960001-18970000	0.00184419	256
1:19670001-19680000	1:20480001-20490000	0.00395521	48608
1:19110001-19120000	1:19600001-19610000	0.00202228	1216
1:19890001-19900000	1:20400001-20410000	0.00398714	97006
1:19530001-19540000	1:20380001-20390000	0.00177336	108779
1:19290001-19300000	1:19310001-19320000	0.00306817	22100
1:18260001-18270000	1:20270001-20280000	0.00180996	12675
1:18870001-18880000	1:19940001-19950000	0.00198205	8375
1:18890001-18900000	1:21150001-21160000	0.00228802	181815
1:18750001-18760000	1:20240001-20250000	0.00222671	36520
1:18840001-18850000	1:20960001-20970000	0.00248402	24486
1:18380001-18390000	1:19970001-19980000	0.0023254	3025
1:17970001-17980000	1:20100001-20110000	0.00824433	27324
1:18210001-18220000	1:20990001-21000000	0.00428044	2354
1:18120001-18130000	1:20170001-20180000	0.00360574	25740
1:18730001-18740000	1:19840001-19850000	0.0169019	7455
1:18610001-18620000	1:20140001-20150000	0.00143712	9379
1:18700001-18710000	1:20860001-20870000	0.00322341	42402
1:18150001-18160000	1:19150001-19160000	0.0215229	35217
1:18240001-18250000	1:19870001-19880000	0.0108162	13053
1:17460001-17470000	1:19730001-19740000	0.00315826	15392
1:17340001-17350000	1:20030001-20040000	0.00262635	73359
1:17950001-17960000	1:19700001-19710000	0.00214142	1620
1:17830001-17840000	1:20000001-20010000	0.00234311	1096
1:17920001-17930000	1:20720001-20730000	0.00187532	10659
1:17400001-17410000	1:21290001-21300000	0.00219915	49914
1:20110001-20120000	1:20490001-20500000	0.00274292	27060
1:18400001-18410000	1:19060001-19070000	0.00245447	12556
1:18100001-18110000	1:19770001-19780000	0.00964744	5454
1:17320001-17330000	1:19630001-19640000	0.00493146	99244
1:18670001-18680000	1:18680001-18690000	0.0289676	186756
1:19650001-19660000	1:21120001-21130000	0.00317088	13275
1:19160001-19170000	1:21150001-21160000	0.00322443	39675
1:18530001-18540000	1:18580001-18590000	0.00193781	7448
1:17750001-17760000	1:18440001-18450000	0.00164149	855
1:17890001-17900000	1:19350001-19360000	0.0145164	28386
1:18380001-18390000	1:21010001-21020000	0.00168201	9790
1:19990001-20000000	1:20560001-20570000	0.00435311	43032
1:19900001-19910000	1:21030001-21040000	0.00251821	40576
1:19020001-19030000	1:21050001-21060000	0.00229154	148850
1:19680001-19690000	1:20680001-20690000	0.00374381	59510
1:17610001-17620000	1:18340001-18350000	0.000667473	388
1:19540001-19550000	1:20580001-20590000	0.00332408	86480
1:18760001-18770000	1:20440001-20450000	0.00260298	72800
1:19400001-19410000	1:20480001-20490000	0.00378344	28112
1:18160001-18170000	1:19350001-19360000	0.011223	15438
1:18650001-18660000	1:19320001-19330000	0.00832795	43855
1:18620001-18630000	1:20340001-20350000	0.00433773	11268
1:20080001-20090000	1:20380001-20390000	0.00243589	135256
1:17840001-17850000	1:20200001-20210000	0.00289258	35280
1:17590001-17600000	1:21100001-21110000	0.00223951	1235
1:17540001-17550000	1:20910001-20920000	0.00614689	16848
1:17380001-17390000	1:19210001-19220000	0.00149927	4040
1:17960001-17970000	1:19900001-19910000	0.0095224	56426
1:18900001-18910000	1:19230001-19240000	0.00172977	5016
1:18020001-18030000	1:19250001-19260000	0.00680829	4712
1:18110001-18120000	1:19970001-19980000	0.00462288	9350
1:18600001-18610000	1:19940001-19950000	0.0014144	11390
1:20910001-20920000	1:20980001-20990000	0.00552441	92664
1:17700001-17710000	1:20100001-20110000	0.00777827	4356
1:18680001-18690000	1:18880001-18890000	0.0127709	18912
1:17330001-17340000	1:19830001-19840000	0.00330204	199020
1:18890001-18900000	1:20770001-20780000	0.00138987	12648
1:17820001-17830000	1:19800001-19810000	0.00661786	49132
1:17450001-17460000	1:20290001-20300000	0.00319557	147804
1:18540001-18550000	1:18780001-18790000	0.00217231	2872
1:17310001-17320000	1:20190001-20200000	0.00257729	45356
1:17760001-17770000	1:18640001-18650000	0.00248692	8802
1:19520001-19530000	1:21220001-21230000	0.00176561	17958
1:19030001-19040000	1:21250001-21260000	0.00279818	39336
1:18400001-18410000	1:18680001-18690000	0.00209018	28762
1:18250001-18260000	1:21110001-21120000	0.00215891	6804
1:17620001-17630000	1:18540001-18550000	0.00140603	3816
1:19950001-19960000	1:20030001-20040000	0.00897229	20748
1:19580001-19590000	1:19760001-19770000	0.00872195	28390
1:19160001-19170000	1:20770001-20780000	0.00166272	2760
1:18110001-18120000	1:21010001-21020000	0.00208158	30260
1:20940001-20950000	1:21000001-21010000	0.0083224	55120
1:20450001-20460000	1:21030001-21040000	0.00221983	27520
1:17890001-17900000	1:18970001-18980000	0.0116792	22344
1:18380001-18390000	1:20630001-20640000	0.00140964	9625
1:19900001-19910000	1:20650001-20660000	0.00306512	48501
1:19440001-19450000	1:19660001-19670000	0.020603	40375
1:19410001-19420000	1:20680001-20690000	0.00194539	17160
1:18660001-18670000	1:19520001-19530000	0.0052815	26650
1:18240001-18250000	1:20530001-20540000	0.00628811	10944
1:19300001-19310000	1:19560001-19570000	0.00408306	5856
1:18520001-18530000	1:19420001-19430000	0.00111164	333
1:18030001-18040000	1:19450001-19460000	0.00110556	224
1:17390001-17400000	1:17390001-17400000	0.0689532	43660
1:20440001-20450000	1:20450001-20460000	0.0989715	60200
1:17460001-17470000	1:20490001-20500000	0.00239834	33374
1:18160001-18170000	1:18970001-18980000	0.0125269	12152
1:17890001-17900000	1:20010001-20020000	0.00767216	9861
1:17320001-17330000	1:20390001-20400000	0.00320898	54008
1:18410001-18420000	1:18880001-18890000	0.00164849	672
1:17540001-17550000	1:18020001-18030000	0.0110187	1976
1:19960001-19970000	1:20230001-20240000	0.00223494	22932
1:19660001-19670000	1:20940001-20950000	0.00380125	112625
1:19170001-19180000	1:20970001-20980000	0.00432449	72162
1:19080001-19090000	1:20250001-20260000	0.00224451	3422
1:20950001-20960000	1:21200001-21210000	0.00516353	65750
1:20070001-20080000	1:21220001-21230000	0.00272167	1533
1:18880001-18890000	1:20800001-20810000	0.00292264	12336
1:21100001-21110000	1:21270001-21280000	0.00107821	2223
1:19910001-19920000	1:20850001-20860000	0.00159195	1391
1:19820001-19830000	1:20130001-20140000	0.00482921	1309
1:19450001-19460000	1:19860001-19870000	0.00115696	232
1:19030001-19040000	1:20870001-20880000	0.00262565	31290
1:20810001-20820000	1:21100001-21110000	0.00143364	4902
1:18740001-18750000	1:20700001-20710000	0.00328797	68175
1:18580001-18590000	1:19000001-19010000	0.00175396	27132
1:18670001-18680000	1:19720001-19730000	0.0077933	31758
1:18160001-18170000	1:20010001-20020000	0.0116836	5363
1:18250001-18260000	1:20730001-20740000	0.00241365	3888
1:20560001-20570000	1:21290001-21300000	0.0029435	45966
1:19310001-19320000	1:19760001-19770000	0.00672673	27625
1:18530001-18540000	1:19620001-19630000	0.00268781	2072
1:18110001-18120000	1:20630001-20640000	0.00184791	29750
1:20450001-20460000	1:20650001-20660000	0.00254816	32895
1:20420001-20430000	1:21190001-21200000	0.00226383	12462
1:20310001-20320000	1:20550001-20560000	0.00314275	105336
1:18080001-18090000	1:18450001-18460000	0.01425	13720
1:17330001-17340000	1:20590001-20600000	0.00234287	53010
1:17390001-17400000	1:19840001-19850000	0.00353351	4440
1:17740001-17750000	1:18900001-18910000	0.00457302	29412
1:17820001-17830000	1:19080001-19090000	0.00354758	5017
1:19580001-19590000	1:20420001-20430000	0.00234081	10354
1:17680001-17690000	1:17740001-17750000	0.0307691	46698
1:17790001-17800000	1:19190001-19200000	0.00664767	69426
1:19440001-19450000	1:20320001-20330000	0.00291144	28880
1:19090001-19100000	1:21260001-21270000	0.0025119	17400
1:18580001-18590000	1:21170001-21180000	0.00155476	47348
1:18170001-18180000	1:20210001-20220000	0.00527753	14795
1:18260001-18270000	1:20930001-20940000	0.00219484	6435
1:17540001-17550000	1:17640001-17650000	0.00919339	16900
1:18750001-18760000	1:20900001-20910000	0.0037483	2420
1:19810001-19820000	1:19930001-19940000	0.0173708	21210
1:19230001-19240000	1:19240001-19250000	0.00193544	1716
1:18440001-18450000	1:21070001-21080000	0.00170851	11780
1:19930001-19940000	1:20390001-20400000	0.00420988	31714
1:18150001-18160000	1:19810001-19820000	0.0084709	24570
1:18030001-18040000	1:20110001-20120000	0.00250639	1680
1:18120001-18130000	1:20830001-20840000	0.0027009	23790
1:17400001-17410000	1:17540001-17550000	0.00793525	27612
1:18610001-18620000	1:20800001-20810000	0.00149766	29041
1:18450001-18460000	1:19100001-19110000	0.00374153	16072
1:20460001-20470000	1:20850001-20860000	0.00204758	3224
1:18310001-18320000	1:19000001-19010000	0.000609296	204
1:18400001-18410000	1:19720001-19730000	0.00240089	4891
1:20320001-20330000	1:20750001-20760000	0.00272424	82992
1:18580001-18590000	1:18620001-18630000	0.0107028	4788
1:18060001-18070000	1:19190001-19200000	0.00953359	39102
1:18440001-18450000	1:18520001-18530000	0.00135402	855
1:17790001-17800000	1:21260001-21270000	0.00225772	25230
1:17900001-17910000	1:20260001-20270000	0.00384591	93930
1:19070001-19080000	1:21190001-21200000	0.00366031	75576
1:19450001-19460000	1:20520001-20530000	0.00212151	984
1:17870001-17880000	1:18080001-18090000	0.0328346	117845
1:17550001-17560000	1:17840001-17850000	0.00488996	25200
1:19310001-19320000	1:20420001-20430000	0.00181483	10075
1:18450001-18460000	1:21270001-21280000	0.00140047	6552
1:18940001-18950000	1:21240001-21250000	0.00177011	25833
1:19940001-19950000	1:20590001-20600000	0.00371032	38190
1:17410001-17420000	1:17740001-17750000	0.00417842	101136
1:17670001-17680000	1:21130001-21140000	0.00265015	40700
1:18040001-18050000	1:20310001-20320000	0.00350274	59166
1:19100001-19110000	1:19340001-19350000	0.00924481	186263
1:18310001-18320000	1:21170001-21180000	0.00171032	356
1:18800001-18810000	1:21140001-21150000	0.00186811	11534
1:19800001-19810000	1:20490001-20500000	0.00244974	128084
1:18880001-18890000	1:20080001-20090000	0.00341287	20352
1:19090001-19100000	1:20880001-20890000	0.00288599	12960
1:18020001-18030000	1:19910001-19920000	0.0120775	4066
1:17530001-17540000	1:21030001-21040000	0.002582	41344
1:20820001-20830000	1:20920001-20930000	0.0045675	118192
1:18070001-18080000	1:19390001-19400000	0.0108441	39984
1:20100001-20110000	1:20130001-20140000	0.0175691	18513
1:17660001-17670000	1:20550001-20560000	0.004295	86240
1:18590001-18600000	1:19630001-19640000	0.0081168	46160
1:18450001-18460000	1:18720001-18730000	0.00894637	2968
1:17390001-17400000	1:20500001-20510000	0.00305527	92352
1:18720001-18730000	1:19580001-19590000	0.0089584	17702
1:17450001-17460000	1:19470001-19480000	0.00184538	169500
1:17940001-17950000	1:19440001-19450000	0.0198193	26600
1:18310001-18320000	1:18620001-18630000	0.000692097	36
1:17310001-17320000	1:19370001-19380000	0.00400363	130645
1:17800001-17810000	1:19340001-19350000	0.00517311	160303
1:19460001-19470000	1:20720001-20730000	0.00159468	1870
1:19370001-19380000	1:20000001-20010000	0.006178	145220
1:21000001-21010000	1:21010001-21020000	0.0621211	37024
1:19350001-19360000	1:19600001-19610000	0.00214217	3984
1:19320001-19330000	1:20620001-20630000	0.00413078	124460
1:17740001-17750000	1:18180001-18190000	0.00547492	4386
1:17490001-17500000	1:19080001-19090000	0.00242072	435
1:19950001-19960000	1:20790001-20800000	0.00402017	37548
1:17420001-17430000	1:17940001-17950000	0.00728188	73080
1:17600001-17610000	1:18080001-18090000	0.00270511	20090
1:19810001-19820000	1:20690001-20700000	0.00455903	7350
