index,label,MaternalLine,FlowerHead,Surv_19964,Qubit,Meet_conc,Sample_Group,Google_Latitude,
53,5-2-4,2011-2623-1,19A,Y,93.1,T,hennepin,41.34414603,
54,9-1-2,2011-2618-1,2C,Y,47.7,T,peoria,40.69352233,
55,12-3-4,2011-2664-1,10,Y,37.4,T,fulton2,40.20744448,
56,6-5-4,2011-2623-1,27B,Y,75.7,T,hennepin,41.34414603,
57,5-2-10,2011-2623-1,25C,Y,105,T,hennepin,41.34414603,
58,5-5-2,2011-2598-1,L7B,Y,80.9,T,jersey,38.96139842,
59,10-5-6,2011-2620-1,7B,Y,89.6,T,morgan,39.87546016,
60,12-4-6,2011-2623-1,28C,Y,44.1,T,hennepin,41.34414603,
61,13-1-10,2011-2613-1,17A,Y,70.2,T,fulton1,40.20813715,
62,2-3-2,2011-2664-1,12,Y,68.5,T,fulton2,40.20744448,
63,12-3-8,2011-2650-1,10C,Y,68.3,T,woodford,40.84668797,
64,12-1-9,2011-2599-1,7,Y,72.9,T,saint_clair,38.65150728,
65,7-5-1,2011-2623-1,21A,Y,58.4,T,hennepin,41.34414603,
66,6-6-11,2011-2629-1,14A,Y,43,T,marshal,41.02868893,
67,6-5-3,2011-2598-1,L4B,Y,52.9,T,jersey,38.96139842,
68,9-6-6,2011-2636-1,12,Y,91.4,T,cass,40.01789753,
69,6-6-6,2011-2636-1,10,Y,82.8,T,cass,40.01789753,
70,3-5-5,2011-2661-1,4A,Y,90,T,tazewell,40.69584984,
71,12-4-2,2011-2620-1,19A,Y,82.4,T,morgan,39.87546016,
72,8-3-4,2011-2609-1,X1,Y,80.3,T,madison,38.69652811,
73,7-5-9,2011-2629-1,3B,Y,65.8,T,marshal,41.02868893,
74,4-3-7,2011-2666-1,19C,Y,38.4,T,fulton3,40.46699903,
75,9-2-2,2011-2638-1,24B,Y,80.1,T,scott,39.78656977,
76,6-5-10,2011-2620-1,20A,Y,38.7,T,morgan,39.87546016,
77,3-6-2,2011-2650-1,19C,Y,44.5,T,woodford,40.84668797,
78,8-2-6,2011-2659-1,11A,Y,58.3,T,frederick,40.07116309,
79,2-1-4,2011-2675-1,29B,Y,62.7,T,schuyler,40.07010712,
80,7-1-8,2011-2650-1,27B,Y,52.9,T,woodford,40.84668797,
81,5-6-6,2011-2623-1,28C,Y,39.7,T,hennepin,41.34414603,
82,2-4-9,2011-2636-1,21,Y,62.9,T,cass,40.01789753,
83,2-2-2,2011-2598-1,S11C,Y,88.4,T,jersey,38.96139842,
84,2-5-9,2011-2675-1,5A,Y,54.3,T,schuyler,40.07010712,
85,2-3-10,2011-2650-1,1A,Y,56.8,T,woodford,40.84668797,
86,7-1-2,2011-2638-1,30B,Y,78.8,T,scott,39.78656977,
87,7-5-6,2011-2629-1,17B,Y,68.3,T,marshal,41.02868893,
88,9-5-4,2011-2664-1,7,Y,78.7,T,fulton2,40.20744448,
89,6-6-9,2011-2629-1,1C,Y,58.8,T,marshal,41.02868893,
90,6-6-7,2011-2629-1,1C,Y,64.6,T,marshal,41.02868893,
91,7-2-7,2011-2598-1,L9D,Y,86.7,T,jersey,38.96139842,
92,5-5-8,2011-2613-1,14B,Y,104,T,fulton1,40.20813715,
93,6-1-3,2011-2666-1,7B,Y,44.9,T,fulton3,40.46699903,
94,8-6-6,2011-2638-1,12C,Y,100,T,scott,39.78656977,
95,2-4-2,2011-2666-1,18A,Y,104,T,fulton3,40.46699903,
96,12-4-1,2011-2620-1,19A,Y,52.7,T,morgan,39.87546016,
97,9-1-12,2011-2659-1,1B,Y,58.5,T,frederick,40.07116309,
98,4-5-8,2011-2618-1,25A,Y,122,T,peoria,40.69352233,
99,3-3-6,2011-2666-1,21C,Y,89.3,T,fulton3,40.46699903,
100,6-4-7,2011-2613-1,1A,Y,88.1,T,fulton1,40.20813715,
101,10-3-11,2011-2675-1,21C,Y,85.2,T,schuyler,40.07010712,
102,6-5-2,2011-2598-1,L4B,Y,70.5,T,jersey,38.96139842,
103,7-3-2,2011-2598-1,L5A,Y,79.9,T,jersey,38.96139842,
104,2-6-4,2011-2636-1,2,Y,78.9,T,cass,40.01789753,
105,6-3-4,2011-2618-1,7B,Y,145,T,peoria,40.69352233,
106,8-4-7,2011-2613-1,22A,Y,110,T,fulton1,40.20813715,
107,4-2-12,2011-2650-1,30C,Y,89.5,T,woodford,40.84668797,
108,4-5-5,2011-2618-1,27C,Y,76.9,T,peoria,40.69352233,
109,10-4-5,2011-2620-1,13A,Y,104,T,morgan,39.87546016,
110,4-1-8,2011-2664-1,1,Y,62.7,T,fulton2,40.20744448,
111,2-2-7,2011-2666-1,28A,Y,54.3,T,fulton3,40.46699903,
112,8-3-10,2011-2666-1,3B,Y,80.6,T,fulton3,40.46699903,
113,9-5-2,2011-2664-1,7,Y,102,T,fulton2,40.20744448,
114,10-4-4,2011-2599-1,27,Y,46.7,T,saint_clair,38.65150728,
115,4-1-11,2011-2659-1,10C,Y,94.6,T,frederick,40.07116309,
116,6-2-11,2011-2618-1,24B,Y,51.9,T,peoria,40.69352233,
117,12-4-8,2011-2666-1,16B,Y,67.7,T,fulton3,40.46699903,
118,6-6-1,2011-2675-1,23A,Y,54,T,schuyler,40.07010712,
119,13-1-5,2011-2675-1,18A,Y,87.1,T,schuyler,40.07010712,
120,4-2-5,2011-2664-1,9,Y,53.6,T,fulton2,40.20744448,
121,3-2-9,2011-2664-1,8,Y,42.4,T,fulton2,40.20744448,
122,1-6-10,2011-2661-1,23A,Y,16.3,T,N/A,40.69584984,
123,10-1-9,2011-2650-1,11B,N,89.9,T,woodford,40.84668797,
124,4-6-10,2011-2650-1,8B,Y,69.5,T,woodford,40.84668797,
125,6-6-12,2011-2629-1,14A,Y,155,T,marshal,41.02868893,
126,13-1-2,2011-2661-1,10B,Y,75.6,T,tazewell,40.69584984,
127,4-3-9,2011-2635-1,8,Y,35.9,T,alton,38.86501905,
128,13-2-3,2011-2661-1,26A,Y,81.8,T,tazewell,40.69584984,
129,3-1-4,2011-2675-1,15B,Y,67.1,T,schuyler,40.07010712,
130,5-6-11,2011-2629-1,22B,Y,70.8,T,marshal,41.02868893,
131,5-3-2,2011-2623-1,12A,Y,129,T,hennepin,41.34414603,
132,6-2-2,2011-2629-1,19C,Y,76.2,T,marshal,41.02868893,
133,1-2-4,2011-2675-1,25A,Y,97,T,schuyler,40.07010712,
134,5-4-7,2011-2623-1,1B,Y,94.6,T,hennepin,41.34414603,
135,9-2-10,2011-2629-1,5A,Y,103,T,marshal,41.02868893,
136,8-1-8,2011-2638-1,18A,Y,63.6,T,scott,39.78656977,
137,7-5-7,2011-2629-1,17B,Y,78.7,T,marshal,41.02868893,
138,4-1-1,2011-2675-1,27C,Y,40.7,T,schuyler,40.07010712,
139,4-3-5,2011-2609-1,11C,Y,39.1,T,madison,38.69652811,
140,1-4-2,2011-2659-1,14A,Y,76.3,T,frederick,40.07116309,
141,8-6-8,2011-2609-1,X2,Y,65.2,T,madison,38.69652811,
142,3-6-3,2011-2650-1,19C,Y,39.1,T,woodford,40.84668797,
143,4-2-8,2011-2623-1,18B,Y,45.3,T,hennepin,41.34414603,
144,10-6-6,2011-2638-1,16A,Y,81,T,scott,39.78656977,
145,6-3-10,2011-2635-1,24,Y,53.6,T,alton,38.86501905,
146,5-1-7,2011-2638-1,28A,Y,37,T,scott,39.78656977,
147,2-4-5,2011-2666-1,24A,Y,127,T,fulton3,40.46699903,
148,2-3-12,2011-2675-1,10A,Y,49.7,T,schuyler,40.07010712,
149,6-5-11,2011-2613-1,9A,Y,76.6,T,fulton1,40.20813715,
150,2-3-11,2011-2650-1,1A,Y,35.4,T,woodford,40.84668797,
151,9-3-5,2011-2638-1,8B,Y,78.7,T,scott,39.78656977,
152,13-1-3,2011-2675-1,18A,Y,101,T,schuyler,40.07010712,
153,5-1-6,2011-2635-1,35?,Y,74.8,T,alton,38.86501905,
154,4-2-7,2011-2623-1,18B,Y,98.9,T,hennepin,41.34414603,
155,3-5-3,2011-2599-1,3,Y,73,T,saint_clair,38.65150728,
156,7-4-9,2011-2659-1,9A,N,0.191,F,N/A,40.07116309,
157,5-3-9,2011-2659-1,5A,Y,55.3,T,frederick,40.07116309,
158,5-5-7,2011-2613-1,14B,Y,39.8,T,fulton1,40.20813715,
159,3-3-7,2011-2666-1,21C,Y,32,T,fulton3,40.46699903,
160,3-6-1,2011-2638-1,11B,Y,29.7,T,scott,39.78656977,
161,8-1-11,2011-2618-1,12A,Y,76.7,T,peoria,40.69352233,
162,4-6-2,2011-2659-1,2A,Y,42.6,T,frederick,40.07116309,
163,7-3-11,2011-2629-1,15A,Y,86.2,T,marshal,41.02868893,
164,12-6-1,2011-2675-1,10A,Y,42.4,T,schuyler,40.07010712,
165,11-2-11,2011-2609-1,15A,Y,34,T,madison,38.69652811,
166,6-4-4,2011-2636-1,5,Y,43.3,T,cass,40.01789753,
167,4-3-3,2011-2675-1,19B,Y,37.2,T,schuyler,40.07010712,
168,3-4-10,2011-2661-1,22A,Y,62.8,T,tazewell,40.69584984,
169,6-2-9,2011-2599-1,4,Y,35.4,T,saint_clair,38.65150728,
170,7-1-9,2011-2650-1,27B,Y,74.3,T,woodford,40.84668797,
171,3-6-7,2011-2598-1,S8A,Y,40.5,T,jersey,38.96139842,
172,8-5-12,2011-2613-1,24A,Y,33.6,T,fulton1,40.20813715,
173,3-1-1,2011-2636-1,19,Y,44.7,T,cass,40.01789753,
174,2-5-11,2011-2675-1,5A,Y,68.3,T,schuyler,40.07010712,
175,2-1-9,2011-2618-1,26A,Y,44.9,T,peoria,40.69352233,
176,5-2-6,2011-2599-1,11,Y,45,T,saint_clair,38.65150728,
177,5-5-4,2011-2618-1,4A,Y,36.8,T,peoria,40.69352233,
178,5-2-7,2011-2599-1,11,Y,45.5,T,saint_clair,38.65150728,
179,8-2-4,2011-2613-1,3A,Y,50.5,T,fulton1,40.20813715,
180,6-6-8,2011-2629-1,1C,Y,34.6,T,marshal,41.02868893,
181,1-3-2,2011-2618-1,1B,Y,77,T,peoria,40.69352233,
182,8-2-2,2011-2623-1,11A,Y,136,T,hennepin,41.34414603,
183,1-6-2,2011-2636-1,22,Y,149,T,cass,40.01789753,
184,6-3-7,2011-2609-1,18C,Y,43,T,madison,38.69652811,
185,9-2-4,2011-2650-1,21A,Y,123,T,woodford,40.84668797,
186,10-3-3,2011-2661-1,12A,Y,73.4,T,tazewell,40.69584984,
187,4-1-4,2011-2675-1,16A,Y,154,T,schuyler,40.07010712,
188,2-2-3,2011-2675-1,3C,Y,34.2,T,schuyler,40.07010712,
189,8-3-9,2011-2666-1,3B,Y,77.8,T,fulton3,40.46699903,
190,8-2-5,2011-2598-1,L12A,Y,27.8,T,jersey,38.96139842,
191,7-3-9,2011-2629-1,11B,Y,37.2,T,marshal,41.02868893,
192,3-3-11,2011-2638-1,6A,Y,61.4,T,scott,39.78656977,
193,6-1-7,2011-2664-1,16,Y,48.4,T,fulton2,40.20744448,
194,2-3-4,2011-2636-1,30,Y,121,T,cass,40.01789753,
195,6-1-10,2011-2629-1,7C,Y,20.4,T,marshal,41.02868893,
196,10-1-5,2011-2599-1,19,Y,33.2,T,saint_clair,38.65150728,
197,5-3-10,2011-2659-1,5A,Y,78.2,T,frederick,40.07116309,
198,7-4-2,2011-2620-1,15B,Y,63.6,T,morgan,39.87546016,
199,8-5-3,2011-2636-1,1,Y,27.6,T,cass,40.01789753,
200,8-1-5,2011-2620-1,30B,Y,33.8,T,morgan,39.87546016,
201,4-6-9,2011-2650-1,8B,Y,90.9,T,woodford,40.84668797,
202,6-1-4,2011-2666-1,7B,Y,43.9,T,fulton3,40.46699903,
203,8-3-3,2011-2609-1,X1,Y,81,T,madison,38.69652811,
204,10-1-10,2011-2620-1,6A,Y,111,T,morgan,39.87546016,
205,6-5-5,2011-2623-1,27B,Y,118,T,hennepin,41.34414603,
206,2-6-2,2011-2636-1,7,Y,99.6,T,cass,40.01789753,
207,4-2-4,2011-2666-1,6B,Y,36.5,T,fulton3,40.46699903,
208,7-5-10,2011-2629-1,3B,Y,97.1,T,marshal,41.02868893,
209,13-2-1,2011-2623-1,11A,Y,77.2,T,hennepin,41.34414603,
210,9-3-4,2011-2598-1,S16A,Y,115,T,jersey,38.96139842,
211,8-1-2,2011-2635-1,31,Y,76.2,T,alton,38.86501905,
212,12-6-2,2011-2675-1,10A,Y,31.4,T,schuyler,40.07010712,
213,5-1-5,2011-2635-1,35?,Y,86.5,T,alton,38.86501905,
214,11-5-6,2011-2609-1,7C,Y,52,T,madison,38.69652811,
215,4-1-10,2011-2664-1,1,Y,76.8,T,fulton2,40.20744448,
216,2-4-8,2011-2636-1,21,Y,23.3,T,cass,40.01789753,
217,7-1-4,2011-2650-1,18A,Y,32,T,woodford,40.84668797,
218,3-6-9,2011-2598-1,L14A,Y,58,T,jersey,38.96139842,
219,3-2-1,2011-2661-1,25A,Y,82.4,T,tazewell,40.69584984,
220,10-6-2,2011-2675-1,12B,Y,32,T,schuyler,40.07010712,
221,6-6-10,2011-2629-1,14A,Y,60,T,marshal,41.02868893,
222,3-4-11,2011-2661-1,15A,Y,30,T,tazewell,40.69584984,
223,10-2-9,2011-2636-1,9,Y,50.6,T,cass,40.01789753,
224,8-6-4,2011-2638-1,12C,Y,73.4,T,scott,39.78656977,
225,8-5-8,2011-2598-1,S6B,Y,32.1,T,jersey,38.96139842,
226,6-2-7,2011-2599-1,4,Y,20.9,T,saint_clair,38.65150728,
227,7-5-4,2011-2613-1,18A,Y,30.1,T,fulton1,40.20813715,
228,9-3-8,2011-2629-1,30A,Y,57.7,T,marshal,41.02868893,
229,2-1-8,2011-2618-1,26A,Y,67.3,T,peoria,40.69352233,
230,1-6-9,2011-2618-1,1B,Y,82.2,T,peoria,40.69352233,
231,2-3-6,2011-2666-1,11B,Y,62.8,T,fulton3,40.46699903,
232,7-4-12,2011-2650-1,6B,Y,35.9,T,woodford,40.84668797,
233,8-1-4,2011-2623-1,14B,Y,42.4,T,hennepin,41.34414603,
234,4-5-12,2011-2659-1,15A,Y,72.3,T,frederick,40.07116309,
235,3-1-3,2011-2675-1,15B,Y,29.2,T,schuyler,40.07010712,
236,2-5-3,2011-2638-1,20C,Y,35.9,T,scott,39.78656977,
237,4-6-1,2011-2659-1,2A,Y,29.7,T,frederick,40.07116309,
238,1-4-10,2011-2659-1,5A,Y,46.7,T,frederick,40.07116309,
239,8-2-7,2011-2659-1,11A,Y,50.2,T,frederick,40.07116309,
240,3-5-8,2011-2661-1,2A,Y,47.5,T,tazewell,40.69584984,
241,2-4-3,2011-2666-1,18A,Y,98.2,T,fulton3,40.46699903,
242,7-4-10,2011-2659-1,9A,Y,24.2,T,frederick,40.07116309,
243,6-1-5,2011-2666-1,7B,Y,43.4,T,fulton3,40.46699903,
244,8-5-1,2011-2620-1,12B,Y,61.3,T,morgan,39.87546016,
245,10-5-2,2011-2620-1,27A,Y,97.9,T,morgan,39.87546016,
246,3-2-2,2011-2613-1,29A,Y,49.5,T,fulton1,40.20813715,
247,3-2-12,2011-2635-1,28,Y,22.9,T,alton,38.86501905,
248,8-4-1,2011-2635-1,26,Y,121,T,alton,38.86501905,
249,10-3-1,2011-2661-1,23A,Y,47.7,T,tazewell,40.69584984,
250,8-5-7,2011-2598-1,S6B,Y,26.6,T,jersey,38.96139842,
251,12-5-3,2011-2638-1,17A,Y,84.6,T,scott,39.78656977,
252,6-6-4,2011-2636-1,10,Y,74.6,T,cass,40.01789753,
253,2-6-11,2011-2675-1,25A,Y,60,T,schuyler,40.07010712,
254,2-5-2,2011-2638-1,20C,Y,42.9,T,scott,39.78656977,
255,10-4-3,2011-2599-1,27,Y,94.6,T,saint_clair,38.65150728,
256,2-5-1,2011-2638-1,20C,Y,43.1,T,scott,39.78656977,
257,2-3-9,2011-2650-1,1A,Y,133,T,woodford,40.84668797,
258,5-2-2,2011-2623-1,19A,Y,69.4,T,hennepin,41.34414603,
259,9-1-9,2011-2598-1,S10D,Y,52,T,jersey,38.96139842,
260,1-6-12,2011-2636-1,19,Y,65.9,T,cass,40.01789753,
261,12-5-11,2011-2635-1,13,Y,217,T,alton,38.86501905,
262,5-2-5,2011-2599-1,11,Y,74.2,T,saint_clair,38.65150728,
263,9-4-9,2011-2618-1,20C,Y,31.3,T,peoria,40.69352233,
264,5-4-10,2011-2598-1,S15B,Y,77.1,T,jersey,38.96139842,
265,10-6-1,2011-2675-1,12B,Y,97.8,T,schuyler,40.07010712,
266,9-6-4,2011-2609-1,9C,Y,0.217,F,N/A,38.69652811,
267,2-1-12,2011-2598-1,S11C,Y,33.4,T,jersey,38.96139842,
268,6-2-5,2011-2629-1,9A,Y,119,T,marshal,41.02868893,
269,7-1-7,2011-2650-1,27B,Y,71.4,T,woodford,40.84668797,
270,2-2-5,2011-2666-1,28A,Y,71.6,T,fulton3,40.46699903,
271,6-4-8,2011-2613-1,1A,Y,26.4,T,fulton1,40.20813715,
272,6-3-1,2011-2675-1,28C,Y,71.3,T,schuyler,40.07010712,
273,7-4-11,2011-2620-1,4C,Y,67.6,T,morgan,39.87546016,
274,8-4-8,2011-2613-1,22A,Y,40.5,T,fulton1,40.20813715,
275,2-1-11,2011-2650-1,15B,Y,74,T,woodford,40.84668797,
276,3-5-6,2011-2661-1,4A,Y,38.7,T,tazewell,40.69584984,
277,3-1-9,2011-2638-1,15C,Y,50.9,T,scott,39.78656977,
278,8-1-9,2011-2638-1,18A,Y,52.8,T,scott,39.78656977,
279,2-2-1,2011-2598-1,S11C,Y,45.8,T,jersey,38.96139842,
280,6-1-1,2011-2623-1,30C,Y,55.2,T,hennepin,41.34414603,
281,5-3-12,2011-2635-1,17,Y,35.1,T,alton,38.86501905,
282,4-6-6,2011-2623-1,4A,Y,63,T,hennepin,41.34414603,
283,5-4-1,2011-2599-1,9,Y,50.3,T,saint_clair,38.65150728,
284,9-2-3,2011-2638-1,24B,Y,48.5,T,scott,39.78656977,
285,10-2-12,2011-2675-1,9B,Y,33.4,T,schuyler,40.07010712,
286,12-4-10,2011-2638-1,1C,Y,46.6,T,scott,39.78656977,
287,6-6-3,2011-2675-1,23A,Y,43.9,T,schuyler,40.07010712,
288,1-3-10,2011-2598-1,L12A,Y,32,T,jersey,38.96139842,
289,3-2-10,2011-2664-1,8,Y,48.1,T,fulton2,40.20744448,
290,3-1-11,2011-2650-1,11B,Y,86.7,T,woodford,40.84668797,
291,6-2-4,2011-2629-1,9A,Y,72.1,T,marshal,41.02868893,
292,7-1-10,2011-2661-1,18B,Y,70.1,T,tazewell,40.69584984,
293,2-2-10,2011-2638-1,13A,Y,54.8,T,scott,39.78656977,
294,6-1-11,2011-2629-1,6C,Y,29,T,marshal,41.02868893,
295,7-1-1,2011-2638-1,30B,Y,108,T,scott,39.78656977,
296,9-5-9,2011-2661-1,13A,Y,78,T,tazewell,40.69584984,
297,2-6-7,2011-2598-1,L13B,N,0.469,F,N/A,38.96139842,
298,8-4-5,2011-2635-1,15,Y,38.3,T,alton,38.86501905,
299,9-2-11,2011-2629-1,5A,Y,35.3,T,marshal,41.02868893,
300,3-1-10,2011-2638-1,15C,N,0.641,F,N/A,39.78656977,
301,10-3-2,2011-2661-1,23A,Y,87.5,T,tazewell,40.69584984,
302,9-2-1,2011-2659-1,1B,Y,56.7,T,frederick,40.07116309,
303,8-6-7,2011-2609-1,X2,Y,57.8,T,madison,38.69652811,
304,12-5-8,2011-2650-1,17A,Y,60.8,T,woodford,40.84668797,
305,1-1-6,2011-2666-1,3A,Y,80.3,T,fulton3,40.46699903,
306,2-4-10,2011-2664-1,15,Y,33.5,T,fulton2,40.20744448,
307,4-2-10,2011-2659-1,13A,Y,33.2,T,frederick,40.07116309,
308,2-5-6,2011-2635-1,4,Y,99.3,T,alton,38.86501905,
309,3-5-9,2011-2661-1,2A,Y,82.7,T,tazewell,40.69584984,
310,9-6-7,2011-2661-1,25A,Y,46.6,T,tazewell,40.69584984,
311,6-5-12,2011-2613-1,9A,Y,60.1,T,fulton1,40.20813715,
312,10-6-10,2011-2613-1,16A,Y,67.6,T,fulton1,40.20813715,
313,2-3-8,2011-2666-1,11B,Y,81.1,T,fulton3,40.46699903,
314,6-4-2,2011-2636-1,5,Y,96.5,T,cass,40.01789753,
315,7-1-11,2011-2661-1,18B,Y,44.5,T,tazewell,40.69584984,
316,5-6-10,2011-2629-1,22B,Y,72.3,T,marshal,41.02868893,
317,5-5-12,2011-2618-1,30B,Y,51.1,T,peoria,40.69352233,
318,9-1-7,2011-2666-1,27A,Y,145,T,fulton3,40.46699903,
319,9-6-12,2011-2636-1,15,Y,93.9,T,cass,40.01789753,
320,6-4-10,2011-2598-1,S17A,Y,44.5,T,jersey,38.96139842,
321,10-3-9,2011-2599-1,16,Y,71.5,T,saint_clair,38.65150728,
322,4-3-6,2011-2666-1,19C,Y,77.4,T,fulton3,40.46699903,
323,10-6-3,2011-2675-1,12B,Y,64.3,T,schuyler,40.07010712,
324,8-2-9,2011-2609-1,5C,Y,30.2,T,madison,38.69652811,
325,9-2-6,2011-2650-1,21A,Y,25.4,T,woodford,40.84668797,
326,8-4-9,2011-2609-1,7C,Y,60.7,T,madison,38.69652811,
327,9-3-6,2011-2638-1,8B,Y,59.5,T,scott,39.78656977,
328,13-1-6,2011-2636-1,12,Y,74.6,T,cass,40.01789753,
329,5-6-3,2011-2629-1,28C,Y,121,T,marshal,41.02868893,
330,12-3-9,2011-2650-1,10C,Y,52.2,T,woodford,40.84668797,
331,3-4-9,2011-2661-1,22A,Y,37.5,T,tazewell,40.69584984,
332,6-1-2,2011-2623-1,30C,Y,47.8,T,hennepin,41.34414603,
333,1-6-3,2011-2636-1,22,N,0.371,F,N/A,40.01789753,
334,4-2-3,2011-2666-1,6B,Y,64,T,fulton3,40.46699903,
335,8-5-6,2011-2598-1,S6B,Y,69.4,T,jersey,38.96139842,
336,10-5-7,2011-2638-1,4B,Y,56.6,T,scott,39.78656977,
337,8-4-6,2011-2613-1,22A,Y,47.3,T,fulton1,40.20813715,
338,12-6-3,2011-2650-1,13C,Y,62.2,T,woodford,40.84668797,
339,12-5-12,2011-2613-1,3A,Y,55.4,T,fulton1,40.20813715,
340,3-4-2,2011-2636-1,4,Y,131,T,cass,40.01789753,
341,10-6-4,2011-2664-1,30,Y,31.2,T,fulton2,40.20744448,
342,11-5-2,2011-2650-1,29B,Y,94.3,T,woodford,40.84668797,
343,3-5-12,2011-2638-1,11B,Y,70.4,T,scott,39.78656977,
344,9-2-12,2011-2629-1,5A,Y,67.7,T,marshal,41.02868893,
345,11-1-8,2011-2623-1,6B,Y,46.3,T,hennepin,41.34414603,
346,2-5-8,2011-2609-1,15A,Y,97.6,T,N/A,38.69652811,
347,3-4-1,2011-2636-1,4,Y,138,T,cass,40.01789753,
348,1-6-1,2011-2636-1,22,Y,0.281,F,N/A,40.01789753,
349,8-6-5,2011-2638-1,12C,N,63.3,T,scott,39.78656977,
350,7-3-7,2011-2664-1,28,Y,71.2,T,fulton2,40.20744448,
351,3-5-11,2011-2638-1,11B,Y,54.7,T,scott,39.78656977,
352,6-3-3,2011-2618-1,7B,Y,49.8,T,peoria,40.69352233,
353,2-5-7,2011-2623-1,28C,Y,102,T,hennepin,41.34414603,
354,9-4-10,2011-2618-1,20C,Y,51.5,T,peoria,40.69352233,
355,1-4-7,2011-2613-1,24A,Y,44.9,T,fulton1,40.20813715,
356,9-3-3,2011-2598-1,S16A,Y,54.1,T,jersey,38.96139842,
357,2-6-1,2011-2636-1,7,Y,79.5,T,cass,40.01789753,
358,10-4-6,2011-2620-1,13A,Y,38.7,T,morgan,39.87546016,
359,2-5-4,2011-2635-1,4,Y,68.6,T,alton,38.86501905,
360,2-6-9,2011-2598-1,L13B,Y,105,T,jersey,38.96139842,
