label,index,variable_name,Date_index,values,Date
3-4-3,2,leafWide,2,1.9,2024-05-08
3-4-3,2,leafWide,3,2.2,2024-05-15
3-4-3,2,numDiscF,3,0,2024-05-15
3-4-3,2,numDiscF,4,NA,2024-05-22
3-4-3,2,numDiscF,5,NA,2024-05-29
3-4-3,2,numDiscF,6,NA,2024-06-05
3-4-3,2,numDiscF,7,NA,2024-06-12
3-4-3,2,numDiscF,8,NA,2024-06-19
3-4-3,2,numFlwrB,1,NA,2024-05-01
3-4-3,2,numFlwrB,2,0,2024-05-08
3-4-3,2,numFlwrB,3,0,2024-05-15
3-4-3,2,numFlwrB,4,NA,2024-05-22
3-4-3,2,numFlwrB,5,NA,2024-05-29
3-4-3,2,numFlwrB,6,NA,2024-06-05
3-4-3,2,numFlwrB,7,NA,2024-06-12
3-4-3,2,numFlwrB,8,NA,2024-06-19
3-4-3,2,numLSt,4,0,2024-05-22
3-4-3,2,numLSt,5,0,2024-05-29
3-4-3,2,numLSt,6,NA,2024-06-05
3-4-3,2,numLSt,7,NA,2024-06-12
3-4-3,2,numLSt,8,NA,2024-06-19
3-4-3,2,numLvs,1,12,2024-05-01
3-4-3,2,numLvs,2,19,2024-05-08
3-4-3,2,numLvs,3,23,2024-05-15
3-4-3,2,numRayF,3,0,2024-05-15
3-4-3,2,numRayF,4,NA,2024-05-22
3-4-3,2,numRayF,5,NA,2024-05-29
3-4-3,2,numRayF,6,NA,2024-06-05
3-4-3,2,numRayF,7,NA,2024-06-12
3-4-3,2,numRayF,8,NA,2024-06-19
3-4-3,2,numRos,1,1,2024-05-01
3-4-3,2,numRos,2,0,2024-05-08
3-4-3,2,numRos,3,0,2024-05-15
3-4-3,2,numRos,4,1,2024-05-22
3-4-3,2,numRos,5,1,2024-05-29
3-4-3,2,numRos,6,1,2024-06-05
3-4-3,2,numRos,7,1,2024-06-12
3-4-3,2,numRos,8,1,2024-06-19
3-4-3,2,numStem,1,0,2024-05-01
3-4-3,2,numStem,2,1,2024-05-08
3-4-3,2,numStem,3,1,2024-05-15
3-4-3,2,numStem,4,0,2024-05-22
3-4-3,2,numStem,5,0,2024-05-29
3-4-3,2,numStem,6,0,2024-06-05
3-4-3,2,numStem,7,0,2024-06-12
3-4-3,2,numStem,8,0,2024-06-19
3-4-3,2,stemLength,1,NA,2024-05-01
3-4-3,2,stemLength,2,1.7,2024-05-08
3-4-3,2,stemLength,3,1.2,2024-05-15
3-4-3,2,stemLength,4,NA,2024-05-22
3-4-3,2,stemLength,5,NA,2024-05-29
3-4-3,2,stemLength,6,NA,2024-06-05
3-4-3,2,stemLength,7,NA,2024-06-12
3-4-3,2,stemLength,8,NA,2024-06-19
6-1-12,3,leafLong,1,15.5,2024-05-01
6-1-12,3,leafLong,2,16.7,2024-05-08
6-1-12,3,leafLong,3,16.9,2024-05-15
6-1-12,3,leafWide,1,2.5,2024-05-01
6-1-12,3,leafWide,2,2.7,2024-05-08
6-1-12,3,leafWide,3,2.6,2024-05-15
6-1-12,3,numDiscF,3,0,2024-05-15
6-1-12,3,numDiscF,4,0,2024-05-22
6-1-12,3,numDiscF,5,3,2024-05-29
6-1-12,3,numDiscF,6,7,2024-06-05
6-1-12,3,numDiscF,7,14,2024-06-12
6-1-12,3,numDiscF,8,19,2024-06-19
6-1-12,3,numFlwrB,1,0,2024-05-01
6-1-12,3,numFlwrB,2,1,2024-05-08
6-1-12,3,numFlwrB,3,5,2024-05-15
6-1-12,3,numFlwrB,4,9,2024-05-22
6-1-12,3,numFlwrB,5,13,2024-05-29
6-1-12,3,numFlwrB,6,5,2024-06-05
6-1-12,3,numFlwrB,7,9,2024-06-12
6-1-12,3,numFlwrB,8,8,2024-06-19
6-1-12,3,numLSt,4,6,2024-05-22
6-1-12,3,numLSt,5,6,2024-05-29
6-1-12,3,numLSt,6,5,2024-06-05
6-1-12,3,numLSt,7,5,2024-06-12
6-1-12,3,numLSt,8,5,2024-06-19
6-1-12,3,numLvs,1,14,2024-05-01
6-1-12,3,numLvs,2,24,2024-05-08
6-1-12,3,numLvs,3,28,2024-05-15
6-1-12,3,numRayF,3,0,2024-05-15
6-1-12,3,numRayF,4,3,2024-05-22
6-1-12,3,numRayF,5,3,2024-05-29
6-1-12,3,numRayF,6,11,2024-06-05
6-1-12,3,numRayF,7,5,2024-06-12
6-1-12,3,numRayF,8,5,2024-06-19
6-1-12,3,numRos,1,0,2024-05-01
6-1-12,3,numRos,2,0,2024-05-08
6-1-12,3,numRos,3,0,2024-05-15
6-1-12,3,numRos,4,0,2024-05-22
6-1-12,3,numRos,5,0,2024-05-29
6-1-12,3,numRos,6,0,2024-06-05
6-1-12,3,numRos,7,0,2024-06-12
6-1-12,3,numRos,8,0,2024-06-19
6-1-12,3,numStem,1,1,2024-05-01
6-1-12,3,numStem,2,1,2024-05-08
6-1-12,3,numStem,3,1,2024-05-15
6-1-12,3,numStem,4,1,2024-05-22
6-1-12,3,numStem,5,1,2024-05-29
6-1-12,3,numStem,6,1,2024-06-05
6-1-12,3,numStem,7,1,2024-06-12
6-1-12,3,numStem,8,1,2024-06-19
6-1-12,3,stemLength,1,9.4,2024-05-01
6-1-12,3,stemLength,2,22.8,2024-05-08
6-1-12,3,stemLength,3,39.1,2024-05-15
6-1-12,3,stemLength,4,50,2024-05-22
6-1-12,3,stemLength,5,50,2024-05-29
6-1-12,3,stemLength,6,52.5,2024-06-05
6-1-12,3,stemLength,7,53.5,2024-06-12
6-1-12,3,stemLength,8,50.4,2024-06-19
4-6-12,4,leafLong,1,13.1,2024-05-01
4-6-12,4,leafLong,2,17.6,2024-05-08
4-6-12,4,leafLong,3,20.2,2024-05-15
4-6-12,4,leafWide,1,1.6,2024-05-01
4-6-12,4,leafWide,2,1.7,2024-05-08
4-6-12,4,leafWide,3,1.8,2024-05-15
4-6-12,4,numDiscF,3,0,2024-05-15
4-6-12,4,numDiscF,4,0,2024-05-22
4-6-12,4,numDiscF,5,0,2024-05-29
4-6-12,4,numDiscF,6,0,2024-06-05
4-6-12,4,numDiscF,7,0,2024-06-12
4-6-12,4,numDiscF,8,1,2024-06-19
4-6-12,4,numFlwrB,1,0,2024-05-01
4-6-12,4,numFlwrB,2,0,2024-05-08
4-6-12,4,numFlwrB,3,0,2024-05-15
4-6-12,4,numFlwrB,4,0,2024-05-22
4-6-12,4,numFlwrB,5,2,2024-05-29
4-6-12,4,numFlwrB,6,3,2024-06-05
4-6-12,4,numFlwrB,7,2,2024-06-12
4-6-12,4,numFlwrB,8,0,2024-06-19
4-6-12,4,numLSt,4,0,2024-05-22
4-6-12,4,numLSt,5,0,2024-05-29
4-6-12,4,numLSt,6,1,2024-06-05
4-6-12,4,numLSt,7,3,2024-06-12
4-6-12,4,numLSt,8,3,2024-06-19
4-6-12,4,numLvs,1,10,2024-05-01
4-6-12,4,numLvs,2,13,2024-05-08
4-6-12,4,numLvs,3,12,2024-05-15
4-6-12,4,numRayF,3,0,2024-05-15
4-6-12,4,numRayF,4,0,2024-05-22
4-6-12,4,numRayF,5,0,2024-05-29
4-6-12,4,numRayF,6,1,2024-06-05
4-6-12,4,numRayF,7,2,2024-06-12
4-6-12,4,numRayF,8,3,2024-06-19
4-6-12,4,numRos,1,0,2024-05-01
4-6-12,4,numRos,2,0,2024-05-08
4-6-12,4,numRos,3,0,2024-05-15
4-6-12,4,numRos,4,0,2024-05-22
4-6-12,4,numRos,5,0,2024-05-29
4-6-12,4,numRos,6,0,2024-06-05
4-6-12,4,numRos,7,0,2024-06-12
4-6-12,4,numRos,8,0,2024-06-19
4-6-12,4,numStem,1,1,2024-05-01
4-6-12,4,numStem,2,1,2024-05-08
4-6-12,4,numStem,3,1,2024-05-15
4-6-12,4,numStem,4,1,2024-05-22
4-6-12,4,numStem,5,1,2024-05-29
4-6-12,4,numStem,6,1,2024-06-05
4-6-12,4,numStem,7,1,2024-06-12
4-6-12,4,numStem,8,1,2024-06-19
4-6-12,4,stemLength,1,1.4,2024-05-01
4-6-12,4,stemLength,2,10.2,2024-05-08
4-6-12,4,stemLength,3,21.2,2024-05-15
4-6-12,4,stemLength,4,35,2024-05-22
4-6-12,4,stemLength,5,49.6,2024-05-29
4-6-12,4,stemLength,6,64.3,2024-06-05
4-6-12,4,stemLength,7,65.6,2024-06-12
4-6-12,4,stemLength,8,62.1,2024-06-19
5-2-8,5,leafLong,1,15.7,2024-05-01
5-2-8,5,leafLong,2,24.9,2024-05-08
5-2-8,5,leafLong,3,25.5,2024-05-15
5-2-8,5,leafWide,1,1.9,2024-05-01
5-2-8,5,leafWide,2,2.5,2024-05-08
5-2-8,5,leafWide,3,2.6,2024-05-15
5-2-8,5,numDiscF,3,NA,2024-05-15
5-2-8,5,numDiscF,4,0,2024-05-22
5-2-8,5,numDiscF,5,NA,2024-05-29
5-2-8,5,numDiscF,6,NA,2024-06-05
5-2-8,5,numDiscF,7,NA,2024-06-12
5-2-8,5,numDiscF,8,NA,2024-06-19
5-2-8,5,numFlwrB,1,0,2024-05-01
5-2-8,5,numFlwrB,2,0,2024-05-08
5-2-8,5,numFlwrB,3,NA,2024-05-15
5-2-8,5,numFlwrB,4,0,2024-05-22
5-2-8,5,numFlwrB,5,NA,2024-05-29
5-2-8,5,numFlwrB,6,NA,2024-06-05
5-2-8,5,numFlwrB,7,NA,2024-06-12
5-2-8,5,numFlwrB,8,NA,2024-06-19
5-2-8,5,numLSt,4,0,2024-05-22
5-2-8,5,numLSt,5,0,2024-05-29
5-2-8,5,numLSt,6,NA,2024-06-05
5-2-8,5,numLSt,7,NA,2024-06-12
5-2-8,5,numLSt,8,NA,2024-06-19
5-2-8,5,numLvs,1,14,2024-05-01
5-2-8,5,numLvs,2,22,2024-05-08
5-2-8,5,numLvs,3,25,2024-05-15
5-2-8,5,numRayF,3,NA,2024-05-15
5-2-8,5,numRayF,4,0,2024-05-22
5-2-8,5,numRayF,5,NA,2024-05-29
5-2-8,5,numRayF,6,NA,2024-06-05
5-2-8,5,numRayF,7,NA,2024-06-12
5-2-8,5,numRayF,8,NA,2024-06-19
5-2-8,5,numRos,1,0,2024-05-01
5-2-8,5,numRos,2,2,2024-05-08
5-2-8,5,numRos,3,3,2024-05-15
5-2-8,5,numRos,4,2,2024-05-22
5-2-8,5,numRos,5,3,2024-05-29
5-2-8,5,numRos,6,2,2024-06-05
5-2-8,5,numRos,7,2,2024-06-12
5-2-8,5,numRos,8,2,2024-06-19
5-2-8,5,numStem,1,1,2024-05-01
5-2-8,5,numStem,2,1,2024-05-08
5-2-8,5,numStem,3,0,2024-05-15
5-2-8,5,numStem,4,1,2024-05-22
5-2-8,5,numStem,5,0,2024-05-29
5-2-8,5,numStem,6,0,2024-06-05
5-2-8,5,numStem,7,0,2024-06-12
5-2-8,5,numStem,8,0,2024-06-19
5-2-8,5,stemLength,1,1.2,2024-05-01
5-2-8,5,stemLength,2,1.8,2024-05-08
5-2-8,5,stemLength,3,NA,2024-05-15
5-2-8,5,stemLength,4,0.8,2024-05-22
5-2-8,5,stemLength,5,NA,2024-05-29
5-2-8,5,stemLength,6,NA,2024-06-05
5-2-8,5,stemLength,7,NA,2024-06-12
5-2-8,5,stemLength,8,NA,2024-06-19
1-6-5,6,leafLong,1,10.1,2024-05-01
1-6-5,6,leafLong,2,14,2024-05-08
1-6-5,6,leafLong,3,21.5,2024-05-15
1-6-5,6,leafWide,1,1.5,2024-05-01
1-6-5,6,leafWide,2,1.8,2024-05-08
1-6-5,6,leafWide,3,2.1,2024-05-15
1-6-5,6,numDiscF,3,NA,2024-05-15
1-6-5,6,numDiscF,4,NA,2024-05-22
1-6-5,6,numDiscF,5,NA,2024-05-29
1-6-5,6,numDiscF,6,NA,2024-06-05
1-6-5,6,numDiscF,7,NA,2024-06-12
1-6-5,6,numDiscF,8,NA,2024-06-19
1-6-5,6,numFlwrB,1,NA,2024-05-01
1-6-5,6,numFlwrB,2,NA,2024-05-08
1-6-5,6,numFlwrB,3,NA,2024-05-15
1-6-5,6,numFlwrB,4,NA,2024-05-22
1-6-5,6,numFlwrB,5,NA,2024-05-29
1-6-5,6,numFlwrB,6,NA,2024-06-05
1-6-5,6,numFlwrB,7,NA,2024-06-12
1-6-5,6,numFlwrB,8,NA,2024-06-19
1-6-5,6,numLSt,4,0,2024-05-22
1-6-5,6,numLSt,5,0,2024-05-29
1-6-5,6,numLSt,6,NA,2024-06-05
1-6-5,6,numLSt,7,NA,2024-06-12
1-6-5,6,numLSt,8,NA,2024-06-19
1-6-5,6,numLvs,1,13,2024-05-01
1-6-5,6,numLvs,2,15,2024-05-08
1-6-5,6,numLvs,3,19,2024-05-15
1-6-5,6,numRayF,3,NA,2024-05-15
1-6-5,6,numRayF,4,NA,2024-05-22
1-6-5,6,numRayF,5,NA,2024-05-29
1-6-5,6,numRayF,6,NA,2024-06-05
1-6-5,6,numRayF,7,NA,2024-06-12
1-6-5,6,numRayF,8,NA,2024-06-19
1-6-5,6,numRos,1,1,2024-05-01
1-6-5,6,numRos,2,1,2024-05-08
1-6-5,6,numRos,3,1,2024-05-15
1-6-5,6,numRos,4,1,2024-05-22
1-6-5,6,numRos,5,1,2024-05-29
1-6-5,6,numRos,6,1,2024-06-05
1-6-5,6,numRos,7,1,2024-06-12
1-6-5,6,numRos,8,1,2024-06-19
1-6-5,6,numStem,1,0,2024-05-01
1-6-5,6,numStem,2,0,2024-05-08
1-6-5,6,numStem,3,0,2024-05-15
1-6-5,6,numStem,4,0,2024-05-22
1-6-5,6,numStem,5,0,2024-05-29
1-6-5,6,numStem,6,0,2024-06-05
1-6-5,6,numStem,7,0,2024-06-12
1-6-5,6,numStem,8,0,2024-06-19
1-6-5,6,stemLength,1,NA,2024-05-01
1-6-5,6,stemLength,2,NA,2024-05-08
1-6-5,6,stemLength,3,NA,2024-05-15
1-6-5,6,stemLength,4,NA,2024-05-22
1-6-5,6,stemLength,5,NA,2024-05-29
1-6-5,6,stemLength,6,NA,2024-06-05
1-6-5,6,stemLength,7,NA,2024-06-12
1-6-5,6,stemLength,8,NA,2024-06-19
2-1-1,7,leafLong,1,11.6,2024-05-01
2-1-1,7,leafLong,2,16.8,2024-05-08
2-1-1,7,leafLong,3,25.8,2024-05-15
2-1-1,7,leafWide,1,2,2024-05-01
2-1-1,7,leafWide,2,1.9,2024-05-08
2-1-1,7,leafWide,3,2.9,2024-05-15
2-1-1,7,numDiscF,3,0,2024-05-15
2-1-1,7,numDiscF,4,0,2024-05-22
2-1-1,7,numDiscF,5,0,2024-05-29
2-1-1,7,numDiscF,6,0,2024-06-05
2-1-1,7,numDiscF,7,0,2024-06-12
2-1-1,7,numDiscF,8,0,2024-06-19
2-1-1,7,numFlwrB,1,NA,2024-05-01
2-1-1,7,numFlwrB,2,NA,2024-05-08
2-1-1,7,numFlwrB,3,0,2024-05-15
2-1-1,7,numFlwrB,4,0,2024-05-22
2-1-1,7,numFlwrB,5,0,2024-05-29
2-1-1,7,numFlwrB,6,0,2024-06-05
2-1-1,7,numFlwrB,7,0,2024-06-12
2-1-1,7,numFlwrB,8,0,2024-06-19
2-1-1,7,numLSt,4,0,2024-05-22
2-1-1,7,numLSt,5,0,2024-05-29
2-1-1,7,numLSt,6,0,2024-06-05
2-1-1,7,numLSt,7,0,2024-06-12
2-1-1,7,numLSt,8,2,2024-06-19
2-1-1,7,numLvs,1,10,2024-05-01
2-1-1,7,numLvs,2,14,2024-05-08
2-1-1,7,numLvs,3,17,2024-05-15
2-1-1,7,numRayF,3,0,2024-05-15
2-1-1,7,numRayF,4,0,2024-05-22
2-1-1,7,numRayF,5,0,2024-05-29
2-1-1,7,numRayF,6,0,2024-06-05
2-1-1,7,numRayF,7,0,2024-06-12
2-1-1,7,numRayF,8,0,2024-06-19
2-1-1,7,numRos,1,1,2024-05-01
2-1-1,7,numRos,2,2,2024-05-08
2-1-1,7,numRos,3,0,2024-05-15
2-1-1,7,numRos,4,3,2024-05-22
2-1-1,7,numRos,5,1,2024-05-29
2-1-1,7,numRos,6,2,2024-06-05
2-1-1,7,numRos,7,1,2024-06-12
2-1-1,7,numRos,8,1,2024-06-19
2-1-1,7,numStem,1,0,2024-05-01
2-1-1,7,numStem,2,0,2024-05-08
2-1-1,7,numStem,3,1,2024-05-15
2-1-1,7,numStem,4,1,2024-05-22
2-1-1,7,numStem,5,2,2024-05-29
2-1-1,7,numStem,6,1,2024-06-05
2-1-1,7,numStem,7,2,2024-06-12
2-1-1,7,numStem,8,2,2024-06-19
2-1-1,7,stemLength,1,NA,2024-05-01
2-1-1,7,stemLength,2,NA,2024-05-08
2-1-1,7,stemLength,3,2.4,2024-05-15
2-1-1,7,stemLength,4,10.2,2024-05-22
2-1-1,7,stemLength,5,26.5,2024-05-29
2-1-1,7,stemLength,6,50.6,2024-06-05
2-1-1,7,stemLength,7,56.2,2024-06-12
2-1-1,7,stemLength,8,51.3,2024-06-19
3-3-1,8,leafLong,1,10.1,2024-05-01
3-3-1,8,leafLong,2,13.5,2024-05-08
3-3-1,8,leafLong,3,17.9,2024-05-15
3-3-1,8,leafWide,1,1.7,2024-05-01
3-3-1,8,leafWide,2,1.7,2024-05-08
3-3-1,8,leafWide,3,2,2024-05-15
3-3-1,8,numDiscF,3,NA,2024-05-15
3-3-1,8,numDiscF,4,NA,2024-05-22
3-3-1,8,numDiscF,5,NA,2024-05-29
3-3-1,8,numDiscF,6,NA,2024-06-05
3-3-1,8,numDiscF,7,NA,2024-06-12
3-3-1,8,numDiscF,8,NA,2024-06-19
3-3-1,8,numFlwrB,1,NA,2024-05-01
3-3-1,8,numFlwrB,2,NA,2024-05-08
3-3-1,8,numFlwrB,3,NA,2024-05-15
3-3-1,8,numFlwrB,4,NA,2024-05-22
3-3-1,8,numFlwrB,5,NA,2024-05-29
3-3-1,8,numFlwrB,6,NA,2024-06-05
3-3-1,8,numFlwrB,7,NA,2024-06-12
3-3-1,8,numFlwrB,8,NA,2024-06-19
3-3-1,8,numLSt,4,0,2024-05-22
3-3-1,8,numLSt,5,0,2024-05-29
3-3-1,8,numLSt,6,NA,2024-06-05
3-3-1,8,numLSt,7,NA,2024-06-12
3-3-1,8,numLSt,8,NA,2024-06-19
3-3-1,8,numLvs,1,12,2024-05-01
3-3-1,8,numLvs,2,13,2024-05-08
3-3-1,8,numLvs,3,16,2024-05-15
3-3-1,8,numRayF,3,NA,2024-05-15
3-3-1,8,numRayF,4,NA,2024-05-22
3-3-1,8,numRayF,5,NA,2024-05-29
3-3-1,8,numRayF,6,NA,2024-06-05
3-3-1,8,numRayF,7,NA,2024-06-12
3-3-1,8,numRayF,8,NA,2024-06-19
3-3-1,8,numRos,1,1,2024-05-01
3-3-1,8,numRos,2,1,2024-05-08
3-3-1,8,numRos,3,1,2024-05-15
3-3-1,8,numRos,4,1,2024-05-22
3-3-1,8,numRos,5,1,2024-05-29
3-3-1,8,numRos,6,1,2024-06-05
3-3-1,8,numRos,7,1,2024-06-12
3-3-1,8,numRos,8,1,2024-06-19
3-3-1,8,numStem,1,0,2024-05-01
3-3-1,8,numStem,2,0,2024-05-08
3-3-1,8,numStem,3,0,2024-05-15
3-3-1,8,numStem,4,0,2024-05-22
3-3-1,8,numStem,5,0,2024-05-29
3-3-1,8,numStem,6,0,2024-06-05
3-3-1,8,numStem,7,0,2024-06-12
3-3-1,8,numStem,8,0,2024-06-19
3-3-1,8,stemLength,1,NA,2024-05-01
3-3-1,8,stemLength,2,NA,2024-05-08
3-3-1,8,stemLength,3,NA,2024-05-15
3-3-1,8,stemLength,4,NA,2024-05-22
3-3-1,8,stemLength,5,NA,2024-05-29
3-3-1,8,stemLength,6,NA,2024-06-05
3-3-1,8,stemLength,7,NA,2024-06-12
3-3-1,8,stemLength,8,NA,2024-06-19
8-6-1,9,leafLong,1,10,2024-05-01
8-6-1,9,leafLong,2,16.9,2024-05-08
8-6-1,9,leafLong,3,22.6,2024-05-15
8-6-1,9,leafWide,1,1.9,2024-05-01
8-6-1,9,leafWide,2,2.4,2024-05-08
8-6-1,9,leafWide,3,2.3,2024-05-15
8-6-1,9,numDiscF,3,NA,2024-05-15
8-6-1,9,numDiscF,4,NA,2024-05-22
8-6-1,9,numDiscF,5,NA,2024-05-29
8-6-1,9,numDiscF,6,NA,2024-06-05
8-6-1,9,numDiscF,7,NA,2024-06-12
8-6-1,9,numDiscF,8,NA,2024-06-19
8-6-1,9,numFlwrB,1,NA,2024-05-01
8-6-1,9,numFlwrB,2,0,2024-05-08
8-6-1,9,numFlwrB,3,NA,2024-05-15
8-6-1,9,numFlwrB,4,NA,2024-05-22
8-6-1,9,numFlwrB,5,NA,2024-05-29
8-6-1,9,numFlwrB,6,NA,2024-06-05
8-6-1,9,numFlwrB,7,NA,2024-06-12
8-6-1,9,numFlwrB,8,NA,2024-06-19
8-6-1,9,numLSt,4,0,2024-05-22
8-6-1,9,numLSt,5,0,2024-05-29
8-6-1,9,numLSt,6,NA,2024-06-05
8-6-1,9,numLSt,7,NA,2024-06-12
8-6-1,9,numLSt,8,NA,2024-06-19
8-6-1,9,numLvs,1,11,2024-05-01
8-6-1,9,numLvs,2,12,2024-05-08
8-6-1,9,numLvs,3,16,2024-05-15
8-6-1,9,numRayF,3,NA,2024-05-15
8-6-1,9,numRayF,4,NA,2024-05-22
8-6-1,9,numRayF,5,NA,2024-05-29
8-6-1,9,numRayF,6,NA,2024-06-05
8-6-1,9,numRayF,7,NA,2024-06-12
8-6-1,9,numRayF,8,NA,2024-06-19
8-6-1,9,numRos,1,1,2024-05-01
8-6-1,9,numRos,2,0,2024-05-08
8-6-1,9,numRos,3,1,2024-05-15
8-6-1,9,numRos,4,1,2024-05-22
8-6-1,9,numRos,5,1,2024-05-29
8-6-1,9,numRos,6,1,2024-06-05
8-6-1,9,numRos,7,1,2024-06-12
8-6-1,9,numRos,8,1,2024-06-19
8-6-1,9,numStem,1,0,2024-05-01
8-6-1,9,numStem,2,1,2024-05-08
8-6-1,9,numStem,3,0,2024-05-15
8-6-1,9,numStem,4,0,2024-05-22
8-6-1,9,numStem,5,0,2024-05-29
8-6-1,9,numStem,6,0,2024-06-05
8-6-1,9,numStem,7,0,2024-06-12
8-6-1,9,numStem,8,0,2024-06-19
8-6-1,9,stemLength,1,NA,2024-05-01
8-6-1,9,stemLength,2,0.8,2024-05-08
8-6-1,9,stemLength,3,NA,2024-05-15
8-6-1,9,stemLength,4,NA,2024-05-22
8-6-1,9,stemLength,5,NA,2024-05-29
8-6-1,9,stemLength,6,NA,2024-06-05
8-6-1,9,stemLength,7,NA,2024-06-12
8-6-1,9,stemLength,8,NA,2024-06-19
6-4-5,10,leafLong,1,10.2,2024-05-01
6-4-5,10,leafLong,2,15.1,2024-05-08
6-4-5,10,leafLong,3,16.5,2024-05-15
6-4-5,10,leafWide,1,1.9,2024-05-01
6-4-5,10,leafWide,2,2,2024-05-08
6-4-5,10,leafWide,3,2.1,2024-05-15
6-4-5,10,numDiscF,3,NA,2024-05-15
6-4-5,10,numDiscF,4,NA,2024-05-22
6-4-5,10,numDiscF,5,NA,2024-05-29
6-4-5,10,numDiscF,6,NA,2024-06-05
6-4-5,10,numDiscF,7,NA,2024-06-12
6-4-5,10,numDiscF,8,NA,2024-06-19
6-4-5,10,numFlwrB,1,NA,2024-05-01
6-4-5,10,numFlwrB,2,NA,2024-05-08
6-4-5,10,numFlwrB,3,NA,2024-05-15
6-4-5,10,numFlwrB,4,NA,2024-05-22
6-4-5,10,numFlwrB,5,NA,2024-05-29
6-4-5,10,numFlwrB,6,NA,2024-06-05
6-4-5,10,numFlwrB,7,NA,2024-06-12
6-4-5,10,numFlwrB,8,NA,2024-06-19
6-4-5,10,numLSt,4,0,2024-05-22
6-4-5,10,numLSt,5,0,2024-05-29
6-4-5,10,numLSt,6,NA,2024-06-05
6-4-5,10,numLSt,7,NA,2024-06-12
6-4-5,10,numLSt,8,NA,2024-06-19
6-4-5,10,numLvs,1,11,2024-05-01
6-4-5,10,numLvs,2,12,2024-05-08
6-4-5,10,numLvs,3,16,2024-05-15
6-4-5,10,numRayF,3,NA,2024-05-15
6-4-5,10,numRayF,4,NA,2024-05-22
6-4-5,10,numRayF,5,NA,2024-05-29
6-4-5,10,numRayF,6,NA,2024-06-05
6-4-5,10,numRayF,7,NA,2024-06-12
6-4-5,10,numRayF,8,NA,2024-06-19
6-4-5,10,numRos,1,1,2024-05-01
6-4-5,10,numRos,2,1,2024-05-08
6-4-5,10,numRos,3,1,2024-05-15
6-4-5,10,numRos,4,1,2024-05-22
6-4-5,10,numRos,5,1,2024-05-29
6-4-5,10,numRos,6,1,2024-06-05
6-4-5,10,numRos,7,1,2024-06-12
6-4-5,10,numRos,8,1,2024-06-19
