Sample_Name,Ps,Pn,Pd,Pop,Pop_Index,Sample_Species,fastq,GVCF,index,MaternalLine,FlowerHead,Country,State,County,Latitude,Longitude,Google_latitude,Google_longitude,Locality,Location_Details,PlantingDate,FirstLeafDate,Collection_Date,Collector,Adapted_Longitude,Adapted_Latitude,Pop_Name,Load_type
Boltonia_014,0.17926001981276776,0.13875132445754826,0.07344930410649478,Anderson Lake (2000),Pop_11,B. decurrens,TRUE,TRUE,14,2011-2613-1,14B,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404,-90.18724497777134,NA,"Anderson Lake, Maternal lines = 30, Seedheads = 61; 2 packets",3/1/24,3/10/24,2000-10-01T00:00:00Z,Smith,-90.1994444,40.2047222,11 - Anderson Lake (2000),Total Load
Boltonia_015,0.18123580176556567,0.14049615331459897,0.07606966510340268,Hennepin Bridge (1999),Pop_17,B. decurrens,TRUE,TRUE,15,2011-2623-1,30C,United States,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,NA,"Hennepin Bridge, Maternal lines = 30, Seedheads = 90; 6 packets",2/28/24,3/8/24,1999-11-11T00:00:00Z,Smith,-89.55849691836283,41.34414603458205,17 - Hennepin Bridge (1999),Total Load
Boltonia_016,0.1907088794796558,0.14822983369420004,0.0795405243476644,West Alton (1999),Pop_03,B. decurrens,TRUE,TRUE,16,2011-2635-1,17,United States,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,NA,"West Alton, Maternal lines = 32, Seedheads = 32; 2 packets",3/1/24,3/12/24,1999-11-07T00:00:00Z,Smith,-90.22302347588696,38.86501904919102,3 - West Alton (1999),Total Load
Boltonia_017,0.17859907090364746,0.1378529967291657,0.07400023414526648,Anderson Lake (1997),Pop_10,B. decurrens,TRUE,TRUE,17,2011-2664-1,7,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20744447961278,-90.1871999885973,NA,"Anderson Lake, Maternal lines = 31, Seedheads = 31",2/29/24,3/7/24,1997-11-21T00:00:00Z,Smith,-90.1994444,40.2047222,10 - Anderson Lake (1997),Total Load
Boltonia_019,0.18051283983528085,0.1401843710718728,0.07527425985992604,Frederick Borrow Pit (1999),Pop_08,B. decurrens,TRUE,TRUE,19,2011-2675-1,2A,United States,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,NA,"Frederick Borrow Pit, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/8/24,1999-10-07T00:00:00Z,Smith,-90.4275,40.0672223,8 - Frederick Borrow Pit (1999),Total Load
Boltonia_020,0.17800013501569165,0.13859008614732574,0.07564269432335462,Woodford County (1999),Pop_15,B. decurrens,TRUE,TRUE,20,2011-2650-1,18A,United States,Illinois,Woodford,40.8852777,-89.4583333,40.84668797480775,-89.0297386240063,NA,"Woodford County, Maternal lines = 30, Seedheads = 90; 6 packets",2/29/24,3/6/24,1999-11-11T00:00:00Z,Smith,-89.4583333,40.8852777,15 - Woodford County (1999),Total Load
Boltonia_021,0.181632999090999,0.140726493757774,0.07638644987569641,Rice Lake (1999),Pop_12,B. decurrens,TRUE,TRUE,21,2011-2666-1,18A,United States,Illinois,Fulton,40.4925,-89.9022222,40.46699902833787,-89.9485498557629,NA,"Rice Lake, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/10/24,1999-10-14T00:00:00Z,Smith,-89.9022222,40.4925,12 - Rice Lake (1999),Total Load
Boltonia_022,0.17890442615976124,0.13688721215671049,0.07304987982838529,Beardstown (1997),Pop_07,B. decurrens,TRUE,TRUE,22,2011-2636-1,23,United States,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398,-90.42445029519196,NA,"Beardstown, Maternal lines = 52, Seedheads = 53; 3 packets",3/1/24,3/18/24,1997-11-21T00:00:00Z,Smith,-90.4458333,40.010555600000004,7 - Beardstown (1997),Total Load
Boltonia_023,0.17932988258344676,0.1385102896366544,0.07389349145025446,Anderson Lake (1997),Pop_10,B. decurrens,TRUE,TRUE,23,2011-2664-1,29,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20744447961278,-90.1871999885973,NA,"Anderson Lake, Maternal lines = 31, Seedheads = 31",2/29/24,3/7/24,1997-11-21T00:00:00Z,Smith,-90.1994444,40.2047222,10 - Anderson Lake (1997),Total Load
Boltonia_024,0.1828065366434157,0.14213568368334112,0.07720940162111165,Hennepin Bridge (1999),Pop_17,B. decurrens,TRUE,TRUE,24,2011-2623-1,25C,United States,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,NA,"Hennepin Bridge, Maternal lines = 30, Seedheads = 90; 6 packets",2/29/24,3/7/24,1999-11-11T00:00:00Z,Smith,-89.55849691836283,41.34414603458205,17 - Hennepin Bridge (1999),Total Load
Boltonia_025,0.19345236693497112,0.14982000539654752,0.08075601374570447,Frederick Borrow Pit (1999),Pop_08,B. decurrens,TRUE,TRUE,25,2011-2675-1,25A,United States,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,NA,"Frederick Borrow Pit, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/6/24,1999-10-07T00:00:00Z,Smith,-90.4275,40.0672223,8 - Frederick Borrow Pit (1999),Total Load
Boltonia_026,0.18150269324905843,0.1405965159362681,0.07628315049342671,McClugage Bridge (1999),Pop_14,B. decurrens,TRUE,TRUE,26,2011-2618-1,7B,United States,Illinois,Peoria,40.7222223,-89.5519444,40.69352232924267,-89.59142458669179,NA,"McClugage Bridge, Maternal lines = 30, Seedheads = 90; 4 packets",2/29/24,3/6/24,1999-11-11T00:00:00Z,Smith,-89.5519444,40.7222223,14 - McClugage Bridge (1999),Total Load
Boltonia_027,0.15250179366776406,0.11782489519509835,0.06334318120777638,Gilbert Lake (1997),Pop_04,B. decurrens,TRUE,TRUE,27,2011-2598-1,L3B,United States,Illinois,Jersey,NA,NA,38.96139842380207,-90.51481032460988,NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",2/29/24,3/8/24,1997-11-08T00:00:00Z,Smith,-90.51481032460988,38.96139842380207,4 - Gilbert Lake (1997),Total Load
Boltonia_028,0.18354127319797225,0.14298465274532904,0.07750208320420911,McClugage Bridge (1999),Pop_14,B. decurrens,TRUE,TRUE,28,2011-2618-1,20C,United States,Illinois,Peoria,40.7222223,-89.5519444,40.69352232924267,-89.59142458669179,NA,"McClugage Bridge, Maternal lines = 30, Seedheads = 90; 4 packets",2/29/24,3/8/24,1999-11-11T00:00:00Z,Smith,-89.5519444,40.7222223,14 - McClugage Bridge (1999),Total Load
Boltonia_029,0.18060232697974607,0.14061790469170576,0.07560826119593138,Woodford County (1999),Pop_15,B. decurrens,TRUE,TRUE,29,2011-2650-1,20C,United States,Illinois,Woodford,40.8852777,-89.4583333,40.84668797480775,-89.0297386240063,NA,"Woodford County, Maternal lines = 30, Seedheads = 90; 6 packets",3/1/24,3/20/24,1999-11-11T00:00:00Z,Smith,-89.4583333,40.8852777,15 - Woodford County (1999),Total Load
Boltonia_030,0.18026321780071997,0.1392662998769324,0.07532246623831856,Cooper Park (2000),Pop_13,B. decurrens,TRUE,TRUE,30,2011-2661-1,20B,United States,Illinois,Tazewell,NA,NA,40.69584983597212,-89.54394792156027,NA,"Cooper park South, Maternal lines = 43, Seedheads = 73; 4 packets",3/1/24,3/10/24,2000-10-01T00:00:00Z,Smith,-89.54394792156027,40.69584983597212,13 - Cooper Park (2000),Total Load
Boltonia_031,0.18154272697158233,0.14001984218389066,0.0752088369178219,Meredosia Lake (1999),Pop_06,B. decurrens,TRUE,TRUE,31,2011-2620-1,14C,United States,Illinois,Morgan,39.8672223,-90.5533333,39.87546015928839,-90.55308508241012,NA,"Meredosia Lake, Maternal lines = 30, Seedheads = 90; 5 packets",3/1/24,3/7/24,1999-10-07T00:00:00Z,Smith,-90.5533333,39.8672223,6 - Meredosia Lake (1999),Total Load
Boltonia_032,0.18054737873314464,0.1403225753377778,0.075060774469902,Smith Lake (1998),Pop_05,B. decurrens,TRUE,TRUE,32,2011-2638-1,15C,United States,Illinois,Scott,39.7852777,-90.5902777,39.78656976625663,-90.58910563509704,Smith Lake,NA,2/29/24,3/7/24,1998-11-11T00:00:00Z,Smith,-90.5902777,39.7852777,5 - Smith Lake (1998),Total Load
Boltonia_033,0.17984561112654895,0.1394028588539576,0.07496091840037464,Sparland (1999),Pop_16,B. decurrens,TRUE,TRUE,33,2011-2629-1,17B,United States,Illinois,Marshal,41.045,-89.4311111,41.02868892611459,-89.43846248262098,NA,"Sparland, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/7/24,1999-11-11T00:00:00Z,Smith,-89.4311111,41.045,16 - Sparland (1999),Total Load
Boltonia_034,0.194498738545253,0.15090836399054947,0.08119331446397951,Horseshoe Lake (2000),Pop_02,B. decurrens,TRUE,TRUE,34,2011-2609-1,18C,United States,Illinois,Madison,38.6891666,-90.0972222,38.69652811427051,-90.085926104309,NA,"Horseshoe Lake, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/7/24,2000-11-01T00:00:00Z,Smith,-90.0972222,38.6891666,2 - Horseshoe Lake (2000),Total Load
Boltonia_035,0.1931148277058479,0.150636068680939,0.08073535386925053,Fairmont City (1997),Pop_01,B. decurrens,TRUE,TRUE,35,2011-2599-1,24,United States,Illinois,Saint Clair,38.6494444,-90.1161111,38.6515072789885,-90.10298738781108,NA,"Fairmont City, Maternal lines = 28, Seedheads = 28; 2 packets",2/29/24,3/9/24,1997-12-05T00:00:00Z,Smith,-90.1161111,38.6494444,1 - Fairmont City (1997),Total Load
Boltonia_036,0.19382209013710372,0.15111484774496706,0.08214022546811836,Fairmont City (1997),Pop_01,B. decurrens,TRUE,TRUE,36,2011-2599-1,9,United States,Illinois,Saint Clair,38.6494444,-90.1161111,38.6515072789885,-90.10298738781108,NA,"Fairmont City, Maternal lines = 28, Seedheads = 28; 2 packets",2/29/24,3/9/24,1997-12-05T00:00:00Z,Smith,-90.1161111,38.6494444,1 - Fairmont City (1997),Total Load
Boltonia_037,0.18228374332575048,0.14069112004685783,0.07566335419980855,Cooper Park (2000),Pop_13,B. decurrens,TRUE,TRUE,37,2011-2661-1,12A,United States,Illinois,Tazewell,NA,NA,40.69584983597212,-89.54394792156027,NA,"Cooper park South, Maternal lines = 43, Seedheads = 73; 4 packets",3/1/24,3/10/24,2000-10-01T00:00:00Z,Smith,-89.54394792156027,40.69584983597212,13 - Cooper Park (2000),Total Load
Boltonia_038,0.18099716938032506,0.14032751120441728,0.07487483558181655,Smith Lake (1998),Pop_05,B. decurrens,TRUE,TRUE,38,2011-2638-1,22A,United States,Illinois,Scott,39.7852777,-90.5902777,39.78656976625663,-90.58910563509704,Smith Lake,NA,3/1/24,3/10/24,1998-11-11T00:00:00Z,Smith,-90.5902777,39.7852777,5 - Smith Lake (1998),Total Load
Boltonia_039,0.18170050693682366,0.14089020000131622,0.07551184843914634,Meredosia Lake (1999),Pop_06,B. decurrens,TRUE,TRUE,39,2011-2620-1,30B,United States,Illinois,Morgan,39.8672223,-90.5533333,39.87546015928839,-90.55308508241012,NA,"Meredosia Lake, Maternal lines = 30, Seedheads = 90; 5 packets",2/29/24,3/19/24,1999-10-07T00:00:00Z,Smith,-90.5533333,39.8672223,6 - Meredosia Lake (1999),Total Load
Boltonia_040,0.17893190028306197,0.13861476548052307,0.07428602910287929,McClugage Bridge (1999),Pop_14,B. decurrens,TRUE,TRUE,40,2011-2618-1,3C,United States,Illinois,Peoria,40.7222223,-89.5519444,40.69352232924267,-89.59142458669179,NA,"McClugage Bridge, Maternal lines = 30, Seedheads = 90; 4 packets",2/29/24,3/9/24,1999-11-11T00:00:00Z,Smith,-89.5519444,40.7222223,14 - McClugage Bridge (1999),Total Load
Boltonia_042,0.19444693019845738,0.15103011536765626,0.08121053102769112,Horseshoe Lake (2000),Pop_02,B. decurrens,TRUE,TRUE,42,2011-2609-1,18C,United States,Illinois,Madison,38.6891666,-90.0972222,38.69652811427051,-90.085926104309,NA,"Horseshoe Lake, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/7/24,2000-11-01T00:00:00Z,Smith,-90.0972222,38.6891666,2 - Horseshoe Lake (2000),Total Load
Boltonia_043,0.1811580892453722,0.140422115315007,0.0749127120219821,Anderson Lake (2000),Pop_11,B. decurrens,TRUE,TRUE,43,2011-2613-1,1A,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404,-90.18724497777134,NA,"Anderson Lake, Maternal lines = 30, Seedheads = 61; 2 packets",2/29/24,3/7/24,2000-10-01T00:00:00Z,Smith,-90.1994444,40.2047222,11 - Anderson Lake (2000),Total Load
Boltonia_044,0.17957322481839605,0.13964060309709178,0.07520195029233726,Beardstown (1997),Pop_07,B. decurrens,TRUE,TRUE,44,2011-2636-1,18,United States,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398,-90.42445029519196,NA,"Beardstown, Maternal lines = 52, Seedheads = 53; 3 packets",2/29/24,3/7/24,1997-11-21T00:00:00Z,Smith,-90.4458333,40.010555600000004,7 - Beardstown (1997),Total Load
Boltonia_045,0.17961953834053154,0.1385867955695661,0.07329435503309023,Anderson Lake (1997),Pop_10,B. decurrens,TRUE,TRUE,45,2011-2664-1,12,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20744447961278,-90.1871999885973,NA,"Anderson Lake, Maternal lines = 31, Seedheads = 31",2/29/24,3/7/24,1997-11-21T00:00:00Z,Smith,-90.1994444,40.2047222,10 - Anderson Lake (1997),Total Load
Boltonia_046,0.1789782138051975,0.13793855175091643,0.07414140996770173,Frederick Borrow Pit (1999),Pop_08,B. decurrens,TRUE,TRUE,46,2011-2675-1,19B,United States,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,NA,"Frederick Borrow Pit, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/7/24,1999-10-07T00:00:00Z,Smith,-90.4275,40.0672223,8 - Frederick Borrow Pit (1999),Total Load
Boltonia_047,0.18190931027390916,0.13935679076532256,0.07400023414526648,Smith Lake (1998),Pop_05,B. decurrens,TRUE,TRUE,47,2011-2638-1,6A,United States,Illinois,Scott,39.7852777,-90.5902777,39.78656976625663,-90.58910563509704,Smith Lake,NA,2/29/24,3/7/24,1998-11-11T00:00:00Z,Smith,-90.5902777,39.7852777,5 - Smith Lake (1998),Total Load
Boltonia_048,0.18067611462518232,0.14042458324832674,0.07582518989869774,Frederick Borrow Pit (1999),Pop_08,B. decurrens,TRUE,TRUE,48,2011-2675-1,9B,United States,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,NA,"Frederick Borrow Pit, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/7/24,1999-10-07T00:00:00Z,Smith,-90.4275,40.0672223,8 - Frederick Borrow Pit (1999),Total Load
Boltonia_050,0.18243759841623453,0.14157546281976188,0.07674111108815569,Meredosia Lake (1999),Pop_06,B. decurrens,TRUE,TRUE,50,2011-2620-1,12B,United States,Illinois,Morgan,39.8672223,-90.5533333,39.87546015928839,-90.55308508241012,NA,"Meredosia Lake, Maternal lines = 30, Seedheads = 90; 5 packets",2/29/24,3/6/24,1999-10-07T00:00:00Z,Smith,-90.5533333,39.8672223,6 - Meredosia Lake (1999),Total Load
Boltonia_051,0.19300885608740226,0.14900970062323543,0.07984697918173116,West Alton (1999),Pop_03,B. decurrens,TRUE,TRUE,51,2011-2635-1,2,United States,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,NA,"West Alton, Maternal lines = 32, Seedheads = 32; 2 packets",2/29/24,3/7/24,1999-11-07T00:00:00Z,Smith,-90.22302347588696,38.86501904919102,3 - West Alton (1999),Total Load
Boltonia_052,0.18915227415093183,0.1471784940999941,0.07841456108092473,West Alton (1999),Pop_03,B. decurrens,TRUE,TRUE,52,2011-2635-1,21,United States,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,NA,"West Alton, Maternal lines = 32, Seedheads = 32; 2 packets",2/29/24,3/8/24,1999-11-07T00:00:00Z,Smith,-90.22302347588696,38.86501904919102,3 - West Alton (1999),Total Load
Boltonia_053,0.18220053598089686,0.14115262357764777,0.0759525924701637,Hennepin Bridge (1999),Pop_17,B. decurrens,TRUE,TRUE,53,2011-2623-1,19A,United States,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,NA,"Hennepin Bridge, Maternal lines = 30, Seedheads = 90; 6 packets",2/29/24,3/6/24,1999-11-11T00:00:00Z,Smith,-89.55849691836283,41.34414603458205,17 - Hennepin Bridge (1999),Total Load
Boltonia_054,0.1787827550422866,0.1393888738984791,0.07553939494108491,McClugage Bridge (1999),Pop_14,B. decurrens,TRUE,TRUE,54,2011-2618-1,2C,United States,Illinois,Peoria,40.7222223,-89.5519444,40.69352232924267,-89.59142458669179,NA,"McClugage Bridge, Maternal lines = 30, Seedheads = 90; 4 packets",2/29/24,3/6/24,1999-11-11T00:00:00Z,Smith,-89.5519444,40.7222223,14 - McClugage Bridge (1999),Total Load
Boltonia_055,0.17961168859101706,0.13898989134512238,0.07370410924942669,Anderson Lake (1997),Pop_10,B. decurrens,TRUE,TRUE,55,2011-2664-1,10,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20744447961278,-90.1871999885973,NA,"Anderson Lake, Maternal lines = 31, Seedheads = 31",3/1/24,Unknown,1997-11-21T00:00:00Z,Smith,-90.1994444,40.2047222,10 - Anderson Lake (1997),Total Load
Boltonia_056,0.1809084672108113,0.1399392230287794,0.07482318589068171,Hennepin Bridge (1999),Pop_17,B. decurrens,TRUE,TRUE,56,2011-2623-1,27B,United States,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,NA,"Hennepin Bridge, Maternal lines = 30, Seedheads = 90; 6 packets",2/29/24,3/5/24,1999-11-11T00:00:00Z,Smith,-89.55849691836283,41.34414603458205,17 - Hennepin Bridge (1999),Total Load
Boltonia_057,0.17997591696848952,0.1397483695187201,0.0754464254970422,Hennepin Bridge (1999),Pop_17,B. decurrens,TRUE,TRUE,57,2011-2623-1,25C,United States,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,NA,"Hennepin Bridge, Maternal lines = 30, Seedheads = 90; 6 packets",2/29/24,3/7/24,1999-11-11T00:00:00Z,Smith,-89.55849691836283,41.34414603458205,17 - Hennepin Bridge (1999),Total Load
Boltonia_058,0.15793146540693886,0.12182130188418483,0.06499252801134917,Gilbert Lake (1997),Pop_04,B. decurrens,TRUE,TRUE,58,2011-2598-1,L7B,United States,Illinois,Jersey,NA,NA,38.96139842380207,-90.51481032460988,NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",2/29/24,3/7/24,1997-11-08T00:00:00Z,Smith,-90.51481032460988,38.96139842380207,4 - Gilbert Lake (1997),Total Load
Boltonia_059,0.18409939038845272,0.14325365747717983,0.0776949087177792,Meredosia Lake (1999),Pop_06,B. decurrens,TRUE,TRUE,59,2011-2620-1,7B,United States,Illinois,Morgan,39.8672223,-90.5533333,39.87546015928839,-90.55308508241012,NA,"Meredosia Lake, Maternal lines = 30, Seedheads = 90; 5 packets",3/1/24,3/10/24,1999-10-07T00:00:00Z,Smith,-90.5533333,39.8672223,6 - Meredosia Lake (1999),Total Load
Boltonia_060,0.1823206371484686,0.14164291966383458,0.07704412260948013,Hennepin Bridge (1999),Pop_17,B. decurrens,TRUE,TRUE,60,2011-2623-1,28C,United States,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,NA,"Hennepin Bridge, Maternal lines = 30, Seedheads = 90; 6 packets",3/1/24,3/8/24,1999-11-11T00:00:00Z,Smith,-89.55849691836283,41.34414603458205,17 - Hennepin Bridge (1999),Total Load
Boltonia_061,0.18154115702167944,0.14128342404359356,0.07652073907264702,Anderson Lake (2000),Pop_11,B. decurrens,TRUE,TRUE,61,2011-2613-1,17A,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404,-90.18724497777134,NA,"Anderson Lake, Maternal lines = 30, Seedheads = 61; 2 packets",3/2/24,3/13/24,2000-10-01T00:00:00Z,Smith,-90.1994444,40.2047222,11 - Anderson Lake (2000),Total Load
Boltonia_062,0.18052853933430985,0.14006344233920592,0.07432390554304485,Anderson Lake (1997),Pop_10,B. decurrens,TRUE,TRUE,62,2011-2664-1,12,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20744447961278,-90.1871999885973,NA,"Anderson Lake, Maternal lines = 31, Seedheads = 31",2/29/24,3/6/24,1997-11-21T00:00:00Z,Smith,-90.1994444,40.2047222,10 - Anderson Lake (1997),Total Load
Boltonia_063,0.18082604484090914,0.14035712640425405,0.0761764077984147,Woodford County (1999),Pop_15,B. decurrens,TRUE,TRUE,63,2011-2650-1,10C,United States,Illinois,Woodford,40.8852777,-89.4583333,40.84668797480775,-89.0297386240063,NA,"Woodford County, Maternal lines = 30, Seedheads = 90; 6 packets",3/1/24,3/13/24,1999-11-11T00:00:00Z,Smith,-89.4583333,40.8852777,15 - Woodford County (1999),Total Load
Boltonia_064,0.19225214023420512,0.1490302667342332,0.0807319105565082,Fairmont City (1997),Pop_01,B. decurrens,TRUE,TRUE,64,2011-2599-1,7,United States,Illinois,Saint Clair,38.6494444,-90.1161111,38.6515072789885,-90.10298738781108,NA,"Fairmont City, Maternal lines = 28, Seedheads = 28; 2 packets",3/1/24,3/8/24,1997-12-05T00:00:00Z,Smith,-90.1161111,38.6494444,1 - Fairmont City (1997),Total Load
Boltonia_065,0.18113532497178014,0.14004123093932833,0.07629003711891136,Hennepin Bridge (1999),Pop_17,B. decurrens,TRUE,TRUE,65,2011-2623-1,21A,United States,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,NA,"Hennepin Bridge, Maternal lines = 30, Seedheads = 90; 6 packets",2/29/24,3/8/24,1999-11-11T00:00:00Z,Smith,-89.55849691836283,41.34414603458205,17 - Hennepin Bridge (1999),Total Load
Boltonia_066,0.18173190593488162,0.14018930693851225,0.07522605348153351,Sparland (1999),Pop_16,B. decurrens,TRUE,TRUE,66,2011-2629-1,14A,United States,Illinois,Marshal,41.045,-89.4311111,41.02868892611459,-89.43846248262098,NA,"Sparland, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/8/24,1999-11-11T00:00:00Z,Smith,-89.4311111,41.045,16 - Sparland (1999),Total Load
Boltonia_067,0.1675081598146203,0.13040312868133386,0.0703572092638886,Gilbert Lake (1997),Pop_04,B. decurrens,TRUE,TRUE,67,2011-2598-1,L4B,United States,Illinois,Jersey,NA,NA,38.96139842380207,-90.51481032460988,NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",2/29/24,3/5/24,1997-11-08T00:00:00Z,Smith,-90.51481032460988,38.96139842380207,4 - Gilbert Lake (1997),Total Load
